N	2gram	Berdyaev_V_1	Vvedenie
1	и т	2	42
2	т д	2	36
3	и в	16	32
4	в том	3	31
5	в этом	4	30
6	может быть	1	26
7	том что	2	26
8	не только	2	22
9	для того	1	21
10	того чтобы	2	20
11	то что	9	16
12	потому что	4	15
13	так как	9	15
14	в нем	4	13
15	в самом	1	13
16	того что	5	12
17	и не	20	12
18	только в	2	12
19	в их	1	12
20	в его	4	12
21	в ее	1	11
22	как мы	1	11
23	и именно	1	11
24	что в	3	10
25	между тем	2	9
26	в истории	8	9
27	то же	1	9
28	но в	3	9
29	не в	3	8
30	с другой	1	8
31	это не	2	8
32	но не	2	7
33	все же	1	7
34	вопрос о	1	7
35	прежде всего	2	7
36	уже и	1	7
37	можно было	2	7
38	вовсе не	1	6
39	с тем	2	6
40	но и	5	6
41	как и	4	6
42	хотя бы	3	6
43	один из	2	6
44	в руки	1	6
45	тем что	2	6
46	не могут	2	6
47	все это	5	6
48	и это	2	6
49	и тем	1	5
50	а не	7	5
51	в целом	1	5
52	что не	4	5
53	вместе с	1	5
54	в них	3	5
55	другой стороны	1	5
56	могут быть	2	5
57	есть и	1	5
58	в которых	1	5
59	уже в	1	5
60	как бы	5	5
61	не есть	6	5
62	сравнению с	1	4
63	еще не	8	4
64	во всяком	2	4
65	от этого	3	4
66	в разных	1	4
67	и для	3	4
68	еще и	1	4
69	и ее	1	4
70	крайней мере	1	4
71	по крайней	1	4
72	в виде	1	4
73	как это	1	4
74	по сравнению	1	4
75	в своей	3	4
76	а в	2	4
77	с этой	1	4
78	что он	4	4
79	это только	1	4
80	нельзя не	1	4
81	как она	1	4
82	не имеет	3	4
83	о чем	1	4
84	не просто	1	4
85	уже не	2	4
86	в котором	4	4
87	и что	3	4
88	истории и	2	4
89	и то	2	4
90	все эти	3	3
91	прошлом и	1	3
92	но с	1	3
93	и вот	1	3
94	говорить о	4	3
95	говорит о	1	3
96	на том	2	3
97	так же	1	3
98	известном смысле	1	3
99	к нему	1	3
100	и вообще	1	3
101	в конце	3	3
102	что это	1	3
