N	2gram	Tiupa_Narr_1	Dialekti
1	и не	23	30
2	может быть	15	20
3	не только	31	19
4	и в	11	19
5	по себе	4	18
6	и т	1	17
7	а не	13	16
8	в себе	6	15
9	т д	1	15
10	что она	1	14
11	потому что	5	14
12	то что	9	14
13	в том	8	14
14	так как	1	14
15	и даже	2	14
16	как бы	6	14
17	то же	8	12
18	точки зрения	5	12
19	не просто	1	12
20	но и	27	12
21	и все	3	12
22	и как	3	10
23	что это	1	10
24	в нем	4	10
25	как и	13	10
26	том что	7	10
27	стало быть	3	10
28	сказать что	2	10
29	так и	5	10
30	это не	3	10
31	по крайней	1	9
32	никогда не	4	9
33	времени и	9	9
34	крайней мере	1	9
35	не может	8	9
36	она есть	1	9
37	мы уже	1	8
38	в этом	12	8
39	в своей	5	8
40	с точки	1	8
41	не в	6	8
42	она не	2	8
43	прежде всего	4	8
44	и то	3	7
45	и к	1	7
46	как это	3	7
47	и притом	2	7
48	в душе	1	7
49	как будто	3	7
50	совершенно не	1	7
51	но это	1	7
52	что в	3	7
53	чтобы не	1	6
54	но не	4	6
55	отнюдь не	2	6
56	в то	4	6
57	и вообще	1	6
58	и та	1	6
59	что он	3	6
60	что не	2	6
61	того что	4	6
62	да и	2	6
63	жизни и	6	6
64	и потому	1	5
65	в силу	1	5
66	в одну	1	5
67	все равно	2	5
68	же время	4	5
69	и его	10	5
70	и с	3	5
71	в виду	1	5
72	сознания и	1	5
73	о том	4	5
74	можно сказать	5	5
75	но как	3	5
76	не то	1	5
77	что и	1	5
78	с другой	2	5
79	не обязательно	1	5
80	а именно	1	5
81	по своему	2	5
82	как раз	6	5
83	только что	2	5
84	в самом	6	5
85	только в	12	5
86	и есть	1	4
87	еще не	4	4
88	быть в	1	4
89	самом деле	3	4
90	тут же	1	4
91	в своем	3	4
92	все же	4	4
93	только то	1	4
94	та же	2	4
95	как он	1	4
96	при этом	19	4
97	он не	3	4
98	и вот	2	4
99	содержит в	1	4
100	и по	1	4
101	одно и	2	4
102	таким образом	1	4
103	одна и	1	4
104	нисколько не	1	4
105	в одном	4	4
106	все это	1	4
107	с ним	2	4
108	по своей	1	4
109	связи с	2	4
110	в таком	2	4
111	той или	5	4
112	в ее	1	4
113	и когда	1	4
114	ясно что	1	4
115	в другом	1	4
116	к нему	4	4
117	и только	2	4
