N	2gram	Propp_Russ_2	PoTuStor
1	может быть	13	17
2	и в	29	16
3	и пр	2	12
4	в этом	11	9
5	таким образом	6	9
6	прежде всего	2	9
7	и с	10	8
8	и его	1	8
9	не может	5	8
10	совершенно не	2	8
11	не только	10	7
12	сказать что	1	7
13	при этом	6	6
14	и это	1	6
15	для него	1	6
16	еще не	6	5
17	отношение к	1	5
18	все эти	3	5
19	только для	1	5
20	ту сторону	1	5
21	в него	2	5
22	как бы	18	5
23	на самом	2	4
24	и ее	2	4
25	и на	6	4
26	отнюдь не	1	4
27	и наконец	1	4
28	но в	5	4
29	в этой	3	4
30	в нем	1	4
31	его в	8	4
32	все это	10	4
33	как мы	3	4
34	так и	1	4
35	можно сказать	1	4
36	в его	1	4
37	с ними	1	4
38	только в	1	4
39	так как	13	4
40	и даже	1	4
41	но и	8	4
42	и не	1	4
43	и все	4	4
44	все что	1	4
45	во всех	3	3
46	и есть	1	3
47	и как	2	3
48	на две	2	3
49	их в	4	3
50	на этом	3	3
51	на этой	1	3
52	том что	22	3
53	во время	12	3
54	в одном	1	3
55	и притом	1	3
56	в основе	1	3
57	и оно	1	3
58	к себе	1	3
59	с другими	3	3
60	в том	22	3
61	в большинстве	1	3
62	только на	1	3
63	всяком случае	1	3
64	даже не	1	3
65	и др	1	3
66	вместе с	6	3
67	и потому	1	3
68	как это	4	3
69	могут быть	2	3
70	в основном	1	3
71	что в	22	3
72	в этих	3	3
73	а в	9	3
74	то что	5	3
75	только как	2	3
76	во всяком	1	3
77	ту же	1	2
78	же как	4	2
79	этой теории	1	2
80	в самом	1	2
81	мы уже	1	2
82	мы не	6	2
83	и о	3	2
84	говорить о	1	2
85	на них	4	2
86	между собой	2	2
87	из этих	2	2
88	совсем не	2	2
89	нет и	1	2
90	с этим	2	2
91	желаний и	1	2
92	в этот	10	2
93	что это	3	2
94	и через	3	2
95	вообще не	1	2
96	и по	3	2
97	то же	4	2
98	по своему	1	2
99	связанные с	2	2
100	связанных с	1	2
101	было бы	3	2
102	по всему	1	2
103	в них	4	2
104	как и	11	2
105	на первый	3	2
106	в своей	2	2
107	не менее	2	2
108	в науке	1	2
109	всей их	1	2
110	никогда не	2	2
111	сущность его	1	2
112	сводится к	1	2
113	так называемый	1	2
114	что на	2	2
115	все то	2	2
116	и всех	1	2
117	не будет	1	2
