N	2gram	Savitsky_P_1	FransuaR
1	и в	14	41
2	в этом	10	15
3	как и	1	14
4	то же	9	13
5	в этой	1	13
6	в его	2	12
7	в себе	3	11
8	в том	9	11
9	прежде всего	3	11
10	в то	7	10
11	все это	2	10
12	в своем	4	9
13	не в	5	9
14	же время	7	9
15	в качестве	9	9
16	но и	6	9
17	что в	4	9
18	но в	9	8
19	то что	4	8
20	в нем	3	7
21	в эпоху	1	7
22	в них	2	7
23	как бы	4	7
24	и не	12	7
25	мы видим	1	6
26	только в	7	6
27	это не	3	6
28	есть в	2	6
29	и к	4	5
30	не только	17	5
31	точки зрения	3	5
32	потому что	3	5
33	и это	2	5
34	в ней	6	5
35	уже в	1	5
36	что и	1	5
37	вместе с	1	5
38	так же	1	5
39	а в	4	5
40	место в	1	4
41	и на	1	4
42	хотя и	3	4
43	что это	1	4
44	при виде	1	4
45	и с	2	4
46	на этой	1	4
47	должно быть	2	4
48	том что	4	4
49	одна из	2	4
50	и здесь	1	4
51	и образы	1	4
52	может быть	5	4
53	было бы	6	4
54	к жизни	1	4
55	том числе	2	4
56	например в	2	3
57	и есть	2	3
58	с точки	3	3
59	с ее	1	3
60	он был	1	3
61	во всех	2	3
62	и по	1	3
63	связанные с	1	3
64	в мире	2	3
65	его в	1	3
66	тем самым	3	3
67	в отношении	10	3
68	не имеет	1	3
69	за то	1	3
70	и вся	1	3
71	в свете	1	3
72	в формах	1	3
73	из них	2	3
74	не было	2	3
75	но есть	1	3
76	не может	4	3
77	и потому	4	3
78	в это	1	3
79	с ними	3	3
80	является и	1	3
81	есть и	1	3
82	и другие	1	3
83	это в	1	3
84	также и	1	2
85	и движение	1	2
86	и то	1	2
87	из всех	1	2
88	есть не	2	2
89	мы не	3	2
90	в которой	1	2
91	еще не	1	2
92	в которых	5	2
93	время в	2	2
94	оно ни	1	2
95	с его	1	2
96	не просто	1	2
97	более или	1	2
98	и культурного	1	2
99	и еще	1	2
100	и вот	2	2
101	одно и	1	2
102	что все	1	2
103	с этим	2	2
104	далеко не	1	2
105	числе и	1	2
106	в этих	1	2
107	или менее	1	2
108	в историческом	1	2
109	что есть	1	2
110	и всегда	1	2
111	в области	11	2
112	они как	1	2
113	в недрах	2	2
114	не есть	1	2
115	должен быть	1	2
116	в себя	1	2
117	никогда не	1	2
118	особенно в	1	2
119	начала и	2	2
120	находится в	1	2
121	а также	4	2
122	в значительной	2	2
123	в отрыве	1	2
124	во всей	2	2
125	еще более	2	2
126	все существующее	1	2
127	того что	2	2
128	тот же	3	2
129	во времени	1	2
130	и ее	1	2
131	в большинстве	1	2
132	только на	1	2
133	же в	4	2
134	большинстве случаев	1	2
135	и других	2	2
136	входят в	1	2
137	них и	1	2
138	связаны с	1	2
139	именно в	2	2
140	а не	2	2
141	формах и	1	2
142	в данном	1	2
143	в отдельности	1	2
144	которые были	1	2
145	в результате	1	2
146	о котором	1	2
147	и как	3	2
148	отрыве от	1	2
149	одновременно и	1	2
150	бы оно	1	2
151	во всяком	1	2
152	от этой	1	1
153	отношения к	2	1
154	и через	1	1
155	и разрушения	1	1
156	смысл этого	1	1
157	должна быть	1	1
158	был и	1	1
159	момент когда	1	1
160	есть нечто	2	1
161	мир с	1	1
162	бы ни	2	1
163	конечно и	1	1
164	подчеркнуть что	1	1
165	в ее	2	1
166	но не	3	1
167	отличие от	1	1
168	в истории	1	1
169	что во	1	1
170	что именно	1	1
171	вот как	1	1
172	сопоставлять с	1	1
173	все же	1	1
174	и богатства	1	1
175	и этим	1	1
176	в самом	1	1
177	думать что	2	1
178	и будущее	1	1
179	св георгия	1	1
180	сливаются в	1	1
181	но на	1	1
182	не могла	1	1
183	к миру	1	1
184	они ведут	1	1
185	не как	1	1
186	ему на	1	1
187	этом мире	1	1
188	в каждом	1	1
189	силы они	1	1
190	как к	1	1
191	и иных	1	1
192	этом смысле	1	1
193	и тем	2	1
194	в жизни	2	1
195	в ином	1	1
196	по всему	1	1
197	для них	2	1
198	с тем	3	1
199	и уже	1	1
200	и путь	1	1
201	говорится о	1	1
202	по милости	1	1
203	к первому	1	1
204	и при	1	1
205	которую мы	2	1
206	мысль и	1	1
207	это ощущение	1	1
208	и без	3	1
209	всяком случае	1	1
210	в котором	4	1
211	рождает и	1	1
212	большей степени	4	1
213	мысли и	1	1
214	знаем что	1	1
215	в силу	2	1
216	эта не	1	1
217	не будем	2	1
218	что было	1	1
219	и наоборот	1	1
220	по себе	4	1
221	она не	1	1
222	иной раз	1	1
223	есть прежде	1	1
224	есть путь	1	1
225	более что	1	1
226	и народной	1	1
227	в других	1	1
228	что его	1	1
229	и о	5	1
230	происходит и	1	1
231	георгия в	1	1
232	мысль о	2	1
233	с собой	1	1
234	не с	1	1
235	и глубины	1	1
236	мире в	1	1
237	к духу	1	1
238	тем чем	1	1
239	именно потому	1	1
240	в применении	1	1
241	тех кто	4	1
242	но к	2	1
243	и что	1	1
244	притом в	1	1
245	в различных	1	1
246	переходит в	1	1
247	них в	1	1
248	также в	1	1
249	и пусть	2	1
250	поднимаясь к	1	1
251	культурного развития	1	1
252	всех стран	1	1
253	есть для	1	1
254	между тем	3	1
255	в творениях	1	1
256	себя в	1	1
257	в глубины	1	1
258	и любви	1	1
259	если мы	1	1
260	в виде	2	1
261	что по	1	1
262	одно из	1	1
263	гораздо большей	4	1
264	к ним	1	1
265	области архитектуры	1	1
266	эти явления	1	1
267	возможно что	1	1
268	сочетаются с	1	1
269	культуры нужно	1	1
270	но о	2	1
