N	3gram	Medvedev_U_1	Literetu
1	в то же	3	7
2	то же время	3	7
3	в этом отношении	2	5
4	с одной стороны	1	4
5	в том что	2	4
6	в данном случае	1	4
7	не может быть	4	3
8	так или иначе	1	2
9	и в частности	2	2
10	с другой стороны	3	2
11	тем что он	1	2
12	то же самое	2	2
13	не только в	1	2
14	то что ему	1	2
15	в самом деле	2	2
16	бы то ни	3	2
17	на то что	1	2
18	то ни было	3	2
19	то что было	1	1
20	может быть в	1	1
21	слово как таковое	1	1
22	в первую очередь	1	1
23	но это не	1	1
24	хотя бы и	2	1
25	это не только	1	1
26	которые могли бы	1	1
27	эстетического объекта и	1	1
28	в эстетический объект	1	1
29	и не только	1	1
30	могли бы послужить	1	1
31	и то что	2	1
32	для него не	1	1
33	более или менее	1	1
34	эстетического объекта в	1	1
35	в конечном счете	4	1
36	все же остается	1	1
37	не впадая в	1	1
38	быть не может	1	1
39	а не только	1	1
40	что такое искусство?	1	1
41	на первый взгляд	1	1
42	ее в том	1	1
43	свое место и	1	1
