N	2gram	Bakhtin_KF_1	FransuaR
1	и в	24	41
2	то есть	1	24
3	и т.п	1	19
4	мы уже	1	18
5	во всех	11	17
6	в нем	28	16
7	и с	1	16
8	и его	17	13
9	но и	9	13
10	в этом	14	12
11	все эти	10	11
12	все это	10	11
13	в самом	1	10
14	не только	5	10
15	так как	1	10
16	и др	1	10
17	прежде всего	2	10
18	то что	7	10
19	и на	3	9
20	о том	3	9
21	здесь в	1	9
22	и все	7	9
23	но в	5	8
24	в этой	2	8
25	никогда не	5	8
26	и до	1	7
27	как и	5	7
28	том что	4	7
29	и миром	1	7
30	в его	40	7
31	вовсе не	7	7
32	как бы	9	7
33	что в	4	7
34	также и	1	6
35	в то	3	6
36	один из	2	6
37	мы видим	1	6
38	вместе с	1	6
39	или в	1	6
40	что он	2	6
41	и он	1	5
42	с его	1	5
43	в ее	16	5
44	в своем	16	5
45	что это	3	5
46	в себе	21	5
47	то же	5	5
48	той же	1	5
49	рядом с	3	5
50	но он	1	5
51	во всем	7	5
52	тем что	3	5
53	так и	2	5
54	же время	2	5
55	в литературе	1	5
56	в одном	4	5
57	большинстве случаев	1	5
58	там где	5	5
59	того же	1	4
60	самом деле	3	4
61	в средние	1	4
62	конечно и	1	4
63	в ней	3	4
64	средних веков	1	4
65	как в	2	4
66	и как	2	4
67	и наконец	1	4
68	та же	2	4
69	а затем	1	4
70	в другом	3	4
71	не в	12	4
72	в основе	5	4
73	того чтобы	2	4
74	все же	5	4
75	нового времени	1	4
76	с ним	5	4
77	тот же	1	4
78	всех его	2	4
79	именно на	2	4
80	в большинстве	1	4
81	в результате	1	4
82	в котором	24	4
83	и даже	1	4
84	именно в	5	4
85	и от	1	4
86	а в	4	4
87	не может	27	4
88	средние века	1	4
89	все что	1	4
90	не остается	2	3
91	вместо того	1	3
92	т.п но	1	3
93	в чем	4	3
94	мы будем	1	3
95	с этим	1	3
96	в первом	1	3
97	при этом	4	3
98	людей и	2	3
99	связанных с	1	3
100	на все	1	3
101	было бы	8	3
102	весь мир	2	3
103	и их	6	3
104	к этим	1	3
105	потому что	2	3
106	только с	3	3
107	в духе	1	3
108	есть только	1	3
109	котором мы	3	3
110	к нему	12	3
111	во втором	1	3
112	в него	2	3
113	того что	3	3
114	одной из	1	3
115	только в	16	3
116	поэтому и	1	3
117	конечно не	7	3
118	до того	1	3
119	что не	3	3
120	но оно	1	3
121	в данном	2	3
122	в первой	1	3
123	и смерти	1	3
124	и не	26	3
125	но это	6	3
126	не мог	1	3
127	и для	9	3
128	в третьем	1	3
129	между ними	1	3
130	первом случае	1	3
131	жизни и	8	3
132	в искусстве	1	3
133	они не	1	3
134	и то	2	2
