N	3gram	Propp_Isto_2	Psycholo
1	на то что	2	12
2	в том что	5	11
3	мы видим что	5	7
4	мы увидим что	3	7
5	с самого начала	2	6
6	до сих пор	6	5
7	с одной стороны	3	5
8	с другой стороны	2	5
9	и т д	18	4
10	о том что	2	3
11	о том как	1	2
12	мы видим в	1	2
13	на самом деле	2	2
14	должен был бы	1	2
15	как мы увидим	1	2
16	вместе с тем	5	2
17	не то что	1	2
18	смысле этого слова	1	2
19	и то же	1	2
20	параллельно с этим	1	2
21	что у него	1	2
22	то что он	1	2
23	потому что они	1	2
24	мы видели что	1	2
25	мы увидим ниже	4	2
26	вовсе не в	1	2
27	мы не можем	1	2
28	образом мы видим	1	2
29	и вместе с	2	2
30	и в другом	1	2
31	и здесь он	1	1
32	но все же	4	1
33	потому что он	2	1
34	т д вот	1	1
35	и может быть	2	1
36	но это только	1	1
37	тех случаев которые	1	1
38	самая важная сторона	1	1
39	в зависимости от	1	1
40	что он не	4	1
41	в отличие от	1	1
42	именно в тех	1	1
43	но они не	2	1
44	с тем что	3	1
45	можно показать что	1	1
46	дело вовсе не	1	1
47	то что под	1	1
48	можно было бы	3	1
49	с этим и	1	1
50	и здесь мы	1	1
51	но если мы	1	1
52	в какой это	1	1
53	что и здесь	1	1
54	что под этим	1	1
55	здесь мы видим	2	1
56	когда она была	1	1
57	в сущности это	1	1
58	как один из	1	1
59	в течение месяца	1	1
60	и ничего не	2	1
61	что он видит	1	1
62	дело не в	2	1
63	мы уже видели	3	1
64	мы перейдем к	1	1
65	том что они	1	1
66	а на самом	1	1
67	и той же	1	1
68	почему он не	1	1
69	не только у	1	1
70	бросается в глаза	1	1
71	он признает что	1	1
72	увидим что герой	1	1
73	и говорит если	1	1
74	указать на то	1	1
75	в тех случаях	1	1
76	так например в	1	1
77	все это только	1	1
78	таким образом мы	1	1
79	мы можем сказать	1	1
80	не только не	1	1
81	не только нет	1	1
82	в себя и	1	1
83	на многих примерах	1	1
84	мы знаем что	10	1
85	один из его	1	1
86	по этому поводу	1	1
87	одной и той	1	1
88	оно стоит в	1	1
89	показывает что он	1	1
90	не может быть	2	1
91	по его мнению	1	1
92	в высшей степени	1	1
93	подобно тому как	3	1
94	к тому же	2	1
95	уже с самого	2	1
96	не в этом	1	1
