N	3gram	Nazirov_Tv_2	UchenyiS
1	в конечном счете	1	4
2	не может быть	3	4
3	по нашему мнению	4	3
4	с другой стороны	2	3
5	то же время	7	3
6	в то же	7	3
7	не могут быть	1	2
8	в самом деле	2	2
9	до сих пор	3	2
10	в том что	2	2
11	по крайней мере	2	2
12	еще ничего не	1	2
13	но прежде всего	2	1
14	нам представляется что	1	1
15	все же не	2	1
16	и это для	1	1
17	в этом плане	1	1
18	и в то	2	1
19	является одним из	1	1
20	а не то	1	1
21	в первую очередь	1	1
22	нас до сих	1	1
23	но это не	1	1
24	и прежде всего	1	1
25	в частности с	1	1
26	художественного произведения как	1	1
27	у нас до	1	1
28	может быть в	1	1
29	но в то	1	1
30	тем что он	1	1
