N	4gram	Voloshinov_2	formyVre
1	в то же время	8	6
2	одного и того же	4	5
3	одно и то же	3	3
4	с нашей точки зрения	2	3
5	с одной стороны и	2	2
6	дело в том что	1	2
7	в том числе и	1	2
8	можно прямо сказать что	1	2
9	в соответствии с этим	1	2
10	как мы уже сказали	1	2
11	но для того чтобы	1	2
12	с самого начала не	1	1
13	может быть и речи	2	1
14	мы уже указывали что	1	1
15	в той или иной	3	1
16	как мы уже знаем	2	1
17	мы не претендуем на	1	1
18	той или иной степени	2	1
19	не может быть и	2	1
20	в жизни и в	1	1
21	не подлежит конечно сомнению	1	1
22	но в то же	5	1
23	все более и более	2	1
