N	2gram	Kanaev_Sov_1	Problema
1	и в	7	44
2	вовсе не	1	37
3	и не	6	35
4	может быть	12	28
5	по себе	1	25
6	в том	4	21
7	только в	1	19
8	а не	3	18
9	в этом	7	17
10	если мы	4	16
11	для нас	3	16
12	сказать что	1	16
13	когда мы	3	15
14	не только	4	14
15	и даже	2	14
16	то же	3	13
17	не в	3	13
18	но в	3	12
19	том что	1	12
20	той или	1	12
21	не является	1	11
22	отнюдь не	3	10
23	как и	6	10
24	тем не	2	10
25	не менее	2	10
26	у нас	3	10
27	не имеет	1	9
28	в нем	3	9
29	это не	4	9
30	в то	1	9
31	и это	1	9
32	в его	2	9
33	так как	4	9
34	в данном	1	9
35	как бы	4	9
36	же самое	2	9
37	таким образом	11	9
38	и от	1	9
39	во всяком	2	9
40	в себе	3	8
41	он не	1	8
42	было бы	3	8
43	ни в	1	8
44	но это	1	8
45	и вообще	1	8
46	только и	1	8
47	связи с	1	8
48	как мы	2	8
49	или иной	2	8
50	что же	5	8
51	что в	2	8
52	это и	1	7
53	мы не	9	7
54	в связи	1	7
55	на самом	1	7
56	все эти	5	7
57	мы должны	4	7
58	ничего общего	1	7
59	данном случае	1	7
60	с ним	1	7
61	и что	2	7
62	с другой	1	7
63	значит что	1	7
64	уже не	2	7
65	не может	17	7
66	и потому	3	7
67	в целом	4	6
68	все же	3	6
69	и к	3	6
70	о том	1	6
71	и если	1	6
72	то ни	2	6
73	ясно что	3	6
74	но если	1	6
75	но только	1	6
76	никогда не	1	6
77	и только	1	6
78	всяком случае	2	6
79	сами по	1	6
80	мы можем	6	6
81	такого рода	2	6
82	в виде	2	6
83	жизни и	4	6
84	и есть	2	5
85	есть не	1	5
86	еще не	3	5
87	в своем	1	5
88	хотя и	1	5
89	в нашем	2	5
90	точки зрения	12	5
91	является только	1	5
92	и его	1	5
93	в ней	1	5
94	крайней мере	1	5
95	только на	1	5
96	то и	2	5
97	в конце	3	5
98	не было	1	5
99	по крайней	1	5
100	этом случае	1	5
101	так же	1	5
102	все это	3	5
103	а в	4	5
104	состоит из	3	5
105	в таком	2	5
106	не что	1	4
107	не имеют	1	4
108	мы уже	1	4
109	что иное	1	4
110	он сам	1	4
111	иное как	1	4
112	бы то	1	4
113	но как	1	4
114	чем же	1	4
115	при этом	3	4
116	раз и	1	4
117	дело в	1	4
118	отличается от	3	4
119	можно было	1	4
120	мы в	1	4
121	на этот	2	4
122	мы говорим	1	4
123	это значит	1	4
124	или в	1	4
125	или другой	1	4
126	совершенно не	2	4
127	сколько угодно	1	4
128	же как	1	3
129	здесь и	1	3
130	говорить о	2	3
131	но не	1	3
132	кроме того	1	3
133	с понятием	1	3
134	в самом	2	3
135	что это	2	3
136	в этой	3	3
137	свою собственную	2	3
138	но все	2	3
139	значение в	2	3
140	его в	1	3
141	только о	1	3
