N	3gram	Bakhtin_Pr_1	Vvedenie
1	и т д	1	36
2	для того чтобы	2	20
3	в том что	3	12
4	в этом смысле	3	8
5	тем не менее	3	8
6	не может быть	11	8
7	в то же	3	6
8	в применении к	3	6
9	к выводу что	1	6
10	в самом деле	3	6
11	то же время	3	6
12	до сих пор	1	6
13	с другой стороны	4	5
14	и т п	13	5
15	с одной стороны	3	4
16	по сравнению с	1	4
17	и в этом	1	4
18	по отношению к	19	4
19	не что иное	1	4
20	не только в	2	4
21	в этом отношении	2	4
22	что иное как	1	4
23	на этот вопрос	1	4
24	в данном случае	4	4
25	можно было бы	3	4
26	о чем говорится	1	3
27	вопрос о том	1	3
28	и именно в	1	3
29	но в то	1	3
30	можно сказать что	2	3
31	широком смысле слова	1	3
32	с тем что	1	3
33	и тем не	1	3
34	и в самом	1	3
35	одной стороны и	1	3
36	в строгом смысле	2	3
37	в свое время	1	3
38	также и в	1	3
39	и в том	1	3
40	подобно тому как	1	2
41	а также и	1	2
42	в известной мере	1	2
43	может быть и	1	2
44	хотя бы и	1	2
45	всего то что	1	2
46	по своему значению	1	2
47	как мы уже	1	2
48	вообще не может	1	2
49	той или иной	2	2
50	не могут быть	2	2
51	в связи с	1	2
52	смысле этого слова	1	2
53	есть не что	1	2
54	имеет дело с	4	2
55	не говоря уже	1	2
56	дело в том	1	2
57	тем или иным	1	2
58	не в том	1	2
59	с точки зрения	6	2
60	то же самое	2	2
61	а в том	1	1
62	из всего сказанного	1	1
63	и др в	2	1
64	в подобных случаях	1	1
65	в том же	2	1
66	уже не к	1	1
67	во всех его	4	1
68	в области изучения	2	1
69	как одна из	1	1
70	бы то ни	3	1
71	в одном и	1	1
72	и не в	1	1
73	т д мы	1	1
74	но в принципе	1	1
75	строгом смысле этого	1	1
76	идет речь в	1	1
77	мы имеем дело	2	1
78	а между тем	1	1
79	как момент в	1	1
80	имеем дело с	1	1
81	по себе не	1	1
82	его можно было	1	1
83	который мог бы	1	1
84	и даже к	1	1
85	к тому что	1	1
86	во всех отношениях	1	1
87	своему значению для	1	1
88	смысле слова но	1	1
89	и прежде всего	5	1
90	притом не только	1	1
91	в первом случае	1	1
92	того или иного	2	1
93	на самом деле	3	1
94	но не чувствует	1	1
95	отношению к нему	1	1
96	все это можно	1	1
97	в нем не	1	1
98	все то что	3	1
99	с самими этими	1	1
100	лицом к лицу	1	1
101	в настоящее время	1	1
102	в свою очередь	1	1
103	то или иное	2	1
104	здесь не может	1	1
105	можно и должно	1	1
106	в самом широком	1	1
107	может быть только	3	1
108	имеют дело с	1	1
109	не было бы	1	1
110	язык в его	1	1
111	следует что в	1	1
112	к своему предмету	1	1
113	та или иная	1	1
114	в том как	1	1
115	но и в	2	1
116	культурной жизни как	1	1
117	одна из сторон	1	1
118	в отличие от	5	1
119	в лучшем случае	2	1
120	его отношение к	1	1
121	не входят в	2	1
122	то ни было	2	1
123	говоря уже о	1	1
