N	2gram	Berdyaev_N_1	Myshleni
1	в этом	7	29
2	и в	16	26
3	для себя	1	24
4	не только	5	24
5	то что	4	24
6	того чтобы	2	19
7	для того	1	18
8	в том	8	18
9	и не	11	18
10	том что	2	17
11	потому что	4	16
12	как и	7	15
13	так как	1	14
14	так же	2	14
15	и его	1	12
16	вместе с	2	12
17	что в	9	12
18	мысли и	2	11
19	в которой	1	11
20	но и	3	11
21	не может	16	11
22	по своей	1	10
23	в сущности	1	9
24	в самом	1	9
25	в себе	2	9
26	мысли в	2	9
27	тем что	1	9
28	что мы	1	9
29	по своему	4	9
30	же как	2	8
31	что она	2	8
32	что он	1	8
33	только в	1	8
34	сказать что	3	8
35	мы не	2	7
36	и к	5	7
37	о природе	1	7
38	к тому	3	7
39	может быть	7	7
40	прежде всего	4	7
41	вопрос о	3	6
42	во всех	3	6
43	все эти	2	6
44	движение от	2	6
45	было бы	1	6
46	в ее	3	6
47	к внутренней	1	6
48	нас к	1	6
49	и что	2	6
50	своему строению	1	6
51	а не	17	6
52	в смысле	2	6
53	мы должны	1	6
54	как на	1	6
55	все что	1	6
56	из всех	1	5
57	оно есть	1	5
58	же мере	1	5
59	в силу	1	5
60	и с	2	5
61	с тем	3	5
62	что этот	1	5
63	она не	3	5
64	в виду	1	5
65	можно сказать	1	5
66	с одной	2	5
67	и их	1	5
68	слова в	1	5
69	одной стороны	2	5
70	как это	2	5
71	и для	4	5
72	еще не	3	4
73	с другой	3	4
74	это и	2	4
75	как в	3	4
76	но в	2	4
77	и во	1	4
78	в такой	1	4
79	в котором	1	4
80	не в	6	4
81	в той	1	4
82	не менее	4	4
83	не по	1	4
84	никогда не	6	4
85	своей природе	1	4
86	в области	1	4
87	не могут	1	4
88	не есть	3	4
89	перейти к	3	4
90	приводит к	1	4
91	о том	4	4
92	в его	1	4
93	и только	1	4
94	речи о	1	4
95	во внешней	1	4
96	в конце	1	4
97	друг друга	1	4
98	это есть	7	4
99	должны быть	1	4
100	и от	2	4
101	связана с	2	3
102	только потому	1	3
103	мы уже	1	3
104	из ее	2	3
105	в ней	5	3
106	в чем	1	3
107	но не	2	3
108	нет и	2	3
109	в этой	1	3
110	в этот	1	3
111	из этих	1	3
112	он не	8	3
113	так и	2	3
114	и заключается	2	3
115	с другими	1	3
116	делается в	1	3
117	такой же	2	3
118	в своей	3	3
119	переходе от	2	3
120	мы в	1	3
121	том и	2	3
122	по себе	1	3
123	в основе	3	3
124	я не	2	3
125	во всем	1	3
126	но также	1	3
127	с собой	1	3
128	для этого	2	3
129	с ним	1	3
130	нуждается в	1	3
131	это не	4	3
132	движения в	1	3
133	к нему	1	3
134	есть в	2	3
135	менее всего	1	3
136	до сих	1	3
137	и потому	4	3
138	сих пор	1	3
