N	2gram	Bakhtin_sl_1	VLabPisa
1	таким образом	9	27
2	в этом	12	26
3	и в	41	25
4	и т	28	24
5	не только	16	22
6	может быть	14	21
7	хотя бы	3	20
8	и не	16	19
9	не может	14	17
10	т д	5	15
11	в его	13	15
12	в процессе	4	14
13	прежде всего	8	13
14	в том	3	13
15	этом отношении	1	13
16	все это	5	12
17	в частности	2	12
18	вот что	1	11
19	из них	3	11
20	с другой	5	11
21	в качестве	3	10
22	не могут	3	10
23	о том	3	10
24	т п	23	9
25	для него	3	9
26	но и	16	9
27	то же	14	9
28	и др	14	9
29	к этому	2	9
30	все эти	9	8
31	другой стороны	4	8
32	могут быть	19	8
33	в своем	3	8
34	из этих	3	7
35	как и	4	7
36	же в	1	7
37	не было	3	7
38	произведения и	2	7
39	во всех	17	7
40	вместе с	1	7
41	произведения в	1	7
42	творчества в	1	7
43	а не	15	7
44	было бы	3	7
45	том что	2	7
46	в себе	3	6
47	и его	14	6
48	так и	11	6
49	в нем	30	6
50	у него	3	6
51	бы и	3	6
52	между тем	2	6
53	это не	6	6
54	в то	14	6
55	или менее	3	6
56	более или	3	6
57	в зависимости	3	6
58	том же	4	6
59	художественного произведения	1	6
60	в основном	3	6
61	одним из	4	5
62	работы над	1	5
63	приводит к	1	5
64	все же	7	5
65	же время	12	5
66	в плане	6	5
67	не в	7	5
68	в их	4	5
69	произведения как	3	5
70	зависимости от	3	5
71	сказать что	2	5
72	один из	4	5
73	действительности и	1	5
74	тому что	2	5
75	только в	6	5
76	в результате	3	5
77	и есть	1	5
78	не является	2	5
79	в пределах	14	5
80	связи с	2	5
81	как бы	12	5
82	можно сказать	2	4
83	как раз	2	4
84	даже в	2	4
85	в своей	7	4
86	в одном	2	4
87	в ее	2	4
88	это только	1	4
89	никогда не	3	4
90	в целом	2	4
91	них не	1	4
92	перед нами	4	4
93	всего произведения	2	4
94	в романе	21	4
95	художника в	1	4
96	что все	2	4
97	с ними	3	4
98	в них	6	4
99	одна из	2	4
100	равно как	1	4
101	в этой	1	4
102	в самом	5	4
103	для его	1	4
104	к тому	3	4
105	с его	4	4
106	должен быть	1	4
107	момент в	1	3
108	со своим	5	3
109	в значительной	1	3
110	п в	1	3
111	в комнату	1	3
112	или в	8	3
113	жизни и	1	3
114	что они	2	3
115	так же	2	3
116	как на	1	3
117	в котором	2	3
118	и ее	3	3
119	и их	1	3
120	то наконец	1	3
121	большей или	4	3
122	точки зрения	16	3
123	например в	2	3
124	и он	1	3
125	у тургенева	7	3
126	что говорит	1	3
127	его в	3	3
128	сводится к	1	3
129	при всем	3	3
130	того что	3	3
131	этого типа	2	3
132	нет и	1	3
133	но как	1	3
134	и мир	5	3
135	из его	1	3
136	и к	5	3
137	у нас	2	3
138	что не	1	3
139	данного произведения	1	3
140	в основных	1	3
141	и от	4	3
142	с этим	3	3
143	мы видели	1	3
144	или меньшей	4	3
145	в слове	7	3
146	бы в	1	3
147	образом в	3	3
148	всех этих	4	3
149	именно в	3	3
150	что и	1	3
151	она не	3	3
152	далеко не	5	3
153	как целого	1	3
154	одном из	1	3
155	не столь	1	3
156	его не	1	3
157	по существу	3	3
158	и по	2	3
159	в которых	1	3
160	и художественное	1	3
161	в виду	1	3
162	в другую	1	3
163	в авторской	1	3
164	бы не	1	2
165	может не	8	2
166	произведения не	2	2
167	в которой	4	2
168	показывает как	1	2
169	и непосредственно	5	2
170	но с	1	2
171	вне его	2	2
172	еще не	4	2
173	же как	2	2
174	в другом	2	2
175	одной из	3	2
176	у каждого	2	2
177	отличается от	1	2
178	на это	1	2
179	и для	4	2
180	в жизни	1	2
181	крайней мере	1	2
182	не менее	1	2
183	вовсе не	7	2
184	по крайней	1	2
185	в сознании	2	2
186	от различных	1	2
187	сих пор	2	2
188	этой точки	1	2
189	он в	5	2
190	до сих	2	2
191	такое понимание	2	2
192	в системе	1	2
193	которая не	3	2
194	с другими	5	2
195	того чтобы	1	2
196	во всяком	7	2
197	можно было	2	2
198	между прочим	1	2
199	на язык	2	2
200	того или	2	2
201	а в	6	2
202	слова не	1	2
203	между ними	2	2
204	стороны и	1	2
205	но не	2	2
206	остановимся на	2	2
207	и слова	1	2
208	роль в	2	2
209	и некоторые	1	2
210	и формы	4	2
211	связанное с	1	2
212	а затем	1	2
213	точном смысле	1	2
214	у них	2	2
215	и даже	6	2
216	хотя и	2	2
217	что для	1	2
218	которые в	3	2
219	для того	2	2
220	в большей	3	2
221	а как	2	2
222	но в	8	2
223	и через	1	2
224	о своем	1	2
225	включен в	2	2
226	лишь в	4	2
227	например у	1	2
228	в самых	2	2
229	смысле слова	2	2
230	в течение	1	2
231	труда и	1	2
232	тургенева и	1	2
233	и потому	4	2
234	лица и	1	2
235	всяком случае	5	2
236	к ним	1	2
237	не столько	1	2
238	о чем	1	2
239	мы имеем	1	2
240	и может	3	2
241	могут не	2	2
242	ту же	4	2
243	единстве целого	1	2
244	процессе своего	1	2
245	в каждом	4	2
246	если бы	1	2
247	сюжетов и	1	2
248	в особенности	8	2
249	сознание художника	1	2
250	только не	1	2
251	одной стороны	4	2
252	но даже	1	2
253	из своих	2	2
254	от того	1	2
255	с одной	4	2
256	эти явления	1	2
257	чтобы не	1	2
258	ни с	1	2
259	как известно	1	2
260	он не	3	2
261	в точном	1	2
262	явления в	1	2
263	как у	1	2
264	в различных	1	2
265	этого рода	1	2
266	также и	3	2
267	от них	1	2
268	в общем	1	2
269	всех его	7	2
270	все они	7	2
271	единого и	4	2
272	в ней	4	2
273	что она	1	2
274	формы и	3	2
275	он может	2	2
276	от его	3	2
277	которые обычно	1	2
278	в творческом	1	2
279	заключается в	1	2
280	они не	1	2
281	или иной	9	2
282	меньшей степени	4	2
283	человека в	1	2
284	что мы	1	2
285	легко и	1	2
286	связана с	2	2
287	он и	1	2
288	за его	1	1
289	что по	1	1
290	по их	1	1
291	единства в	1	1
292	сознания на	1	1
293	каждый из	1	1
294	герои не	1	1
295	лишь те	1	1
296	и стихи	1	1
297	может только	1	1
298	и чисто	3	1
299	или иное	1	1
300	как мы	8	1
301	всех сторон	1	1
302	было предложено	1	1
303	или только	1	1
304	не значит	1	1
305	на его	8	1
306	в в	1	1
307	но она	1	1
308	есть для	2	1
309	в форме	1	1
310	в свои	1	1
311	на себе	1	1
312	поэзии и	4	1
313	для нас	2	1
314	образе в	1	1
315	среда в	1	1
316	выделить элементы	1	1
317	и наконец	4	1
318	одно и	2	1
319	его стихи	1	1
320	данном случае	3	1
321	на данном	1	1
322	входит в	4	1
323	от всех	1	1
324	в него	3	1
325	произведения от	1	1
326	мы и	2	1
327	именно к	1	1
328	но он	2	1
329	аналогии с	1	1
330	в стороне	1	1
331	о котором	1	1
332	образа до	1	1
333	моменты в	1	1
334	этого не	1	1
335	и композиционно	2	1
336	то время	2	1
337	в более	1	1
338	мышления и	1	1
339	в поэзии	3	1
340	себя от	2	1
341	перед необходимостью	1	1
342	но у	1	1
343	почти каждый	1	1
344	сущности и	1	1
345	на своем	5	1
346	в словесной	1	1
347	здесь не	2	1
348	для них	2	1
349	на этот	1	1
350	и качеств	1	1
351	и объединением	1	1
352	конкретность как	1	1
353	смысла и	3	1
354	из видов	1	1
355	только на	2	1
356	кроме того	4	1
357	остаются вне	1	1
358	наконец некоторые	1	1
359	в каком	1	1
360	на этом	2	1
361	в формировании	1	1
362	и все	4	1
363	в несколько	1	1
364	есть в	1	1
365	жанров но	1	1
366	в устах	1	1
367	на то	1	1
368	они могут	7	1
369	в виде	2	1
370	на эту	1	1
371	со всех	1	1
372	и сюжеты	1	1
373	и связанное	1	1
374	наконец в	2	1
375	и борьба	1	1
376	с ним	7	1
377	те или	3	1
378	в какой	1	1
379	его можно	1	1
380	и так	1	1
381	различной степени	1	1
382	и во	3	1
383	и жанров	2	1
384	время как	2	1
385	его и	3	1
386	личности и	1	1
387	хотя может	1	1
388	язык данного	1	1
389	и другие	1	1
390	образом на	1	1
391	как увидим	2	1
392	романа в	3	1
393	дело не	2	1
394	в понимании	3	1
395	и без	1	1
396	каждого из	1	1
397	варьируются в	1	1
398	от него	1	1
399	не меньшим	1	1
400	почти с	1	1
401	относятся к	1	1
402	сил эти	1	1
403	богатой и	1	1
404	таков первый	1	1
405	и движение	1	1
406	а только	1	1
407	в социальном	1	1
408	не дает	1	1
409	а между	2	1
410	всю его	2	1
411	в нормальном	1	1
412	жизнь в	2	1
413	автора как	1	1
414	то в	2	1
415	есть и	1	1
416	еще дальше	1	1
417	что самое	1	1
418	собой в	1	1
419	на протяжении	2	1
420	он совершенно	1	1
421	находит свое	1	1
422	или даже	2	1
423	слова к	1	1
424	и свою	1	1
425	осознания уже	1	1
426	тем это	1	1
427	и напряженной	1	1
428	же не	1	1
429	все его	4	1
430	все то	1	1
431	между собой	2	1
432	бы сами	1	1
433	выражения в	1	1
434	произведения так	2	1
435	своих произведений	1	1
436	но только	1	1
