N	3gram	Tiupa_Narr_1	Tvorches
1	в то же	4	13
2	то же время	4	12
3	в том что	5	6
4	о том что	2	5
5	в конечном счете	1	4
6	преступление и наказание	1	4
7	дело в том	2	3
8	и все же	2	3
9	в соответствии с	4	3
10	по сути дела	1	3
11	это уже не	1	2
12	на самом деле	1	2
13	и та же	1	2
14	прошлого и будущего	1	2
15	точно так же	1	2
16	по крайней мере	1	2
17	в этой связи	1	2
18	в данном случае	8	2
19	не только в	6	2
20	на протяжении всего	1	2
21	можно сказать что	2	2
22	и в то	1	2
23	в русской литературе	1	2
24	тем не менее	3	2
25	в чем он	1	1
26	что иное как	1	1
27	тем самым как	1	1
28	на втором плане	1	1
29	и того же	1	1
30	не сами по	1	1
31	как один из	1	1
32	имеют для них	1	1
33	занимает особое место	1	1
34	то же самое	2	1
35	дело не только	1	1
36	в отрыве от	1	1
37	все та же	1	1
38	пока что еще	1	1
39	с установкой на	2	1
40	по отношению к	3	1
41	до сих пор	2	1
42	сами по себе	2	1
43	в отличие от	2	1
44	друг на друга	2	1
45	и не мог	1	1
46	в первой главе	1	1
47	только то что	1	1
48	бы то ни	1	1
49	заключает в себе	2	1
50	в финале рассказа	1	1
51	не то что	1	1
52	же время они	1	1
53	ее и не	1	1
54	войне и мире	2	1
55	подробнее об этом	1	1
56	и его и	1	1
57	то ни было	1	1
58	с одной стороны	1	1
59	но при этом	1	1
60	в известном смысле	2	1
61	и как бы	1	1
62	как и на	1	1
63	самым как бы	1	1
64	в связи с	2	1
65	настоящего и будущего	1	1
66	для всего мира	1	1
67	одна и та	1	1
68	что у него	1	1
69	бросается в глаза	1	1
70	по себе а	1	1
71	в войне и	2	1
72	в свою очередь	2	1
73	но на этот	1	1
74	и в самом	1	1
75	он не может	1	1
76	с другой стороны	1	1
77	одного и того	1	1
78	интересны не сами	1	1
79	в творчестве чехова	1	1
80	к тому что	1	1
81	внешнего и внутреннего	1	1
82	как и в	1	1
83	друг для друга	2	1
84	к тому же	5	1
85	и т д	1	1
