N	2gram	Ircho_Kome_3	Myshleni
1	с помощью	4	42
2	и в	22	25
3	в развитии	2	24
4	в том	12	23
5	и речи	4	20
6	том что	13	20
7	так же	4	17
8	таким образом	12	17
9	что в	5	17
10	ребенка и	1	17
11	с тем	4	16
12	в основе	2	16
13	как и	3	15
14	то что	4	15
15	в его	8	15
16	вместе с	9	14
17	в этом	8	14
18	между собой	4	13
19	в целом	3	13
20	может быть	6	13
21	процесс образования	1	12
22	в качестве	2	12
23	так как	11	12
24	могли бы	1	11
25	на основании	2	11
26	по своему	3	11
27	что они	2	10
28	и не	21	10
29	только в	1	10
30	что и	8	10
31	и что	6	10
32	было бы	3	10
33	перед нами	1	10
34	как бы	3	10
35	связи с	5	9
36	мы не	2	9
37	как в	2	9
38	ни в	10	9
39	показывает что	1	8
40	того чтобы	6	8
41	как мы	2	8
42	тем что	5	8
43	не является	4	8
44	все эти	1	7
45	как это	5	7
46	по своей	1	7
47	для того	6	7
48	мы можем	3	7
49	столь же	3	7
50	в области	2	7
51	уже в	2	7
52	что мы	2	7
53	все же	4	6
54	в связи	4	6
55	того же	6	6
56	от этого	1	6
57	не менее	5	6
58	точки зрения	4	6
59	не в	4	6
60	со всеми	1	6
61	приходит к	1	6
62	но не	1	6
63	в силу	2	6
64	потому что	10	6
65	в отличие	1	6
66	отличие от	2	6
67	в отношении	4	6
68	представляет собой	3	6
69	зависимости от	1	6
70	один из	3	6
71	не может	3	6
72	как уже	1	6
73	и на	2	6
74	с другой	4	6
75	с самого	4	6
76	все это	5	6
77	в основном	1	6
78	и у	1	6
79	что он	8	6
80	не только	5	6
81	можно было	2	6
82	самого начала	4	6
83	одним из	2	5
84	при этом	7	5
85	друг с	1	5
86	могут быть	1	5
87	с другом	1	5
88	так и	4	5
89	с одной	3	5
90	из которых	2	5
91	и к	3	5
92	в пользу	1	5
93	человека и	2	5
94	отношения между	1	5
95	тем не	3	5
96	одной стороны	3	5
97	в зависимости	1	5
98	в этой	3	5
99	и как	1	5
100	о том	8	5
101	отличаются от	1	5
102	что она	4	5
103	и по	1	5
104	если бы	8	5
105	к одному	1	5
106	приводит к	3	4
107	еще не	6	4
108	во всяком	3	4
109	на то	3	4
110	прежде всего	5	4
111	речи что	1	4
112	время как	2	4
113	как с	1	4
114	и все	2	4
115	нет никаких	2	4
116	в какой	3	4
117	независимо от	1	4
118	с ним	5	4
119	в смысле	1	4
120	по сравнению	2	4
121	а в	7	4
122	не мог	2	4
123	к тому	6	4
124	но и	4	4
125	то время	2	4
126	мог бы	1	4
127	совпадают с	4	4
128	из этих	1	4
129	отнюдь не	4	4
130	сказать что	1	4
131	в то	6	4
132	с этим	3	4
133	никогда не	3	4
134	всяком случае	3	4
135	до известного	1	4
136	не столько	1	4
137	той же	1	4
138	мы имеем	1	4
139	друг друга	4	4
140	от того	2	4
141	не могут	2	4
142	он не	5	4
143	что речь	1	4
144	в частности	3	4
145	которые не	1	4
146	от нее	3	4
147	мы знаем	2	4
148	тем же	3	4
149	что с	2	4
150	и это	2	4
151	из них	5	4
152	в своем	8	4
153	и снова	1	4
154	им в	1	3
155	сравнению с	2	3
156	можно считать	1	3
157	ближе всего	1	3
158	перед ним	3	3
159	и их	1	3
160	вслед за	1	3
161	с ней	1	3
162	то обстоятельство	2	3
163	это обстоятельство	3	3
164	если в	1	3
165	ничего общего	1	3
166	наряду с	2	3
167	то в	1	3
168	его в	8	3
169	когда он	4	3
170	дело с	3	3
171	же точно	1	3
172	путь к	1	3
173	с этой	3	3
174	между ними	2	3
175	по этому	1	3
176	в себя	1	3
177	между тем	2	3
178	но как	1	3
179	не свободно	1	3
180	и сам	5	3
181	если мы	2	3
182	обстоятельство что	2	3
183	в случае	1	3
184	как он	3	3
185	во всем	1	3
186	а с	1	3
187	или менее	1	3
188	другой стороны	2	3
189	в котором	2	3
190	не как	2	3
191	на этом	1	3
192	значение в	1	3
193	того как	1	3
194	в самом	9	3
195	этом отношении	2	3
196	мы видим	1	3
197	пути к	1	3
198	в результате	2	3
199	их в	3	3
200	по отношению	5	3
201	когда в	1	3
202	которые в	1	3
203	который в	3	3
204	в которых	5	3
205	к этому	6	3
206	состоит в	2	3
207	в восприятии	1	3
208	в свою	7	3
209	что по	1	2
210	что слова	1	2
211	той ступени	1	2
212	и здесь	4	2
213	на его	2	2
214	к установлению	1	2
215	бы в	4	2
216	для нас	1	2
217	стороны он	1	2
218	место в	1	2
219	на пути	1	2
220	для обозначения	2	2
221	или в	1	2
222	о котором	1	2
223	на первый	1	2
224	является не	1	2
225	не будет	2	2
226	на которые	3	2
227	и для	4	2
228	как на	1	2
229	образом что	1	2
230	отношению к	3	2
231	пользуется словом	1	2
232	только после	1	2
233	с ребенком	4	2
234	в себе	4	2
235	отрицать что	1	2
236	в реальном	1	2
237	в нем	3	2
238	и во	2	2
239	без слов	1	2
240	этой точки	1	2
241	следовательно не	1	2
242	к другому	1	2
243	так что	6	2
244	на котором	1	2
245	с другими	2	2
246	относятся к	1	2
247	в своей	5	2
248	тот же	2	2
249	что там	1	2
250	об этом	7	2
251	в одном	2	2
252	но все	4	2
253	и только	1	2
254	в чем	1	2
255	с той	1	2
256	к жизни	1	2
257	здесь мы	1	2
258	конечно в	1	2
259	в начале	3	2
260	в таком	2	2
261	в нашей	1	2
262	постольку поскольку	1	2
263	на себя	4	2
264	хотя и	5	2
265	только что	7	2
266	этом и	1	2
267	и других	1	2
268	в этих	1	2
269	некоторое время	1	2
270	мы остановимся	1	2
271	а как	2	2
272	все время	2	2
273	и его	6	2
274	интересующей нас	1	2
275	в изучении	1	2
276	в течение	3	2
277	свою очередь	6	2
278	и от	1	2
279	они стали	1	2
280	и потому	1	2
281	этот момент	1	2
282	такого рода	1	2
283	так мы	1	2
284	моментов в	1	2
285	ясно что	6	2
286	задолго до	1	2
287	то же	7	2
288	и может	1	2
289	стоит задача	1	2
290	мы в	1	2
291	в них	3	2
292	для этого	1	2
293	всем этом	1	2
294	ни было	2	2
295	на которых	1	2
296	тому что	2	2
297	а по	5	2
298	в мире	2	2
299	склонны видеть	1	2
300	из того	3	2
301	все остальные	2	2
302	в своих	2	2
303	с его	3	2
304	едва ли	7	2
305	в построении	1	2
306	первый план	1	2
307	чтобы их	1	2
308	все они	1	2
309	а также	2	2
310	на этот	3	2
311	в тех	1	2
312	в следующем	1	2
313	иное чем	1	2
314	таким же	1	2
315	подходит к	1	2
316	и особенно	2	2
317	одного из	3	2
318	с уже	2	2
319	тому как	1	2
320	все еще	2	2
321	именно это	1	2
322	или иначе	2	2
323	указывает на	1	2
324	и эта	1	2
325	однако в	4	2
326	все что	3	2
327	не находит	1	1
328	ли сразу	1	1
329	не отличаются	2	1
330	быть с	1	1
331	что между	1	1
332	развития с	1	1
333	и там	1	1
334	этот раз	2	1
335	этого мало	1	1
336	ибо в	1	1
337	ребенка она	1	1
338	на несколько	1	1
339	полагать что	2	1
340	с более	1	1
341	это предположение	1	1
342	ибо именно	1	1
343	и с	4	1
344	и какова	1	1
345	которой мы	2	1
346	возможность проследить	1	1
347	заключить что	1	1
348	за него	1	1
349	и представляют	1	1
350	еще долго	1	1
351	все основания	1	1
352	в другом	2	1
353	вопрос о	1	1
354	некоторые исследователи	1	1
355	что их	2	1
356	в так	1	1
357	конце концов	2	1
358	вопрос почему	1	1
359	из общего	1	1
360	этого материала	1	1
361	они будут	2	1
362	в которой	3	1
363	так называемого	1	1
364	лишь бы	1	1
365	именно к	1	1
366	аналогии с	2	1
367	он только	1	1
368	как этот	2	1
369	уже известными	1	1
370	говорит о	1	1
371	бы то	2	1
372	в состоянии	1	1
373	для которого	1	1
374	другие не	1	1
375	все его	1	1
376	что начальные	1	1
377	сходство между	1	1
378	подробно на	1	1
379	к этим	1	1
380	в этот	1	1
381	они были	1	1
382	служить в	1	1
383	это как	1	1
384	для них	1	1
385	но при	2	1
386	был бы	2	1
387	выходит за	1	1
388	служить для	1	1
389	при необходимости	1	1
390	этому поводу	1	1
391	человека а	1	1
392	них не	1	1
393	остается еще	1	1
394	числе и	1	1
395	не по	7	1
396	может послужить	1	1
397	в большинстве	1	1
398	сих пор	9	1
399	как раз	6	1
400	ним в	1	1
401	хотя бы	4	1
402	легко понять	1	1
403	что эта	2	1
404	бы не	2	1
405	до сих	9	1
406	дело не	2	1
407	после чего	2	1
408	а не	4	1
409	они относятся	1	1
410	нисколько не	3	1
411	человека с	1	1
412	одному и	1	1
413	и видит	1	1
414	во всех	2	1
415	он так	3	1
416	например в	1	1
417	видит в	1	1
418	в другой	1	1
419	от друга	1	1
420	и совершенно	1	1
421	случае в	1	1
422	то ни	3	1
423	как его	1	1
424	не выдерживает	1	1
425	характеризуется как	1	1
426	и он	2	1
427	тем как	1	1
428	ребенка это	1	1
429	в это	1	1
430	до этого	2	1
431	одно из	1	1
432	последнего времени	1	1
433	появляющиеся в	1	1
434	и дальше	1	1
435	собой в	1	1
436	каким образом	1	1
437	такое же	2	1
438	за то	2	1
439	детьми и	1	1
440	в живых	1	1
441	по существу	2	1
442	сводится к	1	1
443	нуждается в	2	1
444	является ли	2	1
445	самом начале	1	1
446	с истинным	1	1
447	и ребенка	1	1
448	ничем не	4	1
449	несколько предметов	1	1
450	все известные	1	1
451	действия и	1	1
452	роль в	2	1
453	только один	2	1
454	уже после	1	1
455	в ее	3	1
456	превращается в	1	1
457	может не	1	1
458	без внимания	1	1
459	следует остановиться	1	1
460	отношение к	5	1
461	с общим	1	1
462	внимание что	1	1
463	раз эта	1	1
464	отношения к	2	1
465	и вперед	1	1
466	положение между	1	1
467	быть не	1	1
468	особенно в	1	1
469	на три	1	1
470	здесь нет	4	1
471	iii в	6	1
472	что ни	3	1
473	о которой	2	1
474	а затем	2	1
475	к каким	1	1
476	не так	3	1
477	но если	3	1
478	себе вопросы	1	1
479	можно предполагать	2	1
480	первая из	1	1
481	для данного	1	1
482	к ней	8	1
483	или на	1	1
484	действий и	1	1
485	и даже	3	1
486	не сводится	1	1
487	что для	2	1
488	с известными	1	1
489	остается то	1	1
490	больше того	2	1
491	из его	2	1
492	этом случае	2	1
493	одновременно с	1	1
494	вот что	1	1
495	на рубеже	1	1
496	с точки	3	1
497	на вопрос	2	1
498	на него	4	1
499	ни малейшей	1	1
500	не имеет	3	1
501	прийти к	1	1
502	роль играет	1	1
503	ко всем	1	1
504	не требует	1	1
505	на которой	1	1
506	чем к	2	1
507	но этот	1	1
508	но наиболее	1	1
509	которую он	2	1
510	являющаяся одним	1	1
511	что при	1	1
512	с которым	1	1
513	делает возможным	1	1
514	выражение в	1	1
515	для самого	1	1
516	что не	3	1
517	до того	2	1
518	общего с	1	1
519	что у	1	1
520	чтобы они	1	1
521	что к	4	1
522	на одном	1	1
523	не на	1	1
524	в самых	1	1
525	не объясняет	1	1
526	очевидно и	1	1
527	даже если	2	1
528	к достижению	1	1
529	нечто подобное	1	1
530	в сущности	2	1
531	он требует	1	1
532	да и	1	1
533	раннем детстве	1	1
534	тому же	6	1
535	относится к	1	1
536	слов только	1	1
537	же по	1	1
538	не знаем	1	1
539	но столь	1	1
540	том как	3	1
541	очевидно что	1	1
542	теми же	1	1
543	за пределами	2	1
544	отношения со	1	1
545	в объяснении	1	1
546	это делает	1	1
547	но сама	1	1
548	для завершения	1	1
549	видеть в	1	1
550	не о	3	1
551	в эпоху	2	1
552	или к	1	1
553	что все	1	1
554	по мнению	2	1
555	к вопросу	1	1
556	без всякого	2	1
557	не удается	1	1
558	по поводу	1	1
