N	3gram	Potebnia_M_3	Istorich
1	и т д	3	16
2	с другой стороны	4	8
3	не только в	4	5
4	о том что	1	5
5	с одной стороны	3	4
6	на первый взгляд	1	4
7	тем не менее	3	4
8	в том что	16	4
9	отсюда видно что	1	3
10	с этой стороны	2	3
11	не может быть	3	3
12	в данном случае	1	3
13	то время как	1	2
14	и в других	1	2
15	но и в	4	2
16	после того как	1	2
17	до сих пор	3	2
18	но тем не	2	2
19	в том чтобы	2	2
20	так и в	2	2
21	если не сделает	1	2
22	а в том	5	2
23	мы не можем	2	2
24	в то время	4	2
25	на свое место	1	2
26	то же что	4	2
27	как и в	2	2
28	что и в	3	2
29	потому что я	1	1
30	таким образом что	1	1
31	еще один пример	1	1
32	только потому что	2	1
33	мере того как	3	1
34	а не в	1	1
35	по отношению к	5	1
36	и может быть	2	1
37	по одной из	1	1
38	в самом деле	1	1
39	по мере того	3	1
40	нам кажется что	1	1
41	то же самое	1	1
42	и как он	1	1
43	только в том	3	1
44	и то и	1	1
45	сама по себе	2	1
46	что он не	3	1
47	и та же	1	1
48	но все это	1	1
49	и т п	2	1
50	как мы уже	1	1
51	а потом уже	1	1
52	то и другое	1	1
53	вместе с тем	4	1
54	все это в	1	1
55	в таких случаях	1	1
56	и что в	1	1
57	для первобытного человека	1	1
58	в первый раз	1	1
59	легко может быть	1	1
60	и тот же	1	1
61	заключается не только	1	1
62	одна и та	1	1
63	может быть названо	1	1
64	что мы видим	1	1
65	один и тот	1	1
66	в сказке о	1	1
67	более или менее	3	1
68	очевидно что здесь	1	1
69	нечто отличное от	1	1
70	потому что эти	1	1
71	это значит что	1	1
72	по тому что	1	1
73	с тем и	2	1
74	таким образом и	1	1
75	или в том	1	1
76	не прямо а	1	1
77	к тому что	2	1
78	мы видели при	1	1
79	для нас не	1	1
80	уже не в	1	1
81	и в каждом	1	1
82	как мы видели	1	1
