N	3gram	Vinokur_Ku_1	Hudozhes
1	о том что	5	9
2	и т п	18	8
3	то же время	2	8
4	по отношению к	8	8
5	в то же	2	8
6	в том что	15	6
7	в самом деле	7	4
8	можно было бы	3	4
9	к тому что	2	4
10	с точки зрения	9	3
11	в этом отношении	5	3
12	в связи с	3	3
13	та или иная	1	3
14	и в самом	2	3
15	тем не менее	4	3
16	и т д	14	3
17	только потому что	6	2
18	о том как	3	2
19	того или иного	3	2
20	что же касается	4	2
21	только в том	3	2
22	в первую очередь	2	2
23	до сих пор	4	2
24	для своего времени	1	2
25	не только в	1	2
26	так или иначе	2	2
27	не в том	4	2
28	вместо того чтобы	1	2
29	не может быть	3	2
30	самом деле в	1	2
31	несет на себе	1	2
32	речь идет о	2	2
33	на то что	2	2
34	на том что	1	1
35	потому что он	1	1
36	и там где	1	1
37	потому что оно	1	1
38	состоит в том	3	1
39	не раз он	1	1
40	прежде всего на	1	1
41	на самом деле	2	1
42	в этом смысле	3	1
43	т п все	1	1
44	том что он	4	1
45	потому что не	2	1
46	для себя и	1	1
47	том случае если	1	1
48	и в то	1	1
49	сами по себе	1	1
50	в иных случаях	2	1
51	вбирая в себя	1	1
52	более или менее	3	1
53	по своему содержанию	1	1
54	в себе и	1	1
55	в отличие от	1	1
56	к тому чтобы	1	1
57	все той же	1	1
58	в письме к	1	1
59	с этой точки	1	1
60	в том случае	1	1
61	в это время	1	1
62	но еще и	1	1
63	тогда как в	1	1
64	не потому что	3	1
65	в первом случае	1	1
66	так и в	2	1
67	и потому что	2	1
68	на себе печать	1	1
69	том что я	1	1
70	еще и потому	1	1
71	убеждает нас в	1	1
72	в том и	2	1
73	во всяком случае	5	1
74	то ни другое	1	1
75	не укладывается в	1	1
76	вследствие того что	1	1
77	в свое время	2	1
78	не только потому	1	1
79	в стороне от	1	1
80	а в том	2	1
81	уже на пороге	1	1
82	которое было ему	1	1
83	это еще не	1	1
84	т е все	1	1
85	ни другое не	1	1
86	на наших глазах	1	1
87	в свою очередь	3	1
88	было ясно что	1	1
89	ничего общего с	1	1
90	этой точки зрения	2	1
91	с тем что	1	1
92	но все же	2	1
93	том что когда	1	1
94	было бы ошибочно	1	1
95	того что он	1	1
96	друг от друга	1	1
97	ни то ни	1	1
98	не случайно ведь	1	1
99	в том смысле	1	1
100	них уже не	1	1
101	с одной стороны	1	1
102	нас в том	1	1
103	не в этом	1	1
