N	3gram	Vinokur_St_1	DiskursI
1	в том что	17	13
2	по отношению к	3	9
3	с одной стороны	2	9
4	о том что	11	5
5	то же время	4	4
6	это прежде всего	2	3
7	а с другой	1	3
8	не в том	2	3
9	той или иной	1	3
10	не может быть	5	3
11	с другой стороны	6	3
12	в то же	4	3
13	что же касается	3	2
14	мы имеем дело	1	2
15	том что в	3	2
16	а не в	1	2
17	не говоря уже	1	2
18	в том числе	2	2
19	в соответствии с	1	2
20	а в том	1	2
21	в одной из	1	2
22	говоря уже о	1	2
23	сами по себе	1	2
24	в наше время	1	2
25	том числе и	2	2
26	обратить внимание на	1	2
27	по крайней мере	2	2
28	на мой взгляд	1	2
29	в данном случае	6	2
30	в том чтобы	1	2
31	не только в	4	2
32	только в том	3	2
33	то все же	1	1
34	в этом случае	2	1
35	на том что	1	1
36	никогда не было	1	1
37	в которой он	1	1
38	не должно было	1	1
39	дело в том	4	1
40	одним и тем	2	1
41	далеко не все	1	1
42	на самом деле	6	1
43	одной из двух	1	1
44	в котором он	1	1
45	и даже не	2	1
46	также и в	1	1
47	в этом смысле	1	1
48	внимание на то	1	1
49	свидетельствует о том	1	1
50	о том как	1	1
51	именно в том	1	1
52	с точки зрения	8	1
53	до сих пор	7	1
54	и не может	1	1
55	говорит о том	2	1
56	и в то	1	1
57	хотя бы и	2	1
58	что он не	1	1
59	в первую очередь	2	1
60	только то что	1	1
61	свою задачу в	1	1
62	а иногда и	2	1
63	ту или иную	1	1
64	и мн др	3	1
65	содержит в себе	1	1
66	можно даже сказать	1	1
67	и тем же	2	1
68	и в том	2	1
69	в равной мере	2	1
70	как будто бы	1	1
71	во всех этих	1	1
72	в том случае	1	1
73	имеем дело с	2	1
74	как и вообще	1	1
75	том что он	1	1
76	тем или иным	3	1
77	во всяком случае	6	1
78	для правильного понимания	1	1
79	в целом ряде	1	1
80	согласно которому в	1	1
81	в свое время	2	1
82	того или иного	4	1
83	в этом отношении	7	1
84	так например в	4	1
85	в россии в	1	1
86	даже сказать что	1	1
87	так и в	4	1
88	с исчерпывающей полнотой	2	1
89	заключается в том	3	1
90	речь идет о	2	1
91	на то что	4	1
92	в данном отношении	5	1
93	в результате этого	1	1
94	в том и	1	1
95	может быть ни	1	1
96	тем не менее	2	1
97	но все же	3	1
98	дело не в	2	1
99	как и в	2	1
