N	2gram	Trubetskoy_1	Tvorches
1	и в	23	21
2	как бы	10	17
3	в то	6	15
4	то же	4	13
5	в его	5	13
6	то есть	2	12
7	как и	9	12
8	же время	2	12
9	что в	8	12
10	с его	1	11
11	том что	19	11
12	все это	11	10
13	как в	1	8
14	он не	3	8
15	то что	18	8
16	и на	6	7
17	но в	4	7
18	не только	7	7
19	при этом	9	7
20	тем самым	3	7
21	у него	5	7
22	и не	8	7
23	в том	30	7
24	в свою	2	7
25	в этом	12	6
26	в котором	2	6
27	не менее	7	6
28	и его	1	6
29	он сам	1	6
30	о том	7	6
31	и все	7	6
32	что он	7	6
33	для него	2	6
34	а в	3	6
35	жизни в	1	6
36	отнюдь не	2	5
37	все же	13	5
38	в этой	6	5
39	таким образом	31	5
40	вовсе не	2	5
41	в своих	2	5
42	потому что	9	5
43	как будто	5	5
44	только в	6	5
45	может быть	16	5
46	а не	1	5
47	хотя бы	4	5
48	из всех	5	4
49	в своем	10	4
50	и как	1	4
51	та же	3	4
52	в целом	5	4
53	в человеке	1	4
54	это не	3	4
55	в своей	1	4
56	мысли и	1	4
57	не случайно	1	4
58	в мире	6	4
59	прежде всего	3	4
60	на эту	1	4
61	не может	17	4
62	и от	5	4
63	один из	1	4
64	с большой	1	4
65	одним из	4	4
66	я и	1	3
67	ту же	2	3
68	на самом	7	3
69	это и	1	3
70	той же	1	3
71	я не	2	3
72	время в	1	3
73	что я	1	3
74	хотя и	4	3
75	в самом	8	3
76	в нем	3	3
77	на его	1	3
78	на земле	3	3
79	и по	3	3
80	в каждом	1	3
81	что все	5	3
82	и с	5	3
83	и других	2	3
84	далеко не	5	3
85	в их	4	3
86	представление о	3	3
87	даже в	3	3
88	человека но	1	3
89	самого начала	1	3
90	дело в	1	3
91	не по	1	3
92	никогда не	4	3
93	приходит к	1	3
94	с ее	2	3
95	и другие	1	3
96	с самого	1	3
97	в дальнейшем	2	3
98	с ним	6	3
99	в ту	2	3
100	того что	6	3
101	по мнению	1	3
102	уже не	1	3
103	уже в	1	3
104	в виде	4	3
105	не так	4	3
106	так как	7	3
107	в которой	5	3
108	и даже	1	3
109	с другой	6	3
110	но и	9	3
111	но не	2	3
112	просто не	1	3
113	но если	2	3
114	жизни и	2	3
115	ее в	1	3
116	так же	8	3
117	в нашей	1	2
118	того же	9	2
119	самом деле	12	2
120	некоторые из	1	2
121	на деле	1	2
122	в первом	1	2
123	а как	1	2
124	есть не	1	2
125	в ней	3	2
126	во имя	3	2
127	не то	3	2
128	если в	1	2
129	отличие от	3	2
130	как к	5	2
131	что как	4	2
132	и наконец	3	2
133	то в	2	2
134	отчасти и	1	2
135	в себе	5	2
136	прогресса и	1	2
137	что она	1	2
138	тем не	4	2
139	многие русские	1	2
140	в принципе	1	2
141	здесь мы	1	2
142	не будет	5	2
143	а затем	2	2
144	о котором	7	2
145	и тем	1	2
146	стремления к	1	2
147	в данном	3	2
148	такой же	2	2
149	в один	2	2
150	и того	3	2
151	в этих	3	2
152	не во	1	2
153	жизни с	1	2
154	не в	8	2
155	по крайней	1	2
156	однако в	1	2
157	между людьми	2	2
158	одна из	2	2
159	и притом	1	2
160	в основе	2	2
161	к ней	1	2
162	людей и	1	2
163	свидетельствует о	1	2
164	могут быть	1	2
165	является одним	1	2
166	к тому	8	2
167	в с	3	2
168	в жизни	3	2
169	в виду	2	2
170	не могу	1	2
171	данном случае	3	2
172	в в	4	2
173	из главных	1	2
174	мысль о	1	2
175	в себя	2	2
176	приводит к	1	2
177	на том	2	2
178	так и	10	2
179	за то	1	2
180	быть может	1	2
181	стремление к	1	2
182	может не	3	2
183	и та	1	2
184	настоящее время	2	2
185	и будет	2	2
186	что его	4	2
187	других людей	1	2
188	жизни он	1	2
189	что и	7	2
190	во всей	1	2
191	крайней мере	1	2
192	тот же	3	2
193	больше чем	1	2
194	в качестве	1	2
195	так что	5	2
196	же и	1	2
197	и у	4	2
198	при помощи	3	2
199	из них	5	2
200	мы находим	1	2
201	только на	1	2
202	именно в	5	2
203	что для	4	2
204	до конца	1	2
205	зависит от	1	2
206	мира в	1	2
207	все более	1	2
208	в частности	2	2
209	вместе с	6	2
210	надо было	1	2
211	к жизни	1	2
212	эти слова	1	2
213	еще более	1	2
214	общения с	1	2
215	перед нами	1	2
216	на эти	1	2
217	с законом	1	2
218	в одно	2	2
219	ли в	1	2
220	для этой	1	2
221	причем в	1	2
222	и среди	1	2
223	ее и	3	2
224	из себя	10	2
225	ибо в	4	2
226	только что	3	2
227	не знает	2	2
228	сказать что	1	2
229	к этому	5	2
230	точно так	1	2
231	гораздо более	2	2
232	как известно	3	1
233	от этой	1	1
234	эта идея	1	1
235	и развитие	2	1
236	к их	1	1
237	же как	3	1
238	этом пункте	1	1
239	основан на	1	1
240	очень много	3	1
241	на историю	1	1
242	из самых	1	1
243	и до	3	1
244	сам автор	1	1
245	оно было	1	1
246	также и	2	1
247	мы уже	4	1
248	этот народ	6	1
249	развития человечества	2	1
250	что если	3	1
251	и тут	1	1
252	европе в	1	1
253	в короткое	1	1
254	единство и	1	1
255	в сущности	2	1
256	время как	1	1
257	говорить о	2	1
258	университет историко-филологический	1	1
259	но даже	3	1
260	то это	1	1
261	не совсем	1	1
262	разобраться в	2	1
263	с большим	1	1
264	капитализма а	1	1
265	большей частью	1	1
266	и самого	1	1
267	одно из	3	1
268	еще не	5	1
269	по этому	2	1
270	они считают	1	1
271	между собой	4	1
272	в а	2	1
273	иное как	1	1
274	столь же	5	1
275	бы то	2	1
276	во всех	10	1
277	тем как	1	1
278	это имеет	1	1
279	в создании	1	1
280	совсем не	1	1
281	традиции все	1	1
282	они существуют	1	1
283	наряду с	1	1
284	друг на	1	1
285	него все	1	1
286	по отношению	9	1
287	а и	8	1
288	него с	2	1
289	тогда как	6	1
290	некоторые черты	1	1
291	что так	1	1
292	к сожалению	1	1
293	в истории	3	1
294	первый взгляд	1	1
295	человечества не	1	1
296	с этим	11	1
297	кроме того	1	1
298	и где	2	1
299	частей и	1	1
300	целый ряд	4	1
301	что по	3	1
302	его к	1	1
303	и к	5	1
304	этой цели	1	1
305	для ее	1	1
306	в этот	1	1
307	от своей	2	1
308	при таком	2	1
309	со своей	1	1
310	себя лично	1	1
311	что это	5	1
312	он в	1	1
313	все эти	19	1
314	еще далеко	1	1
315	однако совершенно	1	1
316	так в	1	1
317	еще один	1	1
318	сливаются в	1	1
319	тому же	6	1
320	и те	2	1
321	если он	2	1
322	у а	1	1
323	вследствие этого	2	1
324	он считает	2	1
325	и если	6	1
326	видит и	1	1
327	больше всего	1	1
328	своем развитии	3	1
329	да и	1	1
330	перестает быть	1	1
331	всех этих	4	1
332	идеи и	1	1
333	чем у	8	1
334	к одному	1	1
335	не к	1	1
336	представлению о	1	1
337	стоит хотя	1	1
338	и вот	1	1
339	важную роль	1	1
340	на этом	2	1
341	его можно	1	1
342	заключает в	2	1
343	то ни	3	1
344	же не	3	1
345	же касается	2	1
346	поэтому мы	1	1
347	на все	5	1
348	традиции и	1	1
349	на этой	2	1
350	его в	5	1
351	это было	1	1
352	заключается в	2	1
353	цивилизации и	2	1
354	который и	1	1
355	в глазах	2	1
356	бы нам	1	1
357	было бы	3	1
358	роль в	1	1
359	лишь на	1	1
360	прочим в	1	1
361	но мы	1	1
362	в них	2	1
363	о которых	6	1
364	даже без	1	1
365	их взаимоотношения	1	1
366	с этой	3	1
367	с тем	2	1
368	на друга	1	1
369	и уже	2	1
370	он и	1	1
371	друга в	1	1
372	в за	1	1
373	иногда в	1	1
374	ниже их	1	1
375	чем в	3	1
376	заколдованный круг	1	1
377	можно считать	1	1
378	о которой	2	1
379	их на	1	1
380	одного и	3	1
381	на первый	2	1
382	можно только	1	1
383	более близкий	1	1
384	что такое	1	1
385	и ее	2	1
386	на месте	2	1
387	в народе	4	1
388	что до	1	1
389	не от	1	1
390	от себя	2	1
391	выше он	1	1
392	для многих	1	1
393	живут в	1	1
394	образом и	2	1
395	оба они	1	1
396	мы были	1	1
397	не поймет	1	1
398	борьбу с	1	1
399	и более	2	1
400	как от	1	1
401	том же	4	1
402	что этот	1	1
403	на всю	1	1
404	единственный способ	1	1
405	которого уже	1	1
406	тому что	2	1
407	народом в	1	1
408	европейской культуры	6	1
