N	2gram	Berdyaev_M_2	Myslijsy
1	потому что	12	46
2	в том	3	32
3	и в	46	30
4	может быть	21	28
5	то же	5	23
6	не только	18	21
7	только в	3	21
8	но и	15	19
9	того что	6	18
10	том что	4	18
11	то что	5	18
12	не есть	13	17
13	что в	4	17
14	в себе	10	16
15	по себе	2	16
16	и не	18	15
17	не в	9	15
18	в сознании	1	15
19	а не	13	15
20	что и	4	13
21	так как	8	13
22	если бы	3	12
23	вместе с	2	12
24	а в	2	12
25	так и	4	11
26	этого слова	1	11
27	есть уже	4	11
28	как в	7	10
29	в этом	20	10
30	как и	13	10
31	и что	2	10
32	мы не	1	9
33	только тогда	1	9
34	в нем	22	9
35	было бы	1	9
36	тогда когда	2	9
37	между тем	2	9
38	для него	18	9
39	и то	1	8
40	в ней	11	8
41	в самом	5	8
42	от того	3	8
43	что не	2	8
44	только что	1	8
45	есть не	5	7
46	с тем	1	7
47	и без	1	7
48	тем что	3	7
49	так что	2	7
50	с другой	1	7
51	смысле этого	1	7
52	к тому	5	7
53	же что	2	6
54	с этим	1	6
55	с ним	3	6
56	не имеет	4	6
57	и теперь	1	6
58	те же	5	6
59	что он	7	6
60	уже не	4	6
61	а потому	1	6
62	не может	15	6
63	образ и	5	6
64	но это	8	6
65	человека и	7	5
66	сам по	2	5
67	на деле	4	5
68	по отношению	2	5
69	независимо от	1	5
70	в своем	8	5
71	и как	1	5
72	думать что	4	5
73	к одному	1	5
74	и тем	1	5
75	в них	3	5
76	можно видеть	1	5
77	к ней	2	5
78	как на	1	5
79	не могут	1	5
80	мысль о	2	5
81	уже в	2	5
82	тому как	2	5
83	отношению к	2	5
84	должно быть	2	5
85	сказать что	3	5
86	в действительности	2	5
87	есть ни	1	4
88	не все	1	4
89	не было	11	4
90	что это	6	4
91	бы не	2	4
92	он не	10	4
93	перестает быть	1	4
94	не к	2	4
95	одной и	2	4
96	в котором	1	4
97	себе а	1	4
98	того как	3	4
99	и его	5	4
100	до того	1	4
101	по поводу	1	4
102	для того	5	4
103	оно не	2	4
104	и это	5	4
105	в его	5	4
106	один из	5	4
107	все равно	3	4
108	себя и	3	4
109	для человека	3	4
110	и потому	7	4
111	все это	1	4
112	и от	3	4
113	мы должны	1	4
114	была бы	1	4
115	все что	4	4
116	я и	2	3
117	только потому	1	3
118	и есть	8	3
119	говорить о	1	3
