N	3gram	Losev_Vlad_3	KFilosof
1	не может быть	6	11
2	с точки зрения	6	10
3	и в своей	1	3
4	в котором он	1	3
5	в этом смысле	3	3
6	но и здесь	1	3
7	и в этом	5	3
8	в котором и	1	3
9	но все эти	1	3
10	бы он ни	1	2
11	на первом плане	3	2
12	бы то ни	3	2
13	лишь постольку поскольку	1	2
14	то ни было	1	2
15	и ни в	1	2
16	ни в каком	2	2
17	то же время	2	2
18	раз и навсегда	1	2
19	вовсе не есть	2	2
20	вопрос о том	1	2
21	той или иной	1	2
22	в то же	3	2
23	тем не менее	9	2
24	в том что	10	2
25	на то что	2	1
26	не может не	1	1
27	а следовательно и	1	1
28	именно в этой	1	1
29	то прежде всего	1	1
30	уже не будет	1	1
31	в теоретической философии	2	1
32	потому что в	1	1
33	ровно ничего не	1	1
34	между прочим и	1	1
35	в настоящее время	3	1
36	было ни в	1	1
37	он не дает	1	1
38	в том же	1	1
39	но совсем не	1	1
40	в подробный анализ	1	1
41	а не к	1	1
42	оно должно быть	2	1
43	только в том	3	1
44	хотя бы и	3	1
45	в которой я	1	1
46	но можно ли	1	1
47	независимо от того	2	1
48	в основе своей	1	1
49	в противном случае	1	1
50	и не в	1	1
51	вместе с тем	6	1
52	и тем не	1	1
53	и то что	4	1
54	может быть и	1	1
55	и в то	2	1
56	все эти бесконечные	1	1
57	не теряя своей	1	1
58	в себя и	1	1
59	мы имеем не	1	1
60	не содержит в	1	1
61	в известном смысле	1	1
62	него и в	1	1
63	в том случае	3	1
64	притом не только	1	1
65	всю свою жизнь	1	1
66	лишь при условии	1	1
67	дело в том	5	1
68	во всяком случае	3	1
69	в смысле совокупности	1	1
70	для того чтобы	1	1
71	и в своих	1	1
72	и могло бы	2	1
73	бытие в котором	1	1
74	себе в своем	1	1
75	мы не можем	1	1
76	а в смысле	1	1
77	само по себе	3	1
78	люди а не	1	1
79	а не просто	1	1
80	к которой он	1	1
81	включает в себя	1	1
82	но можно и	1	1
83	не было ни	1	1
84	в истории философии	3	1
85	если бы не	1	1
86	в этом последнем	1	1
87	к тому что	2	1
88	в том смысле	1	1
89	так и живое	1	1
90	не может иметь	1	1
91	возможна только в	1	1
92	и в его	3	1
93	не только от	1	1
94	том случае когда	1	1
95	что и в	3	1
96	конечно это не	1	1
97	то же самое	1	1
98	уже не только	1	1
