N	3gram	Tiupa_Disk_2	slovoVRo
1	то же время	5	12
2	в то же	4	12
3	в той или	1	9
4	той или иной	3	9
5	с точки зрения	2	8
6	в большинстве случаев	1	6
7	и в то	1	5
8	во всяком случае	1	5
9	с одной стороны	4	4
10	с другой стороны	1	4
11	к чужому слову	1	4
12	себя в нем	1	3
13	но и здесь	1	3
14	в данном случае	6	3
15	так и в	3	3
16	в этом случае	2	2
17	и там где	1	2
18	и не может	2	2
19	своего и чужого	2	2
20	до известной степени	1	2
21	одно и то	2	2
22	дело не с	1	2
23	отношение к своему	1	2
24	и то же	2	2
25	не могут быть	1	2
26	а не как	1	2
27	того или иного	1	2
28	в пределах одной	1	2
29	между автором и	1	2
30	и столь же	1	1
31	все дело в	1	1
32	одной и той	1	1
33	прежде всего в	1	1
34	дело в том	2	1
35	и той же	1	1
36	дистанции между ними	1	1
37	но это не	1	1
38	мы ничего не	1	1
39	же время и	1	1
40	в одних случаях	1	1
41	в отличие от	12	1
42	бы то ни	1	1
43	в этом отношении	4	1
44	по аналогии с	1	1
45	и может не	1	1
46	рассеянной чужой речи	1	1
47	по крайней мере	1	1
48	и в частности	1	1
49	в значительной степени	1	1
50	то ни было	1	1
51	между настоящим и	1	1
52	жизни но и	1	1
53	а также и	1	1
54	не столько в	1	1
55	непосредственно возникает из	1	1
56	к одному из	1	1
57	так и на	2	1
58	не должно быть	1	1
59	не может быть	3	1
60	в свое время	2	1
61	тем не менее	1	1
62	в лирике но	1	1
63	о том что	3	1
64	равно как и	1	1
65	в одном из	1	1
66	то есть в	1	1
67	и романного слова	1	1
68	и оценки и	1	1
69	с самого начала	1	1
70	но в этом	1	1
71	и прежде всего	2	1
72	включает в себя	1	1
73	можно сказать что	1	1
74	и вследствие этого	1	1
75	существенную роль в	1	1
76	ближе к тому	1	1
77	мы все же	1	1
78	между романом и	1	1
79	данном случае не	1	1
80	в том что	6	1
81	друг друга и	1	1
82	как и в	5	1
83	в пределах одного	1	1
84	который не был	1	1
