N	3gram	Voloshinov_1	TeoriaLi
1	по отношению к	3	8
2	в отличие от	1	7
3	в то же	1	6
4	в том что	2	6
5	то же время	1	6
6	того или иного	2	5
7	в данном случае	2	5
8	состоит в том	1	4
9	более или менее	1	4
10	в конечном счете	1	4
11	с другой стороны	2	3
12	тем не менее	1	3
13	с одной стороны	2	2
14	организации художественного произведения	1	2
15	как и в	1	2
16	тех или иных	1	2
17	и то же	2	2
18	одно и то	3	2
19	не может быть	4	2
20	что в основе	1	2
21	с точки зрения	5	2
22	можно говорить о	1	1
23	подобно тому как	1	1
24	и т.д как	1	1
25	по себе а	1	1
26	в одном случае	1	1
27	которого только и	1	1
28	в связи с	1	1
29	если говорить о	1	1
30	но в то	1	1
31	может быть и	1	1
32	для того чтобы	1	1
33	может быть это	1	1
34	так же точно	1	1
35	человека и его	1	1
36	можно лишь путем	1	1
37	эстетического объекта и	1	1
38	во всей своей	1	1
39	собственно говоря и	1	1
40	и как бы	1	1
41	в организации художественного	1	1
42	этой точки зрения	1	1
43	в хх веке	1	1
44	том что в	1	1
45	точки зрения и	1	1
46	та или иная	1	1
47	включает в себя	1	1
48	то или иное	1	1
49	в его эстетической	1	1
50	только то что	1	1
51	отношений между людьми	1	1
52	не входит в	1	1
53	так же как	1	1
54	его можно лишь	1	1
55	ту или иную	1	1
56	всей своей полноте	1	1
57	с этой точки	1	1
