N	2gram	Tiupa_Hudo_1	SlovoVZh
1	не может	7	16
2	может быть	5	14
3	точки зрения	5	14
4	как бы	7	13
5	и его	5	13
6	и в	14	12
7	по отношению	8	11
8	отношению к	8	11
9	и не	2	10
10	если бы	3	9
11	так как	1	9
12	прежде всего	11	8
13	сказать что	1	7
14	для нас	1	7
15	в ней	4	6
16	в том	12	6
17	только в	5	6
18	при этом	12	6
19	к содержанию	1	6
20	в нем	3	6
21	и героя	1	6
22	то же	9	5
23	в виду	1	5
24	можно сказать	4	5
25	отнюдь не	3	5
26	как в	8	5
27	но в	5	5
28	и др	1	5
29	в жизни	1	5
30	героя и	5	5
31	к слушателю	1	5
32	а не	12	5
33	как и	9	5
34	что мы	1	5
35	том что	16	5
36	к предмету	1	5
37	никогда не	6	5
38	хотя бы	1	5
39	то что	8	5
40	на самом	2	4
41	художественного события	1	4
42	литературы и	1	4
43	в литературе	3	4
44	в этом	11	4
45	все же	3	4
46	в самом	4	4
47	уже не	7	4
48	не только	12	4
49	отношение к	1	4
50	так и	13	4
51	с другой	1	4
52	что не	2	4
53	не в	7	4
54	его в	3	4
55	дело в	1	4
56	и к	4	4
57	жизни и	5	4
58	и на	3	4
59	здесь не	2	3
60	самом деле	5	3
61	формы и	1	3
62	в пределах	3	3
63	ведь и	1	3
64	ясно что	2	3
65	еще не	7	3
66	мы не	2	3
67	о том	12	3
68	и герой	2	3
69	но и	5	3
70	между тем	8	3
71	того что	4	3
72	в художественном	2	3
73	когда он	1	3
74	и ее	1	3
75	все эти	3	3
76	только на	2	3
77	в себе	11	3
78	да и	2	3
79	к герою	1	3
80	в творчестве	3	3
81	для него	10	3
82	он должен	1	3
83	и по	3	3
84	то ни	1	3
85	и с	4	3
86	до сих	2	3
87	ни в	5	3
88	и уже	1	3
89	в своей	10	3
90	в такой	2	3
91	тем не	4	3
92	этой точки	1	3
93	как к	3	3
94	и более	1	3
95	из этого	1	3
96	по себе	2	3
97	произведения и	1	3
98	сих пор	2	3
99	не менее	5	3
100	все это	2	3
101	но для	1	3
102	и для	3	3
103	ее и	1	3
104	находит свое	1	3
105	с ним	4	3
106	или не	3	3
107	и то	1	2
108	как это	1	2
109	словами и	1	2
110	опираясь на	1	2
111	в себя	2	2
112	едва ли	3	2
113	со словом	1	2
114	нас и	1	2
115	и та	1	2
116	с его	5	2
117	но мы	1	2
118	и что	2	2
119	в чем	1	2
120	данном случае	1	2
121	в данном	1	2
122	для других	2	2
123	к слову	1	2
124	в его	8	2
125	в форме	2	2
126	и содержания	1	2
127	относится к	1	2
128	в своем	4	2
129	как уже	1	2
130	в какой	1	2
131	и потому	2	2
132	и так	2	2
133	лежит на	2	2
134	бы не	1	2
135	с одной	1	2
136	уже в	1	2
137	жизнью и	2	2
138	он не	4	2
139	но все	1	2
140	в особенности	1	2
141	на примере	1	2
142	влияние на	2	2
143	это не	7	2
144	может стать	1	2
145	до известной	1	2
146	себя и	2	2
147	одной стороны	1	2
148	до конца	2	2
149	там где	1	2
150	автора и	2	2
151	и слово	1	2
152	смысл и	1	2
153	породившей его	1	2
154	нет ничего	2	2
155	основной тон	1	2
156	ни на	1	2
157	в отношении	1	2
158	к его	1	2
159	но не	3	2
160	общего с	1	2
161	место в	1	2
162	находит в	1	2
163	точку зрения	1	2
164	быть только	1	2
165	вместе со	1	2
166	с этой	2	2
167	она не	4	2
168	еще раз	2	2
169	с точки	3	2
170	является для	1	2
171	такой же	3	2
172	в то	8	2
173	их близости	1	2
174	на него	2	2
175	известной степени	1	2
176	ничего не	8	2
177	этих двух	1	2
178	и все	4	2
179	в этих	5	2
180	но это	1	2
181	стороны и	1	2
182	могут быть	1	2
183	и вполне	1	2
184	же самое	1	2
185	на это	1	2
