N	4gram	Propp_Isto_7	Morfolog
1	и т д но	1	4
2	имеем в сказке №	1	4
3	как мы увидим ниже	1	3
4	образом мы видим что	2	2
5	начинается с того что	3	2
6	в то время как	2	2
7	и т д в	2	2
8	состоит в том что	1	2
9	таким образом мы видим	2	2
10	в тех случаях когда	3	2
11	животных и т д	1	1
12	провести семь лет в	1	1
13	для тех сказок где	1	1
14	тех сказок где герой	1	1
15	выводы можно сделать из	1	1
16	в этих случаях требуется	1	1
17	лет в оловянном царстве	1	1
18	мою дочь милолику-царевну с	1	1
19	о которых говорилось выше	1	1
20	на первый взгляд кажется	1	1
21	видим таким образом что	1	1
22	ни в сказке сказать	1	1
23	мы видим что сказка	1	1
24	за тридевять земель в	4	1
25	трудные задачи представляют собой	1	1
26	то же можно сказать	1	1
27	похожи друг на друга	1	1
28	такой случай мы имеем	1	1
29	может быть поставлен вопрос	1	1
30	мы видим таким образом	1	1
31	то это значит что	1	1
32	во всех этих случаях	6	1
33	но для наших целей	1	1
34	связи с сватовством можно	1	1
35	друг на друга что	1	1
36	семь лет в оловянном	1	1
37	первый взгляд кажется что	1	1
38	мы можем наблюдать что	1	1
39	и т д то	1	1
