N	3gram	Nazirov_Tv_1	KulturaY
1	и т п	2	24
2	и т д	1	14
3	в том что	6	10
4	с другой стороны	1	7
5	по крайней мере	2	6
6	тем не менее	2	5
7	и тем не	1	4
8	в этой области	1	4
9	не только в	2	4
10	точно так же	2	3
11	на этой почве	1	3
12	в конце концов	1	3
13	в связи с	1	3
14	то же время	12	3
15	в то же	13	3
16	на самом деле	2	2
17	в соответствии с	3	2
18	хотя бы и	1	2
19	в наше время	2	2
20	вместе с тем	1	2
21	дело не в	1	2
22	к вопросу о	1	2
23	в отличие от	1	2
24	все же и	1	2
25	в свою очередь	1	2
26	и в самом	1	2
27	в конечном счете	4	2
28	можно сказать что	2	2
29	и приводит к	1	2
30	том что в	2	1
31	было бы говорить	1	1
32	хотя и не	1	1
33	чуть ли не	1	1
34	дело в том	3	1
35	в настоящее время	1	1
36	и к этому	1	1
37	как это имеет	1	1
38	потому что я	1	1
39	о котором говорилось	1	1
40	но все это	1	1
41	до сих пор	1	1
42	в своей книге	1	1
43	что он не	1	1
44	бы то ни	1	1
45	эти слова не	1	1
46	будет потому что	1	1
47	в первую очередь	1	1
48	только то что	1	1
49	у достоевского и	1	1
50	но это не	1	1
51	это вовсе не	1	1
52	что все это	3	1
53	и в других	1	1
54	бы и в	1	1
55	все это в	1	1
56	в данном случае	2	1
57	не то что	1	1
58	сами по себе	1	1
59	резко отличен от	1	1
60	то ни было	1	1
61	с одной стороны	1	1
62	не значит что	1	1
63	в году в	2	1
64	не будет потому	1	1
65	в известном смысле	1	1
66	котором говорилось выше	1	1
67	не могут быть	1	1
68	это имеет место	1	1
69	а на деле	1	1
70	не только для	1	1
71	все более и	1	1
72	но эти слова	1	1
73	так как и	1	1
74	потому что не	1	1
75	заключается в том	1	1
76	как и в	1	1
77	с гораздо более	1	1
78	оно могло бы	1	1
79	о том что	5	1
80	с самого начала	3	1
81	у нас принято	1	1
82	более и более	1	1
83	что иное как	1	1
84	имеет тот же	1	1
85	не может и	1	1
86	к тому что	1	1
87	не что иное	1	1
88	к тому же	1	1
