N	2gram	Bakhtin_KF_1	Sotsiolo
1	все это	10	7
2	в том	6	5
3	в этом	14	5
4	и только	6	3
5	более чем	1	3
6	для нас	4	3
7	не только	5	3
8	и в	24	3
9	но ведь	5	3
10	не в	12	3
11	в его	40	3
12	но и	9	2
13	и мы	2	2
14	было бы	8	2
15	в смысле	6	2
16	она может	1	2
17	должна быть	4	2
18	только в	16	2
19	дело не	2	2
20	в результате	1	2
21	том что	4	2
22	то что	7	2
23	главным образом	1	2
24	еще не	4	2
25	только как	4	2
26	ведь это	1	2
27	это и	2	2
28	отношению к	22	2
29	что в	4	2
30	может быть	45	2
31	как бы	9	2
32	по отношению	26	2
33	то же	5	2
34	не из	2	1
35	что все	1	1
36	я и	2	1
37	же не	1	1
38	противном случае	1	1
39	быть не	2	1
40	нашей работы	1	1
41	по себе	2	1
42	в мире	6	1
43	сказать и	1	1
44	в этой	2	1
45	тому что	2	1
46	отнюдь не	6	1
47	более не	1	1
48	живого становления	1	1
49	на все	1	1
50	ни одно	5	1
51	в соответствующих	1	1
52	его в	5	1
53	только для	1	1
54	ровно ничего	1	1
55	с ним	5	1
56	лучшем случае	1	1
57	это не	10	1
58	именно в	5	1
59	в чем	4	1
60	все же	5	1
61	в противном	1	1
62	один из	2	1
63	и есть	9	1
64	в то	3	1
65	мысли в	1	1
66	тем же	1	1
67	и наконец	1	1
68	я остаюсь	1	1
69	а с	2	1
70	человек все	1	1
71	тем что	3	1
72	и как	2	1
73	и затем	1	1
74	в процессе	2	1
75	что эти	1	1
76	вокруг этих	1	1
77	что он	2	1
78	прежде всего	2	1
79	бы он	2	1
80	так и	2	1
81	не было	8	1
82	но только	1	1
83	и не	26	1
84	из себя	8	1
85	никогда не	5	1
86	наше время	1	1
87	зависит от	1	1
88	мы не	3	1
89	же время	2	1
90	ничего не	3	1
91	систематическое единство	1	1
92	и о	1	1
93	связь между	1	1
94	все эти	10	1
95	именно на	2	1
96	как и	5	1
97	или нет	1	1
98	для этого	2	1
99	в настоящее	1	1
100	мы должны	1	1
101	остается в	1	1
102	образом в	1	1
103	конечно не	7	1
104	ценное что	1	1
105	и его	17	1
106	в этих	1	1
107	место в	5	1
108	или не	1	1
109	в лучшем	1	1
110	хотя бы	4	1
111	вступает в	3	1
112	в целом	10	1
113	не может	27	1
114	в своей	10	1
115	только тогда	1	1
116	и должно	1	1
117	не от	1	1
118	а в	4	1
119	и куда	1	1
120	него и	1	1
121	что она	1	1
122	о том	3	1
123	по самому	1	1
124	не дает	3	1
125	в области	2	1
126	и потому	2	1
127	настоящее время	1	1
128	он ни	2	1
129	в него	2	1
130	факта что	1	1
131	в котором	24	1
132	между ними	1	1
133	точке зрения	1	1
134	конечно только	1	1
135	положения в	3	1
136	представляется нам	1	1
137	единства и	2	1
138	может не	2	1
139	столь же	1	1
140	всяком случае	1	1
141	где же	1	1
142	и понимает	1	1
143	не выходит	1	1
144	когда мы	1	1
145	ни на	1	1
146	в конечном	1	1
147	его построения	1	1
148	что это	3	1
149	вовсе не	7	1
150	новое и	1	1
151	но сам	1	1
152	же самое	1	1
153	будет тем	1	1
154	может служить	1	1
155	литературе о	1	1
156	но не	12	1
157	в виде	2	1
158	в данном	2	1
159	между тем	4	1
160	но как	5	1
161	и по	1	1
162	конечном счете	1	1
163	во всяком	1	1
164	и будет	1	1
165	в каждом	3	1
166	они не	1	1
167	это значит	1	1
