N	2gram	Berdyaev_M_1	Myshleni
1	мышления и	1	40
2	и речи	1	38
3	точки зрения	4	26
4	в том	6	24
5	и в	28	23
6	том что	3	21
7	в этом	20	17
8	того чтобы	2	17
9	то что	5	17
10	не только	29	16
11	так же	1	16
12	того что	7	15
13	для того	2	15
14	как и	5	14
15	может быть	30	14
16	но и	25	14
17	в его	9	14
18	что в	10	14
19	не может	28	12
20	об отношении	1	12
21	сказать что	2	11
22	как бы	2	11
23	в отношении	1	10
24	прежде всего	10	10
25	и с	3	9
26	между тем	1	9
27	вместе с	6	9
28	и не	11	9
29	заключается в	1	8
30	в основе	2	8
31	и на	6	8
32	мы не	1	7
33	вопрос о	2	7
34	по отношению	2	7
35	в самом	11	7
36	в этой	6	7
37	с тем	9	7
38	в то	2	7
39	и ее	1	7
40	так как	3	7
41	мышлении и	1	7
42	что он	10	7
43	отношению к	2	7
44	все это	6	6
45	с этим	3	6
46	в себе	7	6
47	в силу	1	6
48	лишь в	6	6
49	с этой	4	6
50	по сравнению	2	6
51	мысли и	2	6
52	и его	9	6
53	о том	2	6
54	все время	1	6
55	только в	6	6
56	между этими	1	6
57	тем что	4	6
58	от того	1	6
59	потому что	16	6
60	сравнению с	1	5
61	бы в	2	5
62	и как	2	5
63	но в	7	5
64	то время	2	5
65	он не	24	5
66	и более	1	5
67	если бы	2	5
68	мысли в	1	5
69	по своей	2	5
70	связан с	1	5
71	и что	2	5
72	так и	1	5
73	что мы	1	5
74	и все	10	5
75	тем более	1	5
76	в своих	1	5
77	в котором	8	4
78	высшей степени	2	4
79	время как	2	4
80	с его	3	4
81	но не	8	4
82	как в	2	4
83	целый ряд	1	4
84	говорит что	1	4
85	и к	2	4
86	все эти	2	4
87	что она	1	4
88	отношений между	1	4
89	проблемы и	2	4
90	было бы	10	4
91	в высшей	2	4
92	в своей	15	4
93	не столько	1	4
94	не в	16	4
95	к тому	3	4
96	должен быть	2	4
97	приводит к	2	4
98	во всей	1	4
99	в свете	3	4
100	мы видим	2	4
101	в одном	1	4
102	до сих	2	4
103	сих пор	2	4
104	хотя бы	3	4
105	в свою	2	4
106	к этому	2	4
107	смысле слова	4	3
108	отношения к	4	3
109	человека и	14	3
110	в такой	1	3
111	не остается	2	3
112	и то	1	3
113	самом деле	1	3
114	с таким	1	3
115	приходит к	1	3
116	я не	1	3
117	в их	4	3
118	ответ на	1	3
119	что они	1	3
120	которые не	1	3
121	в одной	1	3
122	в своем	10	3
123	все же	2	3
124	в которой	6	3
125	он в	2	3
126	учение о	3	3
127	как он	2	3
128	его не	3	3
129	на все	1	3
130	и мы	2	3
131	всегда и	1	3
132	в которых	4	3
133	должны были	1	3
134	она не	4	3
135	в самых	1	3
136	не могло	1	3
137	ничего не	3	3
138	во всем	1	3
139	в области	1	3
140	в каком	2	3
141	могут быть	2	3
142	и это	12	3
143	не могу	1	3
144	можно было	1	3
145	об этой	1	3
146	об этом	1	3
147	одного из	1	3
148	может не	2	3
149	этот вопрос	1	3
150	уже в	4	3
151	то и	1	3
152	обратиться к	1	3
153	всяком случае	1	3
154	вовсе не	1	3
155	на этот	2	3
156	во всех	1	3
157	а не	25	3
158	все более	1	3
159	ко всем	3	3
160	только для	1	3
161	если не	1	3
162	и от	2	3
163	сознания и	1	3
164	от всех	1	3
165	значение в	1	3
166	во всяком	1	3
167	связана с	2	2
168	тех же	1	2
169	между двумя	1	2
170	и до	1	2
171	в зависимости	1	2
172	основной и	1	2
173	есть не	4	2
174	оно есть	1	2
175	зависимости от	1	2
176	в ее	3	2
177	себе и	2	2
178	за пределы	4	2
179	и я	5	2
180	как говорит	1	2
181	что как	1	2
182	более и	1	2
183	когда он	3	2
184	сознания в	1	2
185	и наконец	1	2
186	в противоположность	1	2
187	от этого	2	2
188	за собой	2	2
189	бы и	3	2
190	быть выражена	1	2
191	и те	2	2
192	неизбежно должны	1	2
193	ключ к	1	2
194	всех этих	1	2
195	он должен	3	2
196	не к	4	2
197	и вот	3	2
198	на этом	3	2
199	значительной степени	1	2
200	к другу	1	2
201	из всех	1	2
202	вопрос и	2	2
203	ближе к	1	2
204	в них	4	2
205	является для	1	2
206	с такой	1	2
207	должно быть	3	2
208	потому и	1	2
209	был бы	10	2
210	в этих	4	2
211	точку зрения	1	2
212	и эти	1	2
213	эта мысль	1	2
214	есть прежде	1	2
215	этими двумя	1	2
216	не имеет	3	2
217	к этим	2	2
218	никогда не	14	2
219	и мысли	1	2
220	ничего кроме	1	2
221	лежит в	1	2
222	про себя	1	2
223	бы он	1	2
224	к пониманию	1	2
225	о судьбе	1	2
226	в конце	7	2
227	с собой	3	2
228	поэтому в	1	2
229	и поэтому	1	2
230	в значительной	1	2
231	от них	1	2
232	один из	4	2
233	остается до	1	2
234	мысли для	1	2
235	человека с	2	2
236	уже не	4	2
237	одно из	3	2
238	для него	11	2
239	вперед в	1	2
240	и даже	1	2
241	с той	1	2
242	чем он	1	2
243	связано с	2	2
244	под влиянием	1	2
245	в частности	1	2
246	и потому	10	2
247	человека к	2	2
248	его на	1	2
249	о чем	2	2
250	всего в	2	2
251	в течение	1	2
252	в состоянии	1	2
253	с психологической	1	2
254	на которой	1	2
255	в смысле	1	2
256	отношении между	1	2
257	как явление	1	2
258	а в	4	2
259	с ней	2	2
260	отрывается от	2	2
261	и судьба	1	2
262	к его	1	2
263	но этот	1	2
264	жизни и	2	2
265	все основные	1	2
266	можно назвать	1	2
267	эта новая	1	1
268	ту же	1	1
269	и т	1	1
270	одним из	2	1
271	эпоху в	1	1
272	перед ней	1	1
273	на самом	1	1
274	внутрь к	1	1
275	переход от	1	1
276	или к	4	1
277	недоступной для	1	1
278	мы уже	1	1
279	он ничего	1	1
280	всего того	1	1
281	от своего	1	1
282	среды и	1	1
283	привести к	4	1
284	принадлежит к	1	1
285	не вполне	1	1
286	жизни как	1	1
287	то это	1	1
288	в виду	2	1
289	не способен	1	1
290	себе что	1	1
291	внутреннюю природу	1	1
292	в ней	15	1
293	стороны его	1	1
294	в отличие	1	1
295	еще не	1	1
296	смотрят на	1	1
297	друг к	1	1
298	то он	1	1
299	в сторону	1	1
