N	2gram	Medvedev_B_1	Formalny
1	и не	2	30
2	и в	1	27
3	так и	1	21
4	таким образом	1	18
5	а не	1	17
6	между ними	1	15
7	на самом	1	14
8	не только	1	9
9	отнюдь не	1	8
10	в пределах	1	8
11	что в	1	8
12	художественного произведения	1	7
13	все это	2	7
14	совершенно не	1	7
15	еще не	1	6
16	в своей	1	6
17	и ее	1	6
18	всяком случае	1	6
19	было бы	1	6
20	с другой	1	6
21	в данном	1	6
22	все же	1	6
23	во всяком	1	6
24	что формалисты	1	5
25	в ней	2	5
26	и потому	1	5
27	другой стороны	1	5
28	установка на	1	4
29	прежде всего	1	4
30	до конца	1	4
31	художественном произведении	1	3
32	должна быть	1	3
33	и на	1	3
34	не следует	1	3
35	творчества и	1	3
36	и более	1	3
37	в эпоху	1	3
38	никак не	1	3
39	не о	1	3
40	у нас	3	3
41	говорить о	1	2
42	за пределы	1	2
43	и во	1	2
44	говорить об	1	2
45	в области	1	2
46	одной из	1	2
47	также что	1	1
48	ее задач	2	1
49	видеть в	2	1
50	поэтика должна	1	1
51	и нет	1	1
52	кроме того	1	1
53	стиля и	1	1
54	более подробно	1	1
55	остановиться на	1	1
56	литературных произведений	2	1
57	значительной степени	1	1
58	же не	1	1
59	его не	1	1
60	является только	1	1
61	литературы как	1	1
62	исторических условиях	1	1
63	больше чем	2	1
64	на выражение	1	1
65	можно было	2	1
66	формалистической поэтики	1	1
67	по теории	1	1
68	выходит за	1	1
69	об этом	1	1
70	в значительной	1	1
71	произведения все	1	1
72	не уничтожается	1	1
73	о художественном	1	1
74	этим вопросам	1	1
75	а о	1	1
76	не было	1	1
77	представляется нам	1	1
78	в речи	1	1
79	этих приемов	1	1
80	и о	1	1
81	и полнее	1	1
