N	3gram	Vinokur_St_2	VrazhdaK
1	то же время	1	4
2	в то же	1	4
3	в связи с	1	3
4	имел в виду	1	3
5	в в виноградов	1	2
6	он не только	1	2
7	с точки зрения	2	2
8	в письме к	5	2
9	как раз в	2	2
10	в примечании к	1	2
11	в том что	16	2
12	он был очень	1	1
13	а между тем	1	1
14	да и в	1	1
15	в комментариях к	1	1
16	между прочим и	1	1
17	в его журнале	1	1
18	в котором он	1	1
19	в этом смысле	1	1
20	в ответ на	1	1
21	в том же	2	1
22	до сих пор	5	1
23	в той же	1	1
24	в этом отношении	9	1
25	говорит о себе	1	1
26	период работы над	1	1
27	их и не	1	1
28	в известном письме	2	1
29	точно так же	1	1
30	которой обычно не	1	1
31	с тех пор	1	1
32	ввел в роман	1	1
33	одно и то	1	1
34	речь идет не	1	1
35	в это время	2	1
36	так же как	3	1
37	ноября года он	1	1
38	в свете этой	1	1
39	и что он	1	1
40	в высшей степени	1	1
41	в период работы	1	1
42	в конце концов	1	1
43	и то же	1	1
44	в известном смысле	1	1
45	и в этом	2	1
46	что он сам	1	1
47	во всяком случае	3	1
48	что у него	1	1
49	с другой стороны	3	1
50	и в котором	1	1
51	тем не менее	2	1
52	что как раз	1	1
53	в обоих отзывах	1	1
54	заключается в том	1	1
55	в то время	1	1
56	ставил очень высоко	1	1
57	в свою очередь	1	1
58	что в ней	1	1
59	известном письме к	2	1
60	о том что	11	1
61	не только не	2	1
62	на то что	2	1
63	мог знать и	1	1
64	же время с	1	1
65	речь идет о	3	1
