N	3gram	Bakhtin_KF_1	OGranits
1	с точки зрения	9	5
2	не может быть	11	4
3	по отношению к	22	3
4	в зависимости от	1	2
5	того или иного	3	2
6	в том что	2	2
7	вообще ни одно	1	1
8	один и тот	1	1
9	перевести его на	1	1
10	и связанных с	1	1
11	во всей полноте	1	1
12	равно как и	1	1
13	лишь в процессе	1	1
14	на самом деле	3	1
15	то же самое	1	1
16	одно из проявлений	1	1
17	из него все	1	1
18	бы по отношению	1	1
19	нет и не	1	1
20	не может иметь	1	1
21	между тем как	3	1
22	не было бы	3	1
23	мы оказались бы	1	1
24	может быть и	1	1
25	то или иное	2	1
26	по себе а	1	1
27	ту или иную	1	1
28	в едином акте	1	1
29	для того чтобы	1	1
30	каждой данной области	1	1
31	едва ли кто-нибудь	1	1
32	и в его	1	1
33	и тот же	1	1
34	ничего общего не	2	1
35	не в ее	1	1
36	тем не менее	2	1
37	и как бы	1	1
38	в одном случае	1	1
39	в этот момент	1	1
40	но может быть	1	1
41	может быть понята	1	1
42	а не как	1	1
43	отношению к другим	1	1
44	само по себе	1	1
45	но в сознании	1	1
46	это и не	1	1
47	его на язык	1	1
48	не должно быть	1	1
49	то же время	2	1
50	мы не можем	1	1
51	все эти возможности	1	1
52	включает в себя	2	1
53	но в то	1	1
54	в конечном счете	1	1
55	и эта интонация	1	1
56	на то что	1	1
57	в то же	2	1
58	к тому что	1	1
59	в себя как	1	1
60	общего не имеет	1	1
