N	3gram	Bakhtin_Fr_3	VeschiIm
1	не может быть	2	18
2	бы то ни	1	9
3	то ни было	1	9
4	что иное как	1	8
5	не что иное	1	8
6	может быть только	1	6
7	в том что	1	6
8	есть не что	1	5
9	в свою очередь	1	5
10	с точки зрения	1	4
11	то же время	6	4
12	в то же	6	4
13	подобно тому как	1	3
14	в собственном смысле	1	3
15	значит не только	1	3
16	можно было бы	2	3
17	только то что	1	3
18	само по себе	1	3
19	в отрыве от	1	3
20	можно сказать что	2	2
21	дело в том	1	2
22	но даже и	1	2
23	о том как	1	2
24	в основе своей	1	2
25	и в частности	1	2
26	в данном случае	2	2
27	в первом случае	1	2
28	что в ней	1	2
29	заключается в том	1	2
30	но как раз	1	1
31	имеется в виду	1	1
32	с полной ясностью	1	1
33	прежде всего на	1	1
34	оно может быть	1	1
35	мы уже сказали	1	1
36	в этом случае	1	1
37	как раз и	1	1
38	на первый план	1	1
39	до сих пор	4	1
40	и не может	1	1
41	в той же	4	1
42	он и не	1	1
43	кроме того что	1	1
44	и необходимо и	1	1
45	может быть и	1	1
46	хотя бы и	1	1
47	и с другой	1	1
48	как раз в	2	1
49	в применении к	1	1
50	бы и не	1	1
51	в том чтобы	1	1
52	но в то	4	1
53	таким образом и	1	1
54	еще и в	1	1
55	ни к какому	1	1
56	так как всякое	1	1
57	смысле этого слова	1	1
58	и в этом	1	1
59	во втором случае	1	1
60	даже и в	1	1
61	какой бы то	1	1
62	в xix веке	1	1
63	с другой стороны	1	1
64	первом случае мы	1	1
65	что они не	1	1
66	тому как в	1	1
67	во всяком случае	1	1
68	и в одном	1	1
69	но также и	1	1
70	и вместе с	1	1
71	это и есть	1	1
72	о том что	2	1
73	вместо того чтобы	1	1
74	и прежде всего	3	1
75	но все же	1	1
76	для того чтобы	3	1
77	мы видим что	1	1
78	тех или иных	1	1
79	это может быть	1	1
80	свидетельствует о том	1	1
81	он говорит об	2	1
82	что и в	1	1
