N	2gram	Losev_Dial_3	Russkaja
1	не может	19	22
2	и не	27	19
3	в том	5	17
4	в этом	8	17
5	и в	24	14
6	то что	14	13
7	то же	6	11
8	точки зрения	25	11
9	таким образом	13	11
10	в то	5	10
11	же время	3	10
12	но и	9	10
13	в себе	2	9
14	не только	23	9
15	том что	8	9
16	с точки	14	9
17	может быть	13	9
18	церкви и	1	9
19	во всяком	2	9
20	прежде всего	8	8
21	как на	5	8
22	самом деле	6	7
23	отнюдь не	10	7
24	и если	2	7
25	и с	6	7
26	в данном	2	7
27	к тому	4	7
28	не будет	3	7
29	россии в	1	7
30	о том	6	7
31	самого себя	1	7
32	ни к	3	7
33	в своем	3	6
34	и к	5	6
35	в своих	2	6
36	и при	1	6
37	признать что	1	6
38	если бы	6	6
39	все это	6	6
40	и для	2	6
41	для того	3	6
42	что он	13	6
43	всяком случае	2	6
44	для него	4	6
45	на самом	1	6
46	вопрос о	5	5
47	и на	3	5
48	во всех	1	5
49	на то	3	5
50	в нем	3	5
51	при этом	2	5
52	он не	5	5
53	он должен	3	5
54	было бы	5	5
55	никогда не	7	5
56	потому что	7	5
57	а потому	1	5
58	и только	6	5
59	только в	5	5
60	хотя бы	4	5
61	конечно не	4	5
62	или иной	4	5
63	до сих	1	5
64	себя и	2	5
65	из которых	3	5
66	по существу	2	5
67	сих пор	1	5
68	а в	2	5
69	и то	4	4
70	бы то	2	4
71	но не	2	4
72	себе и	1	4
73	себя в	2	4
74	все же	3	4
75	более или	1	4
76	не в	3	4
77	в корне	1	4
78	тому чтобы	1	4
79	то ни	1	4
80	в совершенно	1	4
81	его в	1	4
82	как и	7	4
83	которой он	1	4
84	или менее	1	4
85	в их	2	4
86	точку зрения	1	4
87	тогда когда	5	4
88	во всем	3	4
89	ли это	1	4
90	от того	4	4
91	не могут	4	4
92	когда они	1	4
93	в мире	1	4
94	в его	2	4
95	так как	6	4
96	со стороны	2	4
97	вместе с	1	4
98	он будет	3	4
99	что же	11	4
100	как бы	3	4
101	возможно лишь	1	4
102	жизни и	5	4
103	что в	7	4
104	к этой	2	4
105	все что	3	4
106	и т	24	3
107	сил и	1	3
108	то в	2	3
109	и этот	1	3
110	так чтобы	2	3
111	говорить о	4	3
112	от церкви	1	3
113	и ни	3	3
114	еще не	2	3
115	из этих	2	3
116	во что	4	3
117	в самом	7	3
118	что это	12	3
119	и по	2	3
120	несмотря на	2	3
121	должно быть	3	3
122	всех этих	1	3
123	но если	6	3
124	можно ли	5	3
125	одна из	3	3
126	связи с	1	3
127	то это	9	3
128	точке зрения	1	3
129	что оно	7	3
130	той или	2	3
131	что все	14	3
132	данном случае	1	3
133	может только	1	3
134	для этого	2	3
135	в вопросах	1	3
136	и во	2	3
137	что и	6	3
138	а следовательно	1	3
139	в лучшем	1	3
140	того что	12	3
141	одной из	1	3
142	в качестве	1	3
143	в виде	8	3
144	из них	3	3
145	друг друга	3	3
146	тем что	3	3
147	именно в	2	3
148	только к	2	3
149	что для	5	3
150	не было	3	3
151	и потому	2	3
152	да и	1	3
153	при условии	3	3
154	лучшем случае	1	3
155	или в	2	3
156	о котором	1	3
157	и как	8	3
158	не есть	54	3
159	из этого	2	3
160	себя как	3	2
161	от этой	1	2
162	речь идет	1	2
163	говоря о	1	2
164	зависимость от	1	2
165	и есть	16	2
166	должна быть	6	2
167	к чему	1	2
168	но она	3	2
169	на себя	3	2
170	но даже	3	2
171	в ней	2	2
172	в таком	14	2
173	тогда как	1	2
174	не просто	18	2
175	сама по	4	2
176	с этим	3	2
177	последнее время	1	2
178	помнить что	1	2
179	целый ряд	2	2
180	и наконец	1	2
181	но в	2	2
182	не можем	2	2
183	это есть	8	2
184	все эти	3	2
185	это учение	1	2
186	что ничего	1	2
187	во многих	1	2
188	по самому	1	2
189	раз навсегда	2	2
190	сами эти	2	2
191	не к	1	2
192	и вот	2	2
193	факт что	1	2
194	мы уже	3	2
195	того или	3	2
196	на почве	1	2
197	по себе	20	2
198	и тем	2	2
199	на основании	2	2
200	этого не	2	2
201	и тогда	5	2
202	нисколько не	1	2
203	в этих	1	2
204	во время	1	2
205	будет в	1	2
206	что такое	21	2
207	могут не	1	2
208	в котором	1	2
209	место в	1	2
210	в силу	3	2
211	друг другу	1	2
212	и более	1	2
213	их в	2	2
214	не тем	1	2
215	для нее	1	2
216	тому что	4	2
217	она не	3	2
218	что с	1	2
219	для нас	2	2
220	у него	2	2
221	следовательно и	2	2
222	больше чем	1	2
223	людей и	2	2
224	и является	2	2
225	если только	4	2
226	человеческого разума	1	2
227	всю свою	1	2
228	отличается от	8	2
229	понять что	1	2
230	если же	8	2
231	для себя	2	2
232	и о	3	2
233	мы указали	1	2
234	ясно что	7	2
235	с самим	1	2
236	даже не	6	2
237	и что	15	2
238	это потому	1	2
239	были бы	1	2
240	от него	1	2
241	к нему	3	2
242	вся эта	1	2
243	быть и	3	2
244	что только	1	2
245	этот вопрос	1	2
246	совершенно не	2	2
247	даже если	2	2
248	их не	2	2
249	логически и	1	2
250	так что	8	2
251	уже не	5	2
252	на такой	1	2
253	только на	7	2
254	но совершенно	2	2
255	не так	1	2
256	представить себе	1	2
257	ни в	9	2
258	чтобы она	2	2
259	не о	2	2
260	мы можем	1	2
261	в других	1	2
262	даже и	7	2
263	и даже	13	2
264	будет ли	1	2
265	не нужна	1	2
266	в некоторых	1	2
267	зависит от	2	2
268	а не	26	2
269	в частности	2	2
270	так же	4	2
271	– не	7	2
272	тот факт	1	2
273	ни от	4	2
274	в течение	1	2
275	или иного	2	2
276	отношения к	1	2
277	есть и	12	2
278	но это	5	2
279	но для	2	2
280	если не	3	2
281	и от	3	2
282	в результате	1	2
283	с ним	1	2
284	бы его	2	2
285	ее в	2	2
286	тем самым	3	2
287	точно так	2	2
288	будет во	1	1
289	в сфере	1	1
290	должен быть	1	1
291	ли оно	1	1
292	но тогда	11	1
293	он может	1	1
294	это и	7	1
295	идет о	1	1
296	основан на	1	1
297	исходят из	2	1
298	ту же	1	1
299	культура не	1	1
300	можно лишь	1	1
301	что эти	1	1
302	исходит из	2	1
303	должен как	1	1
