N	3gram	Losev_Dial_4	PoTuStor
1	с точки зрения	9	6
2	в чем не	1	3
3	в этом смысле	4	3
4	по крайней мере	7	3
5	по сравнению с	2	3
6	не может быть	6	3
7	ни в чем	1	3
8	можно сказать что	1	3
9	в нем нет	1	2
10	о том что	1	2
11	мы можем сказать	1	2
12	и в этом	3	2
13	даже тогда когда	1	1
14	теперь мы должны	1	1
15	одних и тех	2	1
16	то что я	1	1
17	в глубине ее	1	1
18	ничего не говорит	4	1
19	уже не может	1	1
20	дело в том	1	1
21	или что оно	1	1
22	из этих трех	1	1
23	подобно тому как	4	1
24	а потом и	1	1
25	же как и	1	1
26	на первый план	1	1
27	есть в сущности	2	1
28	ни в коем	2	1
29	и та же	1	1
30	нет ничего удивительного	1	1
31	свой смысл и	1	1
32	рано или поздно	1	1
33	может быть только	1	1
34	с этой точки	2	1
35	в каком отношении	1	1
36	только для того	1	1
37	и тех же	2	1
38	в коем случае	2	1
39	еще не знает	1	1
40	же что и	3	1
41	в данном случае	1	1
42	на своем месте	1	1
43	никаких сомнений в	1	1
44	и об его	1	1
45	и в чем	1	1
46	ничего общего не	2	1
47	и с ними	1	1
48	в связи с	1	1
49	в себя и	1	1
50	полной самостоятельности и	1	1
51	нечто третье что	1	1
52	в этот момент	1	1
53	sine qua non	1	1
54	в том что	9	1
55	этой точки зрения	2	1
56	и ни в	1	1
57	жизни и наконец	1	1
58	а вместе с	1	1
59	вместе с ним	1	1
60	это и есть	4	1
61	связи с этим	1	1
62	одна и та	1	1
63	и прежде всего	1	1
64	что иное как	8	1
65	как бы второе	1	1
66	и притом чисто	1	1
67	есть прежде всего	3	1
68	в философии и	1	1
69	не что иное	8	1
70	как учение о	1	1
71	для того чтобы	5	1
72	можем сказать что	1	1
73	и можно сказать	2	1
74	той или иной	1	1
75	мы еще не	1	1
