N	4gram	Medvedev_F_2	Vvedenie
1	в то же время	5	6
2	в той мере в	1	5
3	той мере в какой	1	5
4	не что иное как	1	4
5	но в то же	1	3
6	есть не что иное	1	2
7	можно и должно изучать	1	1
8	именно в этом пункте	1	1
9	мы имеем в виду	1	1
10	в самом широком и	1	1
11	и в конце концов	1	1
12	и прежде всего в	1	1
13	в том или ином	1	1
14	мере в какой они	1	1
15	в связи с этим	3	1
16	здесь не может быть	1	1
17	то же время в	1	1
18	собственном смысле этого слова	1	1
19	не сам по себе	1	1
20	не может быть и	3	1
21	с тем что в	1	1
22	и в этом отношении	2	1
23	было бы сказать что	1	1
24	может быть и речи	3	1
25	с тем что не	1	1
26	в большей или меньшей	1	1
27	в этом смысле и	1	1
28	не говоря уже о	1	1
29	в собственном смысле этого	1	1
30	большей или меньшей степени	1	1
31	том смысле в каком	1	1
