N	2gram	Berdyaev_M_1	Myslijsy
1	потому что	16	52
2	то есть	3	42
3	и в	28	39
4	может быть	30	27
5	в том	6	26
6	только в	6	25
7	не может	28	22
8	что в	10	22
9	не только	29	21
10	так как	3	21
11	а не	25	21
12	в нем	13	20
13	но и	25	20
14	и не	11	18
15	том что	3	16
16	так что	1	16
17	в этом	20	15
18	не в	16	15
19	если бы	2	14
20	по отношению	2	13
21	в себе	7	13
22	так и	1	13
23	отношению к	2	13
24	было бы	10	12
25	в душе	1	11
26	есть только	2	11
27	мы не	1	10
28	как в	2	10
29	и что	2	10
30	то что	5	10
31	что не	1	10
32	в человеке	8	10
33	не есть	9	10
34	но в	7	9
35	как и	5	9
36	мысли в	1	9
37	могут быть	2	9
38	для нас	3	9
39	мысли и	2	9
40	тем что	4	9
41	душевной жизни	2	9
42	но не	8	8
43	точки зрения	4	8
44	в одном	1	8
45	того что	7	8
46	вместе с	6	8
47	в ней	15	7
48	в истории	2	7
49	с этим	3	7
50	духа и	4	7
51	это не	5	7
52	в этих	4	7
53	то и	1	7
54	должно быть	3	7
55	и т	1	6
56	все же	2	6
57	и как	2	6
58	бы не	2	6
59	и по	4	6
60	от нее	5	6
61	и наоборот	1	6
62	не менее	1	6
63	в каком	2	6
64	что и	4	6
65	еще не	1	6
66	человеческого духа	26	6
67	как бы	2	6
68	то это	1	5
69	во всех	1	5
70	с тем	9	5
71	не имеет	3	5
72	и его	9	5
73	между тем	1	5
74	в его	9	5
75	вовсе не	1	5
76	что человек	3	5
77	души и	1	5
78	так же	1	5
79	и потому	10	5
80	но это	1	5
81	и для	2	5
82	из себя	1	5
83	а в	4	5
84	вопрос о	2	4
85	бы ни	1	4
86	увидим что	4	4
87	в каждом	1	4
88	том смысле	2	4
89	т п	1	4
90	бы быть	1	4
91	в то	2	4
92	никогда не	14	4
93	во всем	1	4
94	не могут	5	4
95	к тому	3	4
96	смысле в	2	4
97	и необходимости	1	4
98	каждый раз	1	4
99	бы в	2	4
100	с нею	1	4
101	для него	11	4
102	в более	2	4
103	не было	18	4
104	и даже	1	4
105	прежде всего	10	4
106	притом не	1	4
107	что мы	1	4
108	самого себя	2	4
109	быть не	2	4
110	для души	1	4
111	в смысле	1	4
112	от него	4	4
113	от того	1	4
114	мы видим	2	4
115	мысли о	2	4
116	в свою	2	4
117	в своих	1	4
118	должна быть	6	3
119	человеческой природы	20	3
120	есть вместе	1	3
121	и то	1	3
122	тем как	1	3
123	относится к	2	3
124	что как	1	3
125	в своем	10	3
126	в самом	11	3
127	он не	24	3
128	отношений между	1	3
129	прежде чем	2	3
130	в мире	10	3
131	и с	3	3
132	заключается в	1	3
133	в жизни	3	3
134	в них	4	3
135	в этой	6	3
136	не мог	3	3
137	не так	3	3
138	в своей	15	3
139	и без	1	3
140	что сам	1	3
141	она не	4	3
142	для того	2	3
143	свободы и	10	3
144	не могло	1	3
145	находятся в	1	3
146	дух человеческий	1	3
147	оно не	1	3
148	и это	12	3
149	из одного	1	3
150	с ним	2	3
151	и во	2	3
152	в другой	1	3
153	во внутренней	1	3
154	есть что	1	3
155	мы увидим	3	3
156	есть уже	4	3
157	одно из	3	3
158	и их	3	3
159	никто не	2	3
160	нужно было	1	3
161	все более	1	3
162	но оно	1	3
163	в самой	7	3
164	в состоянии	1	3
165	только для	1	3
166	к которому	1	3
167	и от	2	3
168	она может	2	3
169	об отношении	1	3
170	то не	1	3
171	и все	10	3
172	к этой	2	3
173	хотя в	1	3
174	сказать что	2	3
175	во всяком	1	3
