N	3gram	Propp_Isto_6	Russkaja
1	друг с другом	1	14
2	в том что	5	7
3	во всяком случае	2	6
4	для того чтобы	1	6
5	до сих пор	4	5
6	более или менее	1	4
7	на то что	1	4
8	к тому чтобы	1	4
9	не может быть	3	4
10	в этом случае	6	3
11	вместе с тем	3	3
12	можно было бы	2	3
13	и не может	1	3
14	и то что	1	3
15	в данном случае	3	3
16	точно так же	2	2
17	в противоречие с	1	2
18	в этом направлении	1	2
19	совершенно таким же	1	2
20	и в том	1	2
21	и вместе с	1	2
22	о том что	4	2
23	и тем самым	1	2
24	с другом и	1	2
25	должны были бы	1	1
26	в другом месте	1	1
27	уже знаем что	2	1
28	это есть та	1	1
29	в китае и	1	1
30	по отношению к	2	1
31	в том числе	1	1
32	важно отметить что	1	1
33	речь шла об	1	1
34	опасность со стороны	1	1
35	таким образом оказывается	1	1
36	мы уже знаем	2	1
37	отличается от того	1	1
38	и то и	1	1
39	только то что	2	1
40	совершенно ясно что	1	1
41	том числе и	1	1
42	на этот вопрос	1	1
43	и на нем	1	1
44	здесь же мы	2	1
45	не может но	1	1
46	то и другое	1	1
47	для борьбы с	1	1
48	к пребыванию в	1	1
49	этом случае совершенно	1	1
50	смысле этого слова	1	1
51	в борьбе с	1	1
52	но при этом	1	1
53	в союзе с	1	1
54	всяком случае не	1	1
55	сих пор мы	2	1
56	так же как	1	1
57	образом оказывается что	1	1
58	от того что	1	1
59	в своих целях	2	1
60	так как это	3	1
61	к ним с	1	1
62	речь идет о	1	1
63	китае и в	1	1
64	но все же	2	1
65	несмотря на все	1	1
66	но мы уже	2	1
67	тем не менее	1	1
68	на первый взгляд	1	1
