N	2gram	Medvedev_F_1	OGranits
1	и в	24	13
2	и его	10	12
3	прежде всего	22	9
4	может быть	14	8
5	не может	16	8
6	и не	20	8
7	в его	23	7
8	и их	10	7
9	и пр	17	7
10	точки зрения	16	7
11	социального общения	6	6
12	только в	2	6
13	как бы	6	6
14	не только	7	6
15	то что	8	6
16	таким образом	13	6
17	художественного произведения	23	5
18	языка и	1	5
19	все же	3	5
20	и наконец	3	5
21	но ведь	2	5
22	метода в	6	5
23	с точки	13	5
24	в процессе	9	5
25	хотя бы	5	5
26	и эта	1	5
27	мы не	3	4
28	произведения как	2	4
29	социальной группы	4	4
30	тех пор	1	4
31	на фоне	3	4
32	но в	5	4
33	до тех	1	4
34	то же	10	4
35	лишь в	8	4
36	в сознании	1	4
37	художественного общения	2	4
38	в своей	11	4
39	было бы	6	4
40	все это	9	4
41	только и	4	4
42	в двух	1	4
43	не является	1	4
44	материала в	3	4
45	вполне понятно	2	4
46	в каждом	3	4
47	в ее	8	3
48	самом деле	6	3
49	в пределах	6	3
50	так и	18	3
51	понятно что	1	3
52	говорить о	1	3
53	в их	11	3
54	по отношению	4	3
55	в поэтике	1	3
56	за пределы	2	3
57	только путем	1	3
58	экспрессивной интонации	1	3
59	общего с	1	3
60	с этим	2	3
61	в которой	4	3
62	ни один	1	3
63	в себе	3	3
64	к единству	1	3
65	марксистского литературоведения	1	3
66	к одному	1	3
67	не как	4	3
68	в одном	2	3
69	так как	1	3
70	материала и	3	3
71	но и	7	3
72	как и	11	3
73	и уже	1	3
74	со всей	3	3
75	что же	1	3
76	не в	8	3
77	поэтического произведения	3	3
78	но для	3	3
79	и для	1	3
80	никогда не	4	3
81	и все	6	3
82	отношению к	4	3
83	не столько	1	3
84	что в	4	3
85	в искусстве	5	3
86	ничего общего	1	3
87	смысле слова	1	2
88	произведения но	1	2
89	ни одно	1	2
90	и др	5	2
91	данном случае	1	2
92	художественных произведений	4	2
93	зависимости от	3	2
94	в произведении	2	2
95	и может	4	2
96	роль в	1	2
97	и этот	1	2
98	мы уже	1	2
99	мог бы	1	2
