N	2gram	Bakhtin_KF_1	Poddanst
1	не только	5	17
2	и в	24	14
3	и не	26	12
4	в области	2	11
5	в этом	14	10
6	в отношении	1	10
7	в качестве	2	9
8	но в	5	9
9	то же	5	9
10	в том	6	9
11	хотя бы	4	8
12	только в	16	7
13	в то	3	7
14	же время	2	7
15	в ней	3	6
16	было бы	8	6
17	но и	9	6
18	в смысле	6	6
19	отношении к	2	5
20	может быть	45	5
21	и пр	3	5
22	а я	1	5
23	не в	12	5
24	и о	1	5
25	если бы	8	4
26	в своем	16	4
27	и к	1	4
28	как бы	9	4
29	том что	4	4
30	не может	27	4
31	и потому	2	4
32	в котором	24	4
33	по себе	2	4
34	что в	4	4
35	мы должны	1	4
36	же в	1	4
37	а в	4	4
38	то что	7	4
39	мы не	3	3
40	сводится к	2	3
41	столь же	1	3
42	между тем	4	3
43	это не	10	3
44	хотя и	1	3
45	и как	2	3
46	тот же	1	3
47	с ними	3	3
48	в себе	21	3
49	в нем	28	3
50	для того	3	3
51	прежде всего	2	3
52	с тем	2	3
53	что мы	1	3
54	с точки	9	3
55	но не	12	3
56	могут быть	3	3
57	тем самым	4	3
58	потому что	2	3
59	точки зрения	12	3
60	я и	2	3
61	нужно помнить	1	2
62	и это	12	2
63	отношения к	1	2
64	в ее	16	2
65	и есть	9	2
66	в мире	6	2
67	осуществляется в	1	2
68	только это	2	2
69	но к	1	2
70	сомнения что	1	2
71	не нужно	2	2
72	в значительной	1	2
73	во всех	11	2
74	говорить о	2	2
75	во всей	4	2
76	со стороны	7	2
77	отнюдь не	6	2
78	с этим	1	2
79	того что	3	2
80	помнить что	1	2
81	к чему	3	2
82	бы ни	1	2
83	думать что	2	2
84	но о	1	2
85	главным образом	1	2
86	и других	2	2
87	в его	40	2
88	в виде	2	2
89	не к	1	2
90	как раз	1	2
91	именно как	1	2
92	и с	1	2
93	точек зрения	1	2
94	как факт	1	2
95	именно в	5	2
96	и мы	2	2
97	и тем	3	2
98	в жизни	2	2
99	не было	8	2
100	а не	17	2
101	должно быть	6	2
102	в эту	1	2
103	более чем	1	2
104	знать что	2	2
105	не будем	1	2
106	творчества и	1	2
107	культуры в	1	2
108	не менее	3	2
109	все это	10	2
110	между прочим	1	2
111	не о	2	2
112	одна из	1	2
113	мысль о	1	2
114	еще более	2	2
115	для нас	4	2
116	науки они	1	2
117	имеет не	1	2
118	так называемые	1	2
119	также и	1	1
120	и то	2	1
121	на основе	7	1
122	события пусть	1	1
123	тем же	1	1
124	и этим	3	1
125	в себя	7	1
126	культуры и	5	1
127	мире можно	1	1
128	из предшествующего	1	1
129	своем бытии	2	1
130	культуры на	1	1
131	зрения той	1	1
132	должна быть	4	1
133	и утверждается	1	1
134	чтобы дать	2	1
135	поскольку она	2	1
136	не с	1	1
137	особенно в	1	1
138	и само	1	1
139	экономических и	1	1
140	как таковую	1	1
141	бы что	1	1
142	что уже	1	1
143	для этого	2	1
144	растет в	1	1
145	к пределу	1	1
146	мир с	1	1
147	могут стать	2	1
148	с ее	2	1
149	и ее	2	1
150	в некотором	3	1
151	и здесь	7	1
152	может не	2	1
153	мир культуры	2	1
154	настоящее время	1	1
155	момент только	1	1
156	с разных	1	1
157	не относятся	1	1
158	еще не	4	1
159	были бы	2	1
160	и на	3	1
161	она всегда	1	1
162	ценности суть	1	1
163	оно ни	1	1
164	в различных	1	1
165	с его	1	1
166	различия между	1	1
167	связь между	1	1
168	момента и	2	1
169	смысле не	2	1
170	жить и	2	1
171	что и	7	1
172	не просто	1	1
173	в истории	1	1
174	по количеству	1	1
175	и мир	2	1
176	разных точек	1	1
177	оставаясь в	1	1
178	в современной	3	1
179	как начало	1	1
180	известном смысле	1	1
181	такова же	1	1
182	мысль и	2	1
183	все же	5	1
184	это область	2	1
185	мы видим	1	1
186	в какой	1	1
187	с определенной	1	1
188	и живое	1	1
189	должен быть	7	1
190	поскольку мы	4	1
191	в самом	1	1
192	но как	5	1
193	в которой	1	1
194	бы и	3	1
195	что это	3	1
196	их не	1	1
197	есть для	1	1
198	если мы	1	1
199	именно на	2	1
200	себя в	8	1
201	в известном	1	1
202	всего мы	1	1
203	реальное и	1	1
204	и будущее	2	1
205	и современная	1	1
206	мира но	4	1
207	говорить об	1	1
208	в большинстве	1	1
209	только на	1	1
210	на то	1	1
211	если он	1	1
212	как оно	2	1
213	в мир	1	1
214	было с	1	1
215	к миру	1	1
216	только к	1	1
217	с основной	1	1
218	мир в	11	1
219	одно из	1	1
220	не как	4	1
221	и должна	3	1
222	к ним	4	1
223	друг друга	1	1
224	мы можем	1	1
225	и только	6	1
226	само по	1	1
227	и по	1	1
228	и экономической	1	1
229	с собой	1	1
230	мы возьмем	1	1
231	в каждом	3	1
232	а затем	1	1
233	имеют в	1	1
234	или иной	2	1
235	из всех	1	1
236	большинстве случаев	1	1
237	ясно что	3	1
238	его в	5	1
239	в душе	1	1
240	живет в	1	1
241	и иных	1	1
242	полноте и	1	1
243	весь мир	2	1
244	было и	2	1
245	а с	2	1
246	были в	1	1
247	области и	3	1
248	видения в	1	1
249	что не	3	1
250	в это	2	1
251	в живом	1	1
252	но есть	2	1
253	возможность не	1	1
254	из нее	1	1
255	где он	3	1
256	в этой	2	1
257	как и	5	1
258	и уже	1	1
259	с которым	1	1
260	и я	5	1
261	в бытии	26	1
262	нисколько не	4	1
263	есть попытка	1	1
264	бы оно	2	1
265	экономический материализм	1	1
266	бытия как	5	1
267	есть осуществление	1	1
268	всяком случае	1	1
269	к предмету	1	1
270	степени сводится	1	1
271	что именно	1	1
272	место в	5	1
273	всей полноте	1	1
274	можно быть	1	1
275	мысли и	1	1
276	в данном	2	1
277	вопрос о	2	1
278	он будет	1	1
279	культуры можно	1	1
280	можно говорить	1	1
281	есть проблема	1	1
282	исключительно на	1	1
283	он живет	1	1
284	и смысла	1	1
285	науки и	1	1
286	жива и	1	1
287	и эти	2	1
288	как к	2	1
289	там где	5	1
290	приобщается к	2	1
291	к историческому	2	1
292	в предыдущем	1	1
293	и менее	1	1
294	к следующему	1	1
295	и очень	1	1
296	время есть	1	1
297	что есть	2	1
298	эта мысль	1	1
299	что эта	2	1
300	с которой	1	1
301	она не	1	1
302	но для	2	1
303	для каждого	1	1
304	к другим	1	1
305	тогда когда	3	1
306	действие которое	1	1
307	этом смысле	3	1
308	действительный и	1	1
309	того чтобы	2	1
310	нем в	1	1
311	эта задача	1	1
312	ценности и	4	1
313	она может	1	1
314	не имеет	5	1
315	никогда не	5	1
316	в результате	1	1
317	пространство в	2	1
318	в настоящее	1	1
319	или иным	2	1
320	этом мире	2	1
321	находятся в	1	1
322	тот мир	1	1
323	но где	1	1
324	не более	1	1
325	уверенность что	1	1
326	история не	1	1
