N	2gram	Bakhtin_Fr_4	OGranits
1	и в	29	13
2	и его	8	12
3	прежде всего	8	9
4	может быть	2	8
5	не может	2	8
6	и не	16	8
7	и т.п	12	7
8	в его	8	7
9	и их	3	7
10	точки зрения	4	7
11	только в	2	6
12	как бы	8	6
13	не только	10	6
14	то что	4	6
15	таким образом	20	6
16	все же	3	5
17	и наконец	2	5
18	с точки	2	5
19	и эта	2	5
20	мы не	1	4
21	но мы	2	4
22	слов и	3	4
23	тех пор	1	4
24	еще и	7	4
25	на фоне	1	4
26	но в	12	4
27	мы можем	3	4
28	то же	10	4
29	в своей	5	4
30	все это	4	4
31	только и	1	4
32	вполне понятно	1	4
33	вряд ли	1	3
34	связана с	4	3
35	и то	2	3
36	в ее	3	3
37	самом деле	1	3
38	так и	11	3
39	г в	1	3
40	при анализе	1	3
41	говорить о	1	3
42	в их	2	3
43	за пределы	1	3
44	тела и	4	3
45	с этим	1	3
46	в которой	4	3
47	в себе	3	3
48	к одному	1	3
49	не как	1	3
50	в одном	1	3
51	так как	7	3
52	одно и	1	3
53	здесь мы	1	3
54	но и	9	3
55	как и	12	3
56	со всей	1	3
57	да и	2	3
58	и для	2	3
59	никогда не	2	3
60	и все	13	3
61	превращается в	3	3
62	т.п и	1	3
63	не столько	2	3
64	что в	1	3
65	смысле слова	1	2
66	и др	4	2
67	данном случае	1	2
68	роль в	3	2
69	и этот	1	2
70	конечно в	1	2
71	мы уже	10	2
72	те же	1	2
73	подойти к	1	2
74	не исчерпывается	1	2
75	если бы	1	2
76	с самого	3	2
77	и должно	1	2
78	в ней	3	2
79	а также	2	2
80	в чем	3	2
81	явлений и	1	2
82	в общем	1	2
83	что они	2	2
84	к сожалению	1	2
85	его на	1	2
86	как в	2	2
87	в данном	1	2
88	в этом	11	2
89	в том	7	2
90	мы видим	3	2
91	тот же	3	2
92	с ними	3	2
93	в действительности	1	2
94	в этот	1	2
95	в целом	1	2
96	же слово	1	2
97	все эти	9	2
98	с одной	2	2
99	думать что	1	2
100	уже в	2	2
101	в нем	5	2
102	связанные с	4	2
103	при этом	3	2
104	для него	1	2
105	вовсе не	9	2
106	тем что	4	2
107	в них	7	2
108	связанных с	2	2
109	с другой	4	2
110	всей своей	1	2
111	а как	2	2
112	в самом	1	2
113	входит в	1	2
114	одной стороны	2	2
115	он только	1	2
116	соответствии с	2	2
117	не на	2	2
118	другой стороны	3	2
119	в руках	1	2
120	громадную роль	1	2
121	там где	3	2
122	не мог	2	2
123	в связи	1	2
124	том что	3	2
125	с помощью	4	2
126	и при	2	2
127	и ее	1	2
128	так же	7	2
129	в отношении	1	2
130	своего рода	6	2
131	форм но	1	2
132	в тех	1	2
133	с этой	1	2
134	слова и	1	2
135	что эта	1	2
136	самого начала	3	2
137	в книге	1	2
138	их функций	1	2
139	форм и	2	2
140	на язык	1	2
141	от всех	2	2
142	во всем	1	2
143	нужно отметить	3	2
144	еще в	1	2
145	нет ничего	2	2
146	и к	2	2
147	в своих	2	2
148	к тому	2	2
149	обычно в	1	1
150	и это	2	1
151	они проникнуты	1	1
152	также и	4	1
153	же как	1	1
154	своего развития	1	1
155	xvii века	1	1
156	человека и	1	1
157	себя как	1	1
158	в виду	2	1
159	того же	5	1
160	на нем	2	1
161	и сами	1	1
162	в некоторых	1	1
163	системы но	1	1
164	как известно	2	1
165	это и	5	1
166	и есть	4	1
167	здесь и	3	1
168	в себя	2	1
169	ту же	1	1
170	включает в	1	1
171	и до	5	1
172	некоторых других	1	1
173	на том	1	1
174	из живой	1	1
175	в образе	4	1
176	для которой	1	1
177	можно было	1	1
178	особенно в	3	1
179	в борьбе	1	1
180	и о	5	1
181	на место	1	1
182	и всякого	1	1
183	быть может	2	1
184	это направление	2	1
185	по мере	1	1
186	в определенной	1	1
187	его за	1	1
188	связанное с	1	1
189	с ее	3	1
190	но даже	1	1
191	ему в	1	1
192	видели как	3	1
193	в мире	1	1
194	и он	1	1
195	в каждой	1	1
196	другими словами	2	1
197	на последней	1	1
198	и что	1	1
199	еще не	4	1
200	к счастью	1	1
201	в различных	2	1
202	которая нужна	1	1
203	же самые	1	1
204	в конечном	1	1
205	художественной формы	1	1
206	к нему	3	1
207	на самом	4	1
208	но не	2	1
209	а у	1	1
210	то он	2	1
211	переходит в	1	1
212	эта особенность	1	1
213	борьба с	1	1
214	отношение к	1	1
215	отметить что	3	1
216	тут же	1	1
217	примыкает к	1	1
218	свою новую	1	1
219	нет и	1	1
220	в другой	2	1
221	средств и	1	1
222	на то	1	1
223	один и	2	1
224	которая и	1	1
225	на словах	1	1
226	в описании	1	1
227	в одной	2	1
228	до его	1	1
229	из вас	1	1
230	в своем	3	1
231	по своей	3	1
232	один из	4	1
233	собой разумеется	1	1
234	и как	3	1
235	не хотят	1	1
236	характер носит	2	1
237	серьезному и	1	1
238	его к	2	1
239	одной из	2	1
240	что он	4	1
241	более или	3	1
242	роль играет	1	1
243	что слово	1	1
244	не приходится	1	1
245	или же	1	1
246	под ним	1	1
247	и ряд	2	1
248	понимания всего	1	1
249	со всеми	1	1
250	так в	1	1
251	указанные нами	1	1
252	в этой	13	1
253	века однако	1	1
254	для всех	1	1
255	с их	1	1
256	в дальнейшем	3	1
257	события и	1	1
258	само собой	1	1
259	и тот	2	1
260	конечно не	4	1
261	и у	2	1
262	только на	1	1
263	и если	1	1
264	что она	1	1
265	этого процесса	1	1
266	или даже	1	1
267	и других	3	1
268	на эту	3	1
269	единая и	2	1
270	его и	2	1
271	превращаются в	1	1
272	конечном счете	1	1
273	равно и	1	1
274	в узком	3	1
275	в виде	1	1
276	как их	1	1
277	в конце	9	1
278	здесь для	1	1
279	каждый из	1	1
280	подобно тому	3	1
281	отличие от	1	1
282	на этом	2	1
283	людей и	1	1
284	или иных	1	1
285	это конечно	2	1
286	даже и	2	1
287	для того	3	1
288	мы слышим	4	1
289	же не	2	1
290	воплощенной в	1	1
291	в особенности	2	1
292	в чисто	1	1
293	были для	1	1
294	для своей	2	1
295	имеет и	1	1
296	и здесь	3	1
297	его в	9	1
298	как к	3	1
299	ко второму	1	1
300	не смогут	1	1
301	к которому	2	1
302	и дает	2	1
303	сожалению мы	1	1
304	в природе	1	1
305	между отдельными	1	1
306	мира это	1	1
307	в живом	1	1
308	что мы	1	1
309	нужно сказать	2	1
310	широко пользуется	1	1
311	далеко не	5	1
312	у других	1	1
313	и самый	1	1
