N	3gram	Trubetskoy_1	SlovoVZh
1	по отношению к	1	11
2	не может быть	4	7
3	дело в том	1	4
4	в том что	7	4
5	и не может	3	3
6	тем не менее	1	3
7	бы то ни	4	3
8	до сих пор	5	3
9	то ни было	1	3
10	зависит от того	1	2
11	на самом деле	6	2
12	то же самое	1	2
13	с точки зрения	9	2
14	до известной степени	1	2
15	конечно не может	1	2
16	в корне противоречит	1	2
17	в данном случае	3	2
18	в настоящее время	2	2
19	тех или иных	1	1
20	но все же	1	1
21	а между тем	5	1
22	и в этом	1	1
23	или хотя бы	1	1
24	в этом направлении	2	1
25	более или менее	4	1
26	друг к другу	1	1
27	во всяком случае	6	1
28	без того чтобы	1	1
29	в самом деле	1	1
30	то что оно	1	1
31	здесь же мы	1	1
32	с ним в	1	1
33	то что для	1	1
34	и таким образом	1	1
35	обе точки зрения	1	1
36	приходится признать что	1	1
37	не может согласиться	1	1
38	но для этого	1	1
39	в свою очередь	1	1
40	было бы показать	1	1
41	о том что	2	1
42	только то что	1	1
43	в этом отношении	1	1
44	что не только	1	1
45	с самого начала	1	1
46	совершенно ясно что	1	1
47	но это же	1	1
48	и прежде всего	1	1
49	можно было бы	3	1
50	внутренней и внешней	1	1
51	то же время	10	1
52	он еще не	1	1
53	даже тогда когда	1	1
54	в противном случае	1	1
55	в лучшем случае	3	1
56	по крайней мере	1	1
57	в то же	10	1
58	отнюдь не является	1	1
59	не есть только	1	1
60	и в частности	1	1
61	в том и	2	1
62	в значительной степени	1	1
63	сама по себе	2	1
64	бы показать что	1	1
65	так же как	1	1
66	и в своем	1	1
67	она не может	2	1
68	сих пор мы	1	1
69	к тому же	1	1
70	но в то	1	1
71	к вопросу о	3	1
72	в том же	1	1
