N	3gram	Berdyaev_M_1	Istorich
1	не может быть	17	7
2	до сих пор	2	5
3	мы увидим что	3	5
4	в том что	1	4
5	по отношению к	2	3
6	то время как	2	3
7	в то время	2	3
8	в иной мир	2	3
9	с того что	1	3
10	о том что	1	3
11	можно было бы	1	3
12	может быть назван	1	2
13	в зависимости от	1	2
14	но и в	4	2
15	вместе с тем	5	2
16	как будто бы	2	2
17	в отличие от	1	2
18	он живет в	2	1
19	и в конце	2	1
20	к тому чтобы	2	1
21	никогда не было	1	1
22	и потому в	1	1
23	а иногда и	1	1
24	ключ к пониманию	1	1
25	прежде всего в	2	1
26	они не могут	1	1
27	в своей книге	1	1
28	но оно не	1	1
29	но он не	2	1
30	и т п	1	1
31	в том случае	1	1
32	в значительной степени	1	1
33	а не только	2	1
34	в иных случаях	1	1
35	не только в	2	1
36	этом он очень	1	1
37	не только для	1	1
38	не в том	1	1
39	не могут быть	2	1
40	это не значит	2	1
41	но и с	1	1
42	на этом пути	2	1
43	ставит его в	1	1
44	что они не	1	1
45	это потому что	1	1
46	никогда не может	2	1
47	должна быть признана	1	1
48	что иное как	1	1
49	вступает в новый	1	1
50	только в начале	1	1
51	уже не только	2	1
52	не значит что	1	1
53	не что иное	1	1
54	увидим что он	1	1
55	для него как	1	1
56	по сравнению со	1	1
57	и в нем	3	1
58	для того чтобы	2	1
59	все это не	1	1
60	что и в	1	1
