1	в этом отношении	7	13
2	не может быть	1	8
3	с другой стороны	8	8
4	по отношению к	1	7
5	в зависимости от	1	5
6	в том что	31	5
7	равно как и	1	4
8	можно сказать что	1	4
9	в связи с	3	3
10	к тому что	1	3
11	вместе с тем	3	3
12	для того чтобы	5	3
13	в этой области	2	3
14	о том как	1	3
15	мы видели что	2	3
16	о том что	3	3
17	в том числе	2	2
18	только в том	2	2
19	одному тому что	1	2
20	одном и том	1	2
21	не только в	1	2
22	нет никаких оснований	1	2
23	одной стороны и	2	2
24	том отношении что	1	2
25	в том отношении	1	2
26	не может не	2	2
27	это мы наблюдаем	1	2
28	по одному тому	1	2
29	в том чтобы	2	2
30	том числе и	2	2
31	можно было бы	5	2
32	с одной стороны	9	2
33	мы знаем что	1	2
34	и том же	1	2
35	подобно тому как	2	2
36	только то что	1	2
37	чуть ли не	1	2
38	в конце концов	1	2
39	уже по одному	1	2
40	не только не	5	2
41	этой точки зрения	4	2
42	имеем дело с	1	1
43	мы говорим о	1	1
44	и во всех	1	1
45	может быть в	1	1
46	но и в	2	1
47	это то что	1	1
48	до сих пор	1	1
49	между ними не	1	1
50	чем иным как	1	1
51	не заключается в	1	1
52	в том смысле	2	1
53	возникают у него	1	1
54	в какой мере	1	1
55	исследования не только	1	1
56	в этом смысле	8	1
57	не могут быть	2	1
58	как если бы	1	1
59	оно может быть	2	1
60	в действительной жизни	1	1
61	когда он однажды	1	1
62	как один из	1	1
63	что должно быть	1	1
64	того обстоятельства что	2	1
65	том что мы	1	1
66	что он не	1	1
67	того момента когда	1	1
68	что они не	1	1
69	одно и то	6	1
70	лежит в основе	1	1
71	в целом и	2	1
72	не чем иным	1	1
73	из которых каждая	1	1
74	не только у	1	1
75	мы полагаем что	1	1
76	обратил внимание на	1	1
77	идет дальше и	1	1
78	между этими двумя	2	1
79	по сравнению с	3	1
80	не имеет ничего	1	1
81	в целом но	1	1
82	с этой точки	4	1
83	то время как	1	1
84	ничего общего с	1	1
85	во всяком случае	3	1
86	целом но и	1	1
87	то что в	1	1
88	не говоря уже	1	1
89	по этому вопросу	1	1
90	то же самое	7	1
91	мы встречаемся с	1	1
92	заключает в себе	1	1
93	мы видим что	2	1
94	только тогда когда	1	1
95	в результате уже	1	1
96	том случае если	1	1
97	если бы он	1	1
98	и в результате	2	1
99	к тому же	1	1
100	и то же	6	1
101	решение этой проблемы	1	1
102	говоря уже о	1	1
103	том смысле что	1	1
104	не подлежит сомнению	1	1
105	но даже и	1	1
106	того что мы	1	1
107	и ту же	1	1
108	толстой но и	1	1
109	в самом деле	6	1
110	в свою очередь	2	1
111	в то время	1	1
112	в том случае	1	1
113	что все эти	1	1
114	мы имеем дело	1	1
115	одну и ту	1	1
116	обобщения перед нами	1	1
117	в данном случае	2	1
118	вопрос о том	1	1
119	ни в какой	1	1
120	как это мы	2	1
121	не отличается от	1	1
122	анализа и синтеза	1	1
123	может быть даже	1	1
124	это особенно часто	1	1
125	в этом же	1	1
126	же как и	4	1
127	после того как	1	1
128	образов и символов	1	1
129	в том же	1	1
130	и как увидим	1	1
131	так же как	5	1
132	все же не	1	1
133	это явствует из	1	1
