N	3gram	Losev_Prob_5	Dialekti
1	и т д	1	15
2	с точки зрения	8	9
3	в том что	8	9
4	что иное как	3	8
5	не что иное	3	8
6	по крайней мере	4	7
7	не может быть	2	6
8	то же время	1	6
9	в то же	1	6
10	сама по себе	1	5
11	для того чтобы	2	5
12	в этом смысле	3	4
13	это и есть	1	4
14	только тогда когда	3	4
15	имеется в виду	1	3
16	не говоря уже	1	3
17	говоря уже о	1	3
18	то или иное	1	3
19	и в этом	1	3
20	или по крайней	1	3
21	на то что	2	3
22	ясно что это	1	3
23	равно как и	2	2
24	о том как	1	2
25	сам по себе	1	2
26	точно так же	3	2
27	с этой точки	1	2
28	то и другое	2	2
29	ту или иную	1	2
30	уже о том	1	2
31	но в то	1	2
32	ничего общего не	1	2
33	и оказывается что	1	2
34	этой точки зрения	1	2
35	вовсе не в	1	2
36	от того что	1	2
37	и можно сказать	1	2
38	и в частности	3	2
39	тем не менее	5	2
40	в сравнении с	3	2
41	но ясно что	2	1
42	даже тогда когда	1	1
43	что в результате	1	1
44	в чем не	1	1
45	только потому что	1	1
46	не думал что	1	1
47	дело в том	2	1
48	должны сказать что	1	1
49	не только о	1	1
50	мы не могли	1	1
51	точки зрения в	1	1
52	должно было бы	1	1
53	и из них	1	1
54	в силу того	1	1
55	может быть только	3	1
56	не было и	1	1
57	и то и	1	1
58	так чтобы это	1	1
59	не входит в	1	1
60	и при помощи	1	1
61	также и то	2	1
62	можно сказать что	3	1
63	то что я	1	1
64	до некоторой степени	4	1
65	что именно он	1	1
66	в древней греции	1	1
67	и не в	2	1
68	и то что	3	1
69	говорить не о	1	1
70	в виду в	1	1
71	в это время	2	1
72	в новом свете	1	1
73	содержит в себе	1	1
74	его за это	2	1
75	в данном случае	2	1
76	не только в	1	1
77	вслед за ним	1	1
78	в конце концов	6	1
79	это не так	1	1
80	на другое когда	1	1
81	и как бы	1	1
82	в природе и	1	1
83	как и вообще	1	1
84	как бы и	1	1
85	так или иначе	1	1
86	в нем не	1	1
87	не в силах	1	1
88	вовсе и не	1	1
89	в связи с	7	1
90	который хотя и	1	1
91	хотя бы на	1	1
92	как одно из	1	1
93	вы не знаете	1	1
94	если мы будем	1	1
95	но тем не	1	1
96	то обстоятельство что	1	1
97	уже не просто	1	1
98	все эти мифологические	1	1
99	связи с этим	1	1
100	мы должны сказать	1	1
101	о том что	9	1
102	и вместе с	1	1
103	не имеет с	1	1
104	хотя бы в	1	1
105	ни о каком	1	1
106	вопрос о том	1	1
107	но все же	2	1
108	ни в чем	1	1
109	с другой стороны	5	1
110	после того как	3	1
111	но это не	1	1
112	тех или иных	2	1
113	нашей работы но	1	1
114	а именно в	3	1
115	общего не имеет	1	1
116	никогда и не	1	1
117	конечно прежде всего	1	1
118	по себе а	1	1
119	той или иной	1	1
120	своей и чужой	1	1
