N	3gram	Tiupa_Lite_2	Sovremen
1	мы не можем	1	6
2	с точки зрения	3	5
3	не может быть	7	4
4	тем не менее	2	2
5	в отличие от	1	2
6	в свою очередь	1	2
7	то же самое	1	2
8	такой же мере	1	1
9	и не было	1	1
10	одной стороны и	1	1
11	по крайней мере	2	1
12	не могут быть	1	1
13	а в конце	1	1
14	в такой же	1	1
15	не в том	1	1
16	по отношению к	3	1
17	на самом деле	1	1
18	в свое время	2	1
19	в этом случае	2	1
20	вместе с ним	1	1
21	то же время	9	1
22	и в то	1	1
23	что в ней	1	1
24	бы то ни	1	1
25	как одной из	1	1
26	в конечном счете	5	1
27	можно было бы	1	1
28	и не может	1	1
29	той или иной	1	1
30	и прежде всего	1	1
31	в то же	9	1
32	в том что	5	1
33	в данном случае	3	1
34	то ни было	1	1
35	с одной стороны	6	1
