N	2gram	Propp_Isto_7	Vladivir
1	и в	24	31
2	не только	21	24
3	но и	11	19
4	то что	7	18
5	и не	4	17
6	и даже	3	15
7	у него	10	15
8	в этом	12	14
9	том что	10	14
10	и с	1	14
11	он был	1	14
12	что в	13	14
13	там же	2	13
14	но в	5	12
15	в его	1	12
16	что он	21	12
17	с его	3	11
18	же с	1	11
19	о том	9	11
20	в том	7	11
21	между прочим	3	11
22	потому что	9	11
23	и то	1	10
24	он не	6	10
25	так что	3	10
26	как мы	3	9
27	никогда не	4	9
28	в конце	3	9
29	только в	6	9
30	даже и	1	9
31	а в	10	9
32	и по	3	8
33	в то	2	8
34	в дальнейшем	3	8
35	так как	8	8
36	в доме	1	7
37	тут же	1	7
38	кроме того	3	7
39	мы уже	4	7
40	как это	2	7
41	и его	3	7
42	об этом	6	7
43	уже в	3	7
44	е в	2	7
45	сказать что	2	7
46	того же	2	6
47	то же	8	6
48	то он	1	6
49	и к	1	6
50	в котором	2	6
51	и сам	1	6
52	так и	5	6
53	и что	10	6
54	можно сказать	1	6
55	в качестве	3	6
56	может быть	14	6
57	на этот	2	6
58	и потому	1	6
59	не может	14	6
60	к этому	2	6
61	когда он	3	5
62	на то	3	5
63	и если	3	5
64	которой он	3	5
65	не в	9	5
66	со своим	4	5
67	что и	8	5
68	вовсе не	4	5
69	но он	2	5
70	а с	1	5
71	что же	1	5
72	все это	8	5
73	видно что	5	5
74	и от	2	5
75	а также	1	5
76	с ним	5	5
77	в свое	1	5
78	жизни и	1	5
79	из его	1	4
80	он уже	1	4
81	я не	1	4
82	мы и	1	4
83	что его	2	4
84	совсем не	1	4
85	в этой	1	4
86	в своем	1	4
87	хотя и	3	4
88	и как	1	4
89	в этот	1	4
90	в которой	2	4
91	как он	6	4
92	в нем	6	4
93	что у	4	4
94	как и	6	4
95	ни с	2	4
96	в своей	1	4
97	не раз	1	4
98	дело в	1	4
99	к ней	2	4
100	во всем	2	4
101	никак не	1	4
102	к нему	7	4
103	один из	7	4
104	и у	2	4
105	в особенности	2	4
106	после смерти	3	4
107	и все	6	4
108	для нас	6	4
109	увидим ниже	1	3
110	но она	1	3
111	на себя	2	3
112	и он	3	3
113	и на	2	3
114	но не	6	3
115	отношение к	5	3
116	он пишет	1	3
117	что они	3	3
118	как в	12	3
119	все же	9	3
120	более или	1	3
121	со своей	2	3
122	в целом	1	3
123	он в	2	3
124	все эти	2	3
125	что к	1	3
126	и вот	1	3
127	на его	2	3
128	это конечно	2	3
129	здесь мы	5	3
130	в египте	1	3
131	отца и	2	3
132	со своими	1	3
133	мы хотели	1	3
134	не мог	1	3
135	или менее	1	3
136	во время	6	3
137	взгляд на	1	3
138	но это	3	3
139	что этот	2	3
140	в науке	1	3
141	на него	2	3
142	ничего не	5	3
143	вот что	1	3
144	таким образом	7	3
145	к тому	1	3
146	в жизни	1	3
147	здесь не	2	3
148	и здесь	12	3
149	тот же	2	3
150	мы увидим	6	3
151	и действительно	1	3
152	и так	2	3
153	уже не	2	3
154	только на	2	3
155	в виде	1	3
156	но что	1	3
157	и из	1	3
158	с другой	9	3
159	по своим	3	3
160	и стал	3	3
161	был в	2	3
162	него не	1	3
163	под влиянием	1	3
164	если не	4	3
165	в связи	2	3
166	вместе с	7	3
167	к своему	1	3
168	по своему	1	3
169	в начале	1	3
170	хотели бы	1	3
171	другой стороны	8	3
172	но этот	1	3
173	об этих	1	3
174	и т	17	2
175	одним из	1	2
176	и весьма	1	2
177	и за	1	2
178	по его	2	2
179	для своего	1	2
180	который был	1	2
181	хотя бы	1	2
182	ему в	1	2
183	еще не	8	2
184	знаем что	3	2
185	в чем	5	2
186	ответ на	6	2
187	в свои	1	2
188	один и	1	2
189	его на	2	2
190	некоторое время	1	2
191	конечно не	2	2
192	из этих	3	2
193	и тот	2	2
194	что она	5	2
195	при этом	4	2
196	т д	16	2
197	так например	2	2
198	а по	1	2
199	на ту	2	2
200	было бы	2	2
201	известно что	2	2
202	кажется что	3	2
203	ни в	2	2
204	в них	3	2
205	на основании	1	2
206	с тем	1	2
207	можно считать	1	2
208	нее в	1	2
209	на первый	4	2
210	точки зрения	4	2
211	что такое	2	2
212	это делает	1	2
213	что я	1	2
214	выше мы	3	2
215	тем не	4	2
216	что сам	1	2
217	для нее	2	2
218	не менее	5	2
219	тем самым	1	2
220	дело не	5	2
221	не по	2	2
222	которого он	1	2
223	того и	1	2
224	больше чем	1	2
225	и весь	1	2
226	которые и	1	2
227	очень мало	1	2
228	со стороны	2	2
229	для его	1	2
230	указывает на	1	2
231	и такие	2	2
232	для того	1	2
233	где он	1	2
234	для себя	1	2
235	и о	2	2
236	куда он	1	2
237	то время	2	2
238	не столько	3	2
239	связи со	2	2
240	ясно что	1	2
241	во многом	1	2
242	на все	1	2
243	но мы	1	2
244	она всегда	1	2
245	с того	4	2
246	того в	1	2
247	а именно	6	2
248	знания и	1	2
249	того что	6	2
250	всякого рода	1	2
251	с ними	1	2
252	по этому	2	2
253	том чтобы	3	2
254	одной из	4	2
255	то и	4	2
256	из них	2	2
257	мы знаем	2	2
258	с семьей	3	2
259	и начал	2	2
260	тем что	6	2
261	только что	1	2
262	именно так	1	2
263	из многочисленных	1	2
264	вероятно не	1	2
265	что мы	3	2
266	начиная с	1	2
267	к себе	3	2
268	он говорит	2	2
269	он будет	1	2
270	в ответ	3	2
271	в тех	5	2
272	по существу	4	2
273	для тех	1	2
274	приведем несколько	1	2
275	этом и	2	2
276	смерти а	1	2
277	от него	3	2
278	тем более	2	2
279	мы должны	4	2
280	но зато	1	2
281	он стал	2	2
282	сведения о	1	2
283	из этого	1	2
284	в самом	2	2
285	к этой	1	2
286	и это	2	2
287	в частности	1	2
288	как на	1	2
289	все что	1	2
290	как известно	1	1
291	не прямо	1	1
292	от отца	4	1
293	только потому	1	1
294	и есть	1	1
295	нам кажется	1	1
296	чего не	1	1
297	не имеют	2	1
298	и больше	1	1
299	видеть в	3	1
300	отношения к	1	1
301	в их	4	1
302	есть не	1	1
303	объявил что	1	1
304	что если	1	1
305	что уже	1	1
306	случае это	1	1
307	ответить на	1	1
308	время как	2	1
309	не вполне	3	1
310	то новое	1	1
311	в некотором	1	1
312	для наших	1	1
313	мы здесь	2	1
314	с большим	1	1
315	в ней	1	1
316	не знал	2	1
317	также о	1	1
318	дать ему	1	1
319	участвовать в	1	1
320	из особенностей	1	1
321	бы то	1	1
322	в различных	3	1
323	которое он	1	1
324	жениться на	4	1
325	на своих	1	1
326	во всех	7	1
327	понятно почему	1	1
328	видели что	1	1
329	заметим что	1	1
330	по отношению	1	1
331	тогда как	3	1
332	себе и	3	1
333	на вопрос	4	1
334	был большой	1	1
335	в отсутствие	1	1
336	ему не	1	1
337	что во	2	1
338	в позднейшей	1	1
339	дает нам	1	1
340	встречи с	1	1
341	ко всякого	1	1
342	интересно то	1	1
343	этом же	2	1
344	может получить	1	1
345	что по	2	1
346	из причин	1	1
347	и хотя	1	1
348	поэтому он	1	1
349	не приходится	1	1
350	ни один	1	1
351	с места	1	1
352	представляет собой	4	1
353	того ни	1	1
354	тоже не	3	1
355	им в	2	1
356	если он	3	1
357	не могла	1	1
358	после этого	3	1
359	интерес представляет	1	1
360	в силу	2	1
361	него есть	2	1
362	из него	1	1
363	всех своих	1	1
364	но все	4	1
365	объясняет что	1	1
366	можно собрать	1	1
367	однако все	1	1
368	не будет	2	1
369	те же	1	1
370	них не	1	1
371	этого мы	1	1
372	с целью	2	1
373	знает что	1	1
374	на протяжении	1	1
375	это не	10	1
376	уже знаем	3	1
377	надо считать	1	1
378	и тем	2	1
379	по всему	1	1
380	этом мы	2	1
381	лет в	1	1
382	но уже	1	1
383	о которых	1	1
384	ни одной	1	1
385	если я	1	1
386	уже был	1	1
387	таинственности и	1	1
388	мы имеем	12	1
389	тому что	2	1
390	и уже	1	1
391	для чего	1	1
392	об этой	2	1
393	только во	1	1
394	это совершенно	1	1
395	мы не	4	1
396	стороны с	2	1
397	в этих	13	1
398	бы на	1	1
399	примера мы	1	1
400	и без	1	1
401	она в	3	1
402	из большой	1	1
403	необходимо указать	1	1
404	из анализа	2	1
405	в первый	1	1
406	представление о	3	1
407	этого вопроса	1	1
408	нас важнее	1	1
409	от его	1	1
410	вопрос о	3	1
411	для объяснения	3	1
412	вплоть до	2	1
413	и той	1	1
414	но эта	2	1
415	не меняет	1	1
416	ни было	1	1
417	дом и	1	1
418	этом а	1	1
419	с мужем	1	1
420	здесь достаточно	1	1
421	личные качества	1	1
422	вместе со	2	1
423	не для	1	1
424	отец и	2	1
425	сам он	2	1
426	она не	2	1
427	приводят к	1	1
428	таких случаях	1	1
429	своим отцом	2	1
430	в таких	2	1
431	что их	1	1
432	родился в	1	1
433	что иное	1	1
434	с некоторой	1	1
435	он мог	1	1
436	то чего	1	1
437	и религиозное	1	1
438	его от	1	1
439	одна из	7	1
440	имеем дело	1	1
441	весь дом	1	1
442	очень близок	1	1
443	он стоит	1	1
444	и после	2	1
445	связи с	3	1
446	до того	1	1
447	очень часто	1	1
448	его отец	2	1
449	прямо говорит	1	1
450	не могут	2	1
451	что отец	2	1
452	же самое	1	1
453	а что	1	1
454	за что	1	1
455	здесь под	1	1
456	в каждом	1	1
457	только одну	1	1
458	этим самым	1	1
459	то ни	1	1
460	лет с	1	1
461	из всего	2	1
462	на другой	1	1
463	будет сказать	1	1
464	нами выше	2	1
465	с сего	1	1
466	так в	4	1
467	и когда	2	1
468	стороны не	2	1
469	не с	1	1
470	а этот	1	1
471	и которые	1	1
472	ее отец	2	1
473	когда его	1	1
474	можно только	1	1
475	во второй	1	1
476	ли и	2	1
477	семь лет	1	1
478	если бы	1	1
479	в разных	1	1
480	связанная с	1	1
481	о ней	1	1
482	все дело	2	1
483	сводится к	1	1
484	все исследование	1	1
485	другом месте	1	1
486	и поэтому	1	1
487	того он	1	1
488	второй половине	1	1
489	не содержит	2	1
490	не стоит	2	1
491	еще другие	1	1
492	он с	1	1
493	все в	2	1
494	в приведенных	2	1
495	связь между	1	1
496	и всю	1	1
497	от них	1	1
498	и во	1	1
499	почти всегда	2	1
500	во всей	1	1
501	вот у	1	1
502	в другой	3	1
503	которые он	1	1
504	в знак	1	1
505	не знаю	3	1
506	если это	2	1
507	о своих	1	1
508	но тут	1	1
509	в литературе	2	1
510	состояние и	1	1
511	тех пор	1	1
512	на которой	1	1
513	но с	1	1
514	сразу же	1	1
515	оказалось что	1	1
516	согласиться с	2	1
517	ли он	4	1
518	к отцу	2	1
519	который в	1	1
520	самые разнообразные	1	1
521	ним но	1	1
522	вопрос об	1	1
523	богом и	1	1
524	возвращается в	1	1
525	а после	2	1
526	с одной	5	1
527	к которой	2	1
528	по другим	1	1
529	самом деле	1	1
530	очень рано	1	1
531	наконец последняя	1	1
532	или не	1	1
533	и которая	1	1
534	же в	1	1
535	что не	2	1
536	еще одной	1	1
537	этому вопросу	1	1
538	а то	1	1
539	этим кончается	1	1
540	это обстоятельство	2	1
541	ту же	1	1
542	представлений о	1	1
543	у нее	2	1
544	друг друга	2	1
545	мы можем	4	1
546	как его	1	1
547	не просто	2	1
548	от того	1	1
549	ее на	4	1
550	в других	4	1
551	он почти	1	1
552	и только	1	1
553	брак и	2	1
554	не хочет	1	1
555	только у	1	1
556	и поцеловал	1	1
557	мне не	1	1
558	связаны с	2	1
559	его надо	1	1
560	не один	1	1
561	которые можно	1	1
562	именно в	1	1
563	что тот	2	1
564	далеко не	1	1
565	мы еще	1	1
566	для такой	1	1
567	говорит о	2	1
568	прежде всего	2	1
569	и пр	1	1
570	обращаясь в	1	1
571	с золотой	1	1
572	одной стороны	5	1
573	которые не	2	1
574	положение и	1	1
575	свою жизнь	1	1
576	у других	1	1
577	а не	8	1
578	в руках	2	1
579	увидим в	1	1
580	есть начало	1	1
581	такие представления	1	1
582	о чем	1	1
583	когда она	2	1
584	он родился	1	1
585	скажем несколько	1	1
586	его как	1	1
587	долго и	2	1
588	в точности	1	1
589	своего мужа	1	1
590	так же	6	1
591	в одной	2	1
592	д в	2	1
593	то можно	1	1
594	незадолго до	1	1
595	из которых	1	1
596	в брак	4	1
597	в данном	4	1
598	не видел	1	1
599	что за	3	1
600	на колени	1	1
601	что весь	1	1
602	а потом	2	1
603	о человеке	1	1
604	ему при	1	1
605	в состоянии	4	1
606	и более	1	1
607	с некоторым	1	1
608	с этой	6	1
609	что здесь	7	1
610	многочисленных источников	1	1
611	в основном	2	1
612	отдельно от	1	1
613	сила и	1	1
614	упомянуть еще	1	1
615	и часто	1	1
616	еще одна	3	1
617	много но	2	1
618	видно по	1	1
619	или в	8	1
620	это он	1	1
621	человек и	1	1
622	и перед	1	1
623	раз он	2	1
624	мысль о	1	1
625	по одной	1	1
626	ее в	3	1
627	я в	1	1
628	там он	1	1
629	но вот	2	1
630	связь с	2	1
631	за шиворот	1	1
632	я стал	1	1
633	но если	1	1
634	с ней	3	1
635	от своего	1	1
636	он находит	1	1
637	дело с	1	1
638	своего отца	4	1
639	выходят за	1	1
640	знаю что	2	1
641	в заключение	1	1
642	он немного	1	1
643	уже есть	1	1
644	и другие	9	1
645	которые в	1	1
646	и эта	2	1
647	в таком	1	1
648	приведем еще	1	1
