N	3gram	Medvedev_F_2	PoTuStor
1	с точки зрения	7	6
2	на самом деле	3	4
3	с самого начала	2	4
4	в чем не	1	3
5	в этом смысле	2	3
6	до сих пор	1	3
7	по крайней мере	1	3
8	мы полагаем что	1	3
9	во всяком случае	5	3
10	не может быть	10	3
11	и пр и	4	3
12	ни в чем	2	3
13	в большинстве случаев	3	3
14	нам кажется что	1	2
15	по аналогии с	1	2
16	в самом деле	5	2
17	не могут быть	4	2
18	в его целом	1	2
19	пр и пр	4	2
20	и в этом	5	2
21	теперь мы должны	1	1
22	и связанные с	1	1
23	не следует что	2	1
24	прежде всего на	1	1
25	мы имеем в	1	1
26	имеем в виду	1	1
27	тесно примыкают к	1	1
28	но даже и	1	1
29	и др но	1	1
30	общем можно сказать	1	1
31	на первый план	2	1
32	организме и не	1	1
33	бы то ни	1	1
34	в этом отношении	7	1
35	только из него	1	1
36	как это было	2	1
37	что же делает	1	1
38	это приводит к	2	1
39	каждое из этих	1	1
40	остановимся прежде всего	1	1
41	вместе с тем	4	1
42	и ее требований	1	1
43	же что и	1	1
44	не чем иным	1	1
45	даже не пытается	1	1
46	в данном случае	1	1
47	имеет значение и	1	1
48	с одной стороны	1	1
49	и только из	1	1
50	в высшей степени	4	1
51	в связи с	10	1
52	как один из	1	1
53	в применении к	2	1
54	и пр это	1	1
55	же совершенно не	1	1
56	не имеет места	1	1
57	на один шаг	2	1
58	один из моментов	1	1
59	могут быть поняты	1	1
60	роковую роль в	1	1
61	в том что	2	1
62	может быть при	1	1
63	с его помощью	2	1
64	образом с точки	1	1
65	центр тяжести в	1	1
66	чем иным как	1	1
67	и пр в	1	1
68	мы не можем	1	1
69	так и в	3	1
70	его отношение к	1	1
71	это и есть	1	1
72	в некоторых отношениях	1	1
73	связи с этим	3	1
74	и прежде всего	2	1
75	что иное как	1	1
76	мы знаем что	1	1
77	или во всяком	1	1
78	в известной степени	1	1
79	в том смысле	3	1
80	не что иное	1	1
81	в этой плоскости	1	1
82	для того чтобы	3	1
83	может быть даже	1	1
84	и входит в	1	1
85	как мы знаем	2	1
86	в общем можно	1	1
87	таким образом с	1	1
