1	в то же время	3	5
2	потому что он не	1	2
3	только в том что	1	2
4	и в том что	1	2
5	одной и той же	1	2
6	от присоединения к ним	1	1
7	не говоря уже о	2	1
8	не в том чтобы	1	1
9	не только в том	1	1
10	и в самом деле	2	1
11	самом смысле в каком	1	1
12	что само по себе	1	1
13	и т д не	1	1
14	в то время как	1	1
15	только в том случае	1	1
16	заключается в том что	1	1
17	то тем самым мы	2	1
18	том самом смысле в	1	1
19	в том что и	1	1
20	то же что в	1	1
21	зависит не только от	1	1
22	в том самом смысле	1	1
23	не сам по себе	1	1
24	до сих пор еще	1	1
