N	2gram	Savitsky_P_1	Retstnzi
1	не может	4	4
2	и в	14	3
3	если в	2	2
4	запада если	1	1
5	на нее	1	1
6	то же	9	1
7	в ней	6	1
8	может быть	5	1
9	в выборе	2	1
10	из этих	1	1
11	и не	12	1
12	в его	2	1
13	к историческому	1	1
14	может и	2	1
15	конечно и	1	1
16	не только	17	1
17	с точки	3	1
18	сравнении с	3	1
19	в каждом	1	1
20	не менее	2	1
21	если бы	4	1
22	эта вторая	1	1
23	в то	7	1
24	русской литературы	1	1
25	но и	6	1
26	точки зрения	3	1
27	и на	1	1
28	может не	1	1
29	мы видим	1	1
30	же время	7	1
31	а не	2	1
