N	3gram	Nazirov_Vr_1	Marksizm
1	с точки зрения	2	13
2	не может быть	2	10
3	то же время	4	8
4	в то же	4	8
5	в связи с	3	7
6	в том что	2	6
7	может быть и	1	5
8	но в то	2	5
9	в свою очередь	1	5
10	и не может	1	3
11	до сих пор	1	3
12	одно и то	1	3
13	в высшей степени	1	3
14	и то же	1	3
15	о том что	1	3
16	быть и речи	1	2
17	не было бы	1	2
18	по крайней мере	1	2
19	во всяком случае	1	2
20	– одна из	1	2
21	на то что	1	2
22	а следовательно и	1	1
23	не с точки	1	1
24	в соответствии с	1	1
25	в той же	1	1
26	в этом отношении	1	1
27	независимо от того	1	1
28	к вопросу о	1	1
29	тем не менее	1	1
30	а с другой	1	1
31	с другой стороны	1	1
32	в литературу в	1	1
33	с помощью которых	1	1
34	в русской литературе	3	1
35	в каком направлении	1	1
36	то что они	1	1
37	тем что он	1	1
38	но в этом	1	1
