N	2gram	Tiupa_Lite_1	ViktorSh
1	в том	16	2
2	и в	8	2
3	в конце	4	2
4	том что	14	2
5	дело в	3	1
6	только в	8	1
7	и не	12	1
8	в другом	2	1
9	то же	5	1
10	по крайней	1	1
11	этом и	1	1
12	что сами	1	1
13	так как	1	1
14	а только	2	1
15	другом месте	1	1
16	и его	4	1
17	в которых	1	1
18	к этому	1	1
19	так в	1	1
20	да и	3	1
21	для них	2	1
22	сколь и	1	1
23	в этом	12	1
24	крайней мере	1	1
25	столь же	4	1
26	сводится к	3	1
27	том же	3	1
28	в их	3	1
29	именно в	1	1
30	и только	2	1
31	и то	2	1
32	в частности	15	1
33	по поводу	2	1
34	потому что	3	1
35	далеко не	3	1
36	хотя бы	2	1
37	в новизне	2	1
38	в значительной	1	1
39	в самом	3	1
40	языка если	1	1
41	говоря о	1	1
42	все то	1	1
43	и т.д	1	1
44	имеется в	2	1
45	на одном	1	1
46	от других	1	1
47	по существу	1	1
48	гораздо более	1	1
49	их как	1	1
50	более чем	3	1
51	говорится в	2	1
52	бы потому	1	1
53	самом деле	2	1
54	значительной степени	1	1
55	тем более	2	1
56	я не	7	1
