N	2gram	Tiupa_Vved_1	ViktorSh
1	теории прозы	1	2
2	в том	10	2
3	и в	13	2
4	в конце	1	2
5	том что	7	2
6	только в	6	1
7	и не	12	1
8	то же	5	1
9	по крайней	1	1
10	этом и	2	1
11	а только	1	1
12	о теории	1	1
13	и его	5	1
14	в которых	1	1
15	к этому	2	1
16	так в	4	1
17	да и	1	1
18	для них	3	1
19	к чему	1	1
20	в этом	21	1
21	крайней мере	1	1
22	столь же	1	1
23	сводится к	4	1
24	том же	1	1
25	в их	1	1
26	и только	1	1
27	в частности	13	1
28	по поводу	2	1
29	собственно и	1	1
30	потому что	5	1
31	далеко не	4	1
32	хотя бы	1	1
33	в значительной	1	1
34	в самом	2	1
35	и составляет	3	1
36	предлагает нам	1	1
37	все то	1	1
38	и т.д	5	1
39	все это	1	1
40	гораздо более	1	1
41	но это	3	1
42	самом деле	3	1
43	не хотел	1	1
44	значительной степени	1	1
45	по своим	3	1
