N	3gram	Ircho_Kome_2	EvropaiC
1	в том что	5	16
2	до сих пор	2	12
3	по отношению к	3	10
4	друг с другом	2	9
5	с точки зрения	1	8
6	более или менее	1	7
7	друг от друга	1	6
8	для того чтобы	4	6
9	в самом деле	1	5
10	по сравнению с	1	5
11	сих пор не	1	4
12	том случае если	1	4
13	в том случае	1	4
14	в этой области	1	4
15	к тому же	10	4
16	с другой стороны	1	4
17	не может быть	1	4
18	о том что	4	4
19	тем не менее	1	4
20	в том же	1	3
21	так или иначе	3	3
22	в связи с	3	3
23	в целом ряде	1	3
24	не в состоянии	1	2
25	о том чтобы	1	2
26	бы то ни	2	2
27	то же время	3	2
28	вместе с тем	4	2
29	то что у	1	2
30	то ни было	2	2
31	с одной стороны	2	2
32	многие из них	1	2
33	таким же образом	1	2
34	как бы то	1	2
35	так и для	1	2
36	во всяком случае	2	2
37	в свою очередь	1	2
38	но все же	1	2
39	в то же	3	2
40	и в том	1	2
41	в голову не	1	1
42	иначе обстоит дело	1	1
43	по этому вопросу	1	1
44	что по существу	1	1
45	то время как	2	1
46	а затем и	2	1
47	не говоря уже	2	1
48	их взаимоотношения в	1	1
49	никак не может	1	1
50	и в голову	1	1
51	никто не может	1	1
52	оружием в руках	1	1
53	никому и в	1	1
54	только в том	1	1
55	из них в	1	1
56	говоря уже о	2	1
57	представление о том	1	1
58	для этой цели	1	1
59	у него в	1	1
60	а может быть	1	1
61	мы находим в	1	1
62	независимо от того	2	1
63	том числе и	1	1
64	за то что	4	1
65	точно так же	1	1
66	на пути к	2	1
67	к каким последствиям	1	1
68	вместе с ними	1	1
69	с оружием в	1	1
70	не имели никакого	1	1
71	то обстоятельство что	1	1
72	таким образом и	1	1
73	в один из	1	1
74	на задний план	1	1
75	должна была бы	1	1
76	благодаря тому что	1	1
77	и с этой	2	1
78	и еще больше	1	1
79	в нем не	2	1
80	что у него	2	1
81	вместо того чтобы	1	1
82	представить себе как	1	1
83	со своей стороны	1	1
84	в своем поведении	1	1
85	целом ряде случаев	1	1
86	в тех случаях	1	1
87	до тех пор	3	1
88	в то время	3	1
89	хотя бы в	1	1
90	с самого начала	1	1
91	тем более что	1	1
92	с этой целью	2	1
93	тех случаях когда	1	1
94	в том числе	3	1
95	к тому что	2	1
96	как мы видели	1	1
97	надо признать что	2	1
98	как мы знаем	1	1
