N	3gram	Berdyaev_N_1	Otkroven
1	о человеке и	1	5
2	в нем нет	2	3
3	человеке и его	1	2
4	никогда не было	2	2
5	а не в	1	2
6	не может быть	4	2
7	в этом он	1	2
8	но и в	1	2
9	не могут быть	1	2
10	добро и зло	1	1
11	как будто бы	1	1
12	по природе своей	1	1
13	не в том	1	1
14	изнутри а не	1	1
15	одна из сторон	1	1
16	это не есть	1	1
17	человек а не	1	1
18	раскрывается лишь в	1	1
19	не было и	1	1
20	и не может	1	1
21	во всяком случае	1	1
22	том случае если	1	1
23	не в силах	1	1
24	в мир и	1	1
25	о том что	1	1
26	то что в	1	1
27	заключает в себе	1	1
28	в том что	1	1
29	нет у него	1	1
30	и не в	1	1
31	в том случае	1	1
32	во имя свободы	3	1
33	как и в	1	1
