N	3gram	Tiupa_Lite_1	Analitik
1	ивана петровича белкина	1	8
2	в том что	11	7
3	в повестях белкина	2	7
4	по отношению к	2	7
5	так и не	1	5
6	с другой стороны	1	5
7	о том что	2	5
8	мы имеем дело	1	4
9	покойного ивана петровича	1	4
10	по крайней мере	1	4
11	в свою очередь	1	4
12	и того же	1	3
13	присутствия я в	1	3
14	в русской литературе	3	3
15	в данном случае	4	3
16	то же время	5	3
17	в то же	5	3
18	одного и того	1	3
19	к тому же	1	3
20	в этом отношении	2	3
21	дело в том	2	2
22	в русской поэзии	1	2
23	подобно тому как	2	2
24	при этом как	3	2
25	в ответ на	1	2
26	том что он	1	2
27	с точки зрения	2	2
28	в отличие от	5	2
29	тот или иной	1	2
30	в значительной степени	1	2
31	едва ли не	1	2
32	с одной стороны	2	2
33	тем не менее	2	2
34	как нам представляется	1	2
35	во всяком случае	2	2
36	ролью в миропорядке	1	2
37	я в мире	2	2
38	в конечном счете	4	2
39	и прежде всего	3	2
40	этого текста в	1	2
41	на наш взгляд	5	2
42	принципе может быть	1	1
43	это уже не	1	1
44	том что при	1	1
45	со своей внутренней	1	1
46	в чистом виде	1	1
47	в этом контексте	1	1
48	к себе самому	1	1
49	а потому и	1	1
50	приводит к снятию	1	1
51	по этой причине	2	1
52	не говоря уже	2	1
53	на самом деле	1	1
54	в самом деле	1	1
55	в принципе может	1	1
56	герой нашего времени	1	1
57	до сих пор	1	1
58	том что лирическое	1	1
59	с тем же	1	1
60	говоря уже о	1	1
61	в романе достоевского	1	1
62	в зависимости от	1	1
63	что произведение искусства	1	1
64	поскольку произведение искусства	1	1
65	в силу его	1	1
66	между тем как	1	1
67	может и не	1	1
68	несмотря на свою	1	1
69	все той же	1	1
70	перед нами не	1	1
71	графу б бурмину	1	1
72	в эту минуту	1	1
73	петровича белкина изданных	1	1
74	в художественном мире	1	1
75	ту или иную	2	1
76	тогда как в	1	1
77	как уже говорилось	1	1
78	наконец даже в	1	1
79	русской классической прозы	1	1
80	лишь в момент	1	1
81	в общем контексте	1	1
82	в тексте но	1	1
83	пределах одной фразы	1	1
84	далеко не всегда	1	1
85	по сути своей	1	1
86	не только в	4	1
87	если говорить о	1	1
88	однако и здесь	1	1
89	не столько в	1	1
90	в своем составе	2	1
91	в равной степени	1	1
92	которые могли бы	1	1
93	а с другой	1	1
94	существования способа присутствия	1	1
95	а не как	1	1
96	по этому пути	1	1
97	так или иначе	8	1
98	белкина изданных а.п	1	1
99	в связи с	4	1
100	в произведении искусства	1	1
101	читателя зрителя слушателя	3	1
102	ритуально-мифологического комплекса мотивов	1	1
103	в полной мере	1	1
104	то есть от	1	1
105	что лирическое я	1	1
106	факторов художественного впечатления	2	1
107	по ту сторону	1	1
108	не только русской	1	1
109	не может быть	1	1
110	субъекта и адресата	1	1
111	кто бы это	1	1
112	стороны эстетического отношения	1	1
113	ко всему христианству	1	1
114	русской литературе и	1	1
115	в пределах одной	1	1
116	не нуждается в	1	1
117	в себя и	1	1
118	до тех пор	1	1
119	в русской культуре	1	1
120	тем более что	1	1
121	и даже отчасти	1	1
122	в большинстве случаев	1	1
123	не сводится к	3	1
124	но дело в	1	1
125	в сущности не	1	1
126	и не должно	1	1
127	той же природы	1	1
128	здесь как и	1	1
129	и самого белкина	1	1
