N	3gram	Ircho_Kome_1	Problema
1	по отношению к	3	19
2	и т п	5	13
3	в отличие от	1	5
4	в высшей степени	1	5
5	и прежде всего	1	5
6	в большинстве случаев	1	5
7	в данном случае	1	4
8	с другой стороны	5	4
9	бы то ни	2	3
10	можно было бы	1	3
11	в применении к	1	3
12	с одной стороны	3	3
13	то же время	4	3
14	в том что	9	3
15	в то же	4	3
16	тем не менее	1	3
17	в чем не	1	2
18	то же самое	2	2
19	в том же	1	2
20	со всех сторон	1	2
21	ни в коем	1	2
22	но и в	2	2
23	ни в чем	1	2
24	не остается равнодушной	1	2
25	в коем случае	1	2
26	то ни было	2	2
27	не только в	1	2
28	может и не	1	2
29	для того чтобы	1	2
30	в этом отношении	3	2
31	а между тем	1	1
32	что иное как	1	1
33	хотя и не	1	1
34	следует отметить что	1	1
35	содержания и формы	1	1
36	не говоря уже	2	1
37	подобно тому как	1	1
38	мы ничего не	1	1
39	идет речь в	1	1
40	до сих пор	2	1
41	говоря уже о	2	1
42	следует что в	1	1
43	по аналогии с	1	1
44	остается равнодушной к	1	1
45	или хотя бы	1	1
46	на то что	2	1
47	в значительной степени	1	1
48	нуждается в более	1	1
49	именно на эту	1	1
50	то время как	4	1
51	в исследованиях по	1	1
52	не что иное	1	1
53	смысле этого слова	1	1
54	в нашу задачу	1	1
55	и в их	1	1
56	во всех отношениях	1	1
57	у нас в	2	1
58	которых мы можем	1	1
59	о которых идет	1	1
60	о которых мы	1	1
61	и в том	1	1
62	и независимо от	1	1
63	таким образом в	2	1
64	в то время	5	1
65	в тех же	2	1
66	и т д	4	1
67	на протяжении всего	2	1
68	ни одной из	1	1
69	к нему с	1	1
70	и о других	1	1
71	которые могут быть	1	1
72	в другом случае	1	1
73	как мы уже	1	1
74	к тому что	1	1
75	и вот на	1	1
76	но едва ли	1	1
77	как и в	2	1
78	которых идет речь	1	1
