N	3gram	Tiupa_Hudo_2	DiskursI
1	в том что	11	13
2	с одной стороны	3	9
3	по отношению к	7	9
4	о том что	7	5
5	тогда как в	2	5
6	то же время	4	4
7	к тому же	2	4
8	в то же	4	3
9	с другой стороны	1	3
10	а с другой	1	3
11	той или иной	1	3
12	пока еще не	1	3
13	но при этом	3	3
14	не может быть	3	3
15	а в том	1	2
16	подобно тому как	4	2
17	при всей его	1	2
18	в строгом значении	1	2
19	мы имеем дело	1	2
20	можно сказать что	1	2
21	не более чем	2	2
22	едва ли не	1	2
23	то же самое	2	2
24	тот или иной	1	2
25	состоит в том	2	2
26	в значительной степени	1	2
27	не только в	2	2
28	значении этого термина	1	2
29	в том числе	1	2
30	по сути дела	1	2
31	только в том	2	2
32	к той или	1	2
33	том числе и	1	2
34	а не в	2	2
35	том что в	3	2
36	в данном случае	2	2
37	в соответствии с	3	2
38	заключается в том	1	1
39	в частности если	1	1
40	это отнюдь не	1	1
41	если можно так	2	1
42	о чем не	1	1
43	с самого начала	1	1
44	лежит не в	1	1
45	в таком случае	1	1
46	ни о чем	3	1
47	места времени и	1	1
48	в том случае	1	1
49	о том как	2	1
50	не несет в	1	1
51	на этом пути	1	1
52	в котором он	1	1
53	как и в	3	1
54	до сих пор	2	1
55	автор и читатель	1	1
56	и в то	2	1
57	к той же	1	1
58	уже одно это	2	1
59	имеем дело с	1	1
60	строгом значении этого	1	1
61	но и о	1	1
62	тем что он	1	1
63	хотя бы и	2	1
64	бахтин по отношению	1	1
65	выступает своего рода	1	1
66	обнаруживает себя в	1	1
67	что он не	1	1
68	единством места времени	1	1
69	в этом случае	1	1
70	и в том	1	1
71	следующим образом в	1	1
72	того или иного	2	1
73	как раз и	1	1
74	том случае если	1	1
75	нет и не	1	1
76	точкой зрения на	1	1
77	из виду что	1	1
78	не могло быть	1	1
79	как будто бы	2	1
80	и составляет эстетическую	1	1
81	в этом отношении	1	1
82	в конечном счете	3	1
83	дама с собачкой	2	1
84	упускать из виду	1	1
85	это в значительной	1	1
86	во второй редакции	1	1
87	но все же	1	1
88	при этом он	1	1
89	можно так выразиться	2	1
90	с точки зрения	2	1
91	дело в том	1	1
92	на том что	1	1
93	к себе и	1	1
94	что не только	1	1
95	как уже подчеркивалось	1	1
96	тем не менее	3	1
97	а иногда и	1	1
98	а не как	1	1
99	несет в себе	1	1
100	она могла бы	1	1
101	содержит в себе	1	1
102	вместе со всеми	1	1
