N	2gram	Berdyaev_M_1	Vladivir
1	вл соловьева	1	152
2	вл соловьев	1	136
3	и в	28	30
4	в этом	20	20
5	соловьева в	1	20
6	то что	5	20
7	у него	17	19
8	и не	11	18
9	в том	6	18
10	и с	3	14
11	что он	10	13
12	в конце	7	13
13	не только	29	12
14	том что	3	12
15	к леонтьев	1	12
16	что в	10	12
17	в его	9	11
18	а в	4	11
19	сказать что	2	11
20	не было	18	10
21	и даже	1	10
22	все же	2	9
23	было бы	10	9
24	не в	16	9
25	в то	2	9
26	не может	28	9
27	для него	11	9
28	потому что	16	9
29	в своем	10	8
30	но в	7	8
31	что же	1	8
32	не мог	3	8
33	но и	25	8
34	вместе с	6	8
35	до конца	14	7
36	то есть	3	7
37	которую он	2	7
38	точки зрения	4	7
39	никогда не	14	7
40	не менее	1	7
41	в эти	1	7
42	может быть	30	7
43	а не	25	7
44	для нас	3	7
45	и все	10	7
46	также и	2	6
47	он был	14	6
48	и к	2	6
49	в себе	7	6
50	об этом	1	6
51	и его	9	6
52	у нас	5	6
53	то время	2	6
54	только в	6	6
55	всяком случае	1	6
56	а именно	1	6
57	прежде всего	10	6
58	о чем	2	6
59	к этому	2	6
60	жизни и	2	6
61	во всяком	1	6
62	и то	1	5
63	и я	5	5
64	с этим	3	5
65	все эти	2	5
66	как и	5	5
67	в своей	15	5
68	в котором	8	5
69	так как	3	5
70	к концу	4	5
71	так и	1	5
72	с ним	2	5
73	и что	2	5
74	того что	7	5
75	он уже	6	5
76	так что	1	5
77	в течение	1	5
78	как бы	2	5
79	о его	1	5
80	все это	6	5
81	я не	1	4
82	то это	1	4
83	и он	12	4
84	в ней	15	4
85	и на	6	4
86	мы читаем	1	4
87	с его	3	4
88	отношение к	4	4
89	не очень	1	4
90	в которой	6	4
91	в этой	6	4
92	в нем	13	4
93	он не	24	4
94	его в	3	4
95	это было	1	4
96	и мы	2	4
97	в этих	4	4
98	разного рода	2	4
99	не есть	9	4
100	и о	1	4
101	о том	2	4
102	конечно не	3	4
103	вовсе не	1	4
104	так же	1	4
105	в это	1	4
106	с этой	4	4
107	но это	1	4
108	в начале	2	4
109	и наконец	1	4
110	на этот	2	4
111	ко всему	1	4
112	отношения к	4	3
113	был и	1	3
114	и вот	3	3
115	во всех	1	3
116	но не	8	3
117	отличие от	1	3
118	его на	1	3
119	как в	2	3
120	и как	2	3
121	н страхов	1	3
122	учение о	3	3
123	всех этих	1	3
124	должен был	4	3
125	только одно	3	3
126	с богом	1	3
127	в них	4	3
128	должно быть	3	3
129	в отношении	1	3
130	не столько	1	3
131	в отличие	1	3
132	что я	1	3
133	но он	9	3
134	в россии	2	3
135	вплоть до	1	3
136	только и	3	3
137	к ней	4	3
138	в области	1	3
139	он и	2	3
140	когда мы	2	3
141	и это	12	3
142	что и	4	3
143	уже не	4	3
144	я в	1	3
145	уже в	4	3
146	даже и	2	3
147	конце концов	2	3
148	под влиянием	1	3
149	с л	1	3
150	нет ничего	7	3
151	да и	1	3
152	своей жизни	1	3
153	и для	2	3
154	уже на	1	3
155	еще более	1	3
156	тем более	1	3
157	хотя бы	3	3
158	в свою	2	3
159	бог и	7	2
160	я и	1	2
161	также что	1	2
162	всем и	1	2
163	и есть	14	2
164	и до	1	2
165	приходит к	1	2
166	мы уже	1	2
167	его не	3	2
168	который был	2	2
169	время как	2	2
170	не вполне	1	2
171	ему в	1	2
172	есть для	1	2
173	не был	7	2
174	по своему	2	2
175	россии и	1	2
176	себе и	2	2
177	он пишет	1	2
178	как к	1	2
179	яснее и	1	2
180	есть его	1	2
181	в самом	11	2
182	во многих	1	2
183	как он	2	2
184	человек не	10	2
185	есть вера	1	2
186	а к	1	2
187	мысли и	2	2
188	вера в	3	2
189	которой не	1	2
190	и сам	1	2
191	на земле	2	2
192	и по	4	2
193	на этом	3	2
194	это значит	3	2
195	на все	1	2
196	заключается в	1	2
197	это не	5	2
198	с начала	1	2
199	он все	1	2
200	кажется что	1	2
201	он же	1	2
202	с тем	9	2
203	которой он	1	2
204	мы не	1	2
205	еще в	2	2
206	нисколько не	1	2
207	достоевского но	3	2
208	ли он	1	2
209	в их	4	2
210	он дает	1	2
211	с которой	2	2
212	она не	4	2
213	не имеет	3	2
214	к этим	2	2
215	в самых	1	2
216	того чтобы	2	2
217	казалось бы	1	2
218	и нужно	2	2
219	как будто	2	2
220	всему этому	1	2
221	и часто	1	2
222	к тому	3	2
223	а что	1	2
224	будто бы	3	2
225	которая есть	3	2
226	он никогда	2	2
227	можно и	1	2
228	хотел бы	4	2
229	в виду	2	2
230	людей в	1	2
231	не могу	1	2
232	и ту	1	2
233	ничего не	3	2
234	он жил	1	2
235	со своей	1	2
236	о нем	2	2
237	и во	2	2
238	нас в	1	2
239	к нему	7	2
240	и всякая	1	2
241	и можно	1	2
242	и она	2	2
243	от нас	1	2
244	себя в	3	2
245	он сам	6	2
246	него и	2	2
247	его и	1	2
248	ни с	4	2
249	себе в	1	2
250	но из	1	2
251	для того	2	2
252	и из	1	2
253	как у	1	2
254	что не	1	2
255	был в	4	2
256	не на	1	2
257	так глубоко	1	2
258	было для	1	2
259	если не	1	2
260	нет никаких	2	2
261	в частности	1	2
262	к его	1	2
263	и потому	10	2
264	наряду с	1	2
265	в той	2	2
266	можно было	1	2
267	в более	2	2
268	и от	2	2
269	у достоевского	42	2
270	я хотел	2	2
271	к этой	2	2
272	жизни в	2	2
273	с ней	2	2
