N	2gram	Savitsky_P_1	IolandNe
1	и с	2	3
2	и не	12	2
3	должен быть	1	2
4	в этом	10	2
5	что в	4	2
6	бы что	1	2
7	только что	1	1
8	нисколько не	1	1
9	с другой	5	1
10	и и	2	1
11	того чтобы	1	1
12	того что	2	1
13	и о	5	1
14	говорить о	2	1
15	что при	1	1
16	от нее	1	1
17	и дети	2	1
18	себя в	1	1
19	и очень	1	1
20	если бы	4	1
21	а с	1	1
22	и еще	1	1
23	в значительной	2	1
24	значительной мере	2	1
25	а также	4	1
26	для того	3	1
27	а в	4	1
28	и в	14	1
29	в эту	2	1
30	все это	2	1
31	более чем	2	1
32	другой стороны	1	1
33	никогда не	1	1
34	в них	2	1
35	и без	3	1
