N	2gram	Potebnia_M_1	Literetu
1	и не	18	22
2	тогда как	2	17
3	в мире	3	16
4	и в	39	16
5	при этом	6	15
6	в этом	15	14
7	не только	21	14
8	но и	20	14
9	в том	26	12
10	может быть	27	12
11	а не	21	12
12	то что	10	12
13	не в	15	10
14	такого рода	1	10
15	то же	6	9
16	так и	13	9
17	в то	4	9
18	того что	8	9
19	в этой	3	8
20	в жизни	3	8
21	том что	16	8
22	не может	22	8
23	как бы	6	8
24	в своей	3	7
25	тем самым	4	7
26	же время	4	7
27	только в	25	7
28	себя в	1	7
29	со стороны	8	7
30	точки зрения	8	7
31	еще не	6	6
32	с его	1	6
33	в себе	13	6
34	в другом	1	6
35	о том	2	6
36	и его	5	6
37	в его	5	6
38	с другой	7	6
39	к тому	4	6
40	субъекта и	4	5
41	как в	10	5
42	в целом	2	5
43	то есть	42	5
44	лишь в	1	5
45	это не	7	5
46	как и	9	5
47	что я	1	5
48	этом отношении	1	5
49	в ее	1	5
50	что он	1	5
51	именно в	1	5
52	вместе с	8	5
53	а в	5	5
54	одним из	2	4
55	но не	8	4
56	по отношению	13	4
57	хотя и	3	4
58	и если	2	4
59	входит в	1	4
60	должно быть	7	4
61	однако в	4	4
62	даже в	1	4
63	не говоря	1	4
64	никогда не	4	4
65	говоря уже	1	4
66	в жизнь	1	4
67	с одной	3	4
68	в начале	2	4
69	из них	1	4
70	одно из	3	4
71	в одном	8	4
72	как будто	2	4
73	в природе	6	4
74	одной стороны	3	4
75	в данном	1	4
76	и для	5	4
77	отношению к	13	4
78	отношения к	1	3
79	например в	1	3
80	самом деле	1	3
81	для которого	1	3
82	едва ли	1	3
83	той же	3	3
84	с ее	2	3
85	но уже	2	3
86	и как	6	3
87	но в	9	3
88	то в	5	3
89	на его	1	3
90	в глазах	3	3
91	и тем	3	3
92	в слове	8	3
93	в г	2	3
94	взгляд на	2	3
95	с точки	3	3
96	на свою	1	3
97	только для	3	3
98	по своей	1	3
99	потому что	52	3
100	в области	1	3
101	уже о	1	3
102	еще в	1	3
103	в словах	3	3
104	прежде всего	4	3
105	между тем	5	3
106	вслед за	1	3
107	совершенно не	1	3
108	уже не	2	3
109	в единстве	2	3
110	человеческого духа	6	3
111	в самом	3	3
112	наконец в	1	3
113	более того	1	3
114	тому как	4	3
115	там где	4	3
116	жизни и	2	3
117	как на	3	3
118	того же	3	2
119	в первом	5	2
120	как мы	2	2
121	вопрос о	4	2
122	не вполне	1	2
123	на себя	1	2
124	жизни как	1	2
125	из того	2	2
126	то это	5	2
127	и на	1	2
128	бы то	2	2
129	во всех	5	2
130	теперь как	1	2
131	легко может	1	2
132	а и	1	2
