N	3gram	Bakhtin_Fr_8	Sotsiolo
1	в том что	6	2
2	не в том	1	2
3	по отношению к	1	2
4	нашей работы в	1	1
5	очень далеки от	1	1
6	сказать и о	1	1
7	в настоящее время	3	1
8	конечно не в	1	1
9	и в таких	1	1
10	и в этом	1	1
11	только то что	1	1
12	то же самое	1	1
13	о том как	1	1
14	том что это	1	1
15	в то же	10	1
16	а с другой	1	1
17	что все это	2	1
18	выходит за пределы	1	1
19	дело конечно не	1	1
20	в связи с	3	1
21	то же время	10	1
22	главным образом в	1	1
23	и наконец в	1	1
24	и в то	5	1
25	с одной стороны	2	1
26	мы переходим к	1	1
