N	3gram	Bakhtin_Fr_3	Tvorches
1	в то же	6	13
2	то же время	6	12
3	в том что	1	6
4	о том что	2	5
5	но в то	4	4
6	дело в том	1	3
7	с самого начала	1	3
8	это как бы	1	3
9	том что в	1	2
10	на самом деле	3	2
11	в данном случае	2	2
12	же время он	1	2
13	можно сказать что	2	2
14	в ту эпоху	7	2
15	как и его	1	1
16	что иное как	1	1
17	потому что не	1	1
18	на площади и	1	1
19	но только не	1	1
20	прежде всего на	1	1
21	он говорит об	2	1
22	имеем в виду	1	1
23	в настоящее время	1	1
24	в том же	2	1
25	в отрыве от	1	1
26	далеко не сразу	1	1
27	он в сущности	1	1
28	по отношению к	2	1
29	о котором говорил	1	1
30	до сих пор	4	1
31	в мировой литературе	3	1
32	в своей книге	2	1
33	и в других	2	1
34	хотя бы и	1	1
35	чтобы вы провалились	1	1
36	в отличие от	3	1
37	только то что	1	1
38	бы то ни	1	1
39	за то что	1	1
40	это вовсе не	2	1
41	на протяжении почти	1	1
42	и далеко не	1	1
43	некоторые из них	1	1
44	уже говорили что	1	1
45	войне и мире	1	1
46	то ни было	1	1
47	в xix веке	1	1
48	за два месяца	1	1
49	это тот самый	1	1
50	в году и	1	1
51	не только для	1	1
52	в связи с	4	1
53	мы уже говорили	3	1
54	к этой теме	2	1
55	то что может	1	1
56	и в романе	2	1
57	мы все время	1	1
58	улицы и площади	1	1
59	вряд ли можно	1	1
60	мы узнаем что	1	1
61	что может быть	1	1
62	заключается в том	1	1
63	в свою очередь	1	1
64	и в самом	1	1
65	и смерти в	1	1
66	в более широком	1	1
67	мы имеем в	1	1
68	с другой стороны	1	1
69	таким образом и	1	1
70	не что иное	1	1
71	для этой книги	1	1
72	внешнего и внутреннего	1	1
73	в согласии с	1	1
74	как и в	2	1
75	особое внимание на	1	1
76	не так как	1	1
