N	2gram	Tiupa_Disk_1	Tragedij
1	и в	16	18
2	в году	2	9
3	в этом	15	9
4	не только	28	8
5	он сам	1	7
6	и на	5	7
7	может быть	17	7
8	как бы	5	7
9	и не	11	7
10	ивана петровича	1	6
11	но в	8	6
12	и его	2	6
13	же время	4	6
14	что он	4	6
15	то же	7	5
16	все же	3	5
17	что это	1	5
18	он вдруг	1	5
19	это не	3	5
20	как и	16	5
21	несмотря на	1	5
22	в то	3	5
23	так и	8	5
24	не может	9	5
25	у достоевского	1	5
26	он всегда	2	4
27	я не	1	4
28	еще не	14	4
29	в себе	7	4
30	в целом	4	4
31	в этой	2	4
32	в нем	9	4
33	об этом	2	4
34	том что	19	4
35	и что	2	4
36	но и	14	4
37	и даже	3	4
38	прежде всего	11	4
39	но это	1	4
40	что в	4	4
41	и все	2	4
42	то что	5	4
43	в мире	1	3
44	и он	2	3
45	своего рода	8	3
46	отнюдь не	8	3
47	как в	10	3
48	в своем	6	3
49	и как	6	3
50	при этом	13	3
51	то есть	20	3
52	тем самым	1	3
53	что с	2	3
54	о чем	2	3
55	с ее	2	3
56	и сам	1	3
57	мог бы	1	3
58	к нему	1	3
59	в его	7	3
60	один из	3	3
61	уже в	2	3
62	для него	4	3
63	в конце	1	3
64	как будто	1	3
65	как это	1	3
66	в основном	1	3
67	в первом	3	2
68	и до	1	2
69	и за	1	2
70	а как	1	2
71	из своих	1	2
72	никогда не	2	2
73	и то	1	2
74	не был	1	2
75	столь же	3	2
76	с его	4	2
77	ее к	1	2
78	отношение к	4	2
79	отличие от	5	2
80	тут же	1	2
81	как говорит	1	2
82	о жизни	1	2
83	перед нами	3	2
84	я к	1	2
85	в самом	3	2
86	бы и	1	2
87	то и	1	2
88	по словам	2	2
89	он не	1	2
90	что она	1	2
91	но все	1	2
92	к области	2	2
93	с тем	1	2
94	не мог	1	2
95	в ходе	3	2
96	в отличие	5	2
97	вопрос о	1	2
98	не в	7	2
99	вместе со	1	2
100	раз и	1	2
101	но они	2	2
102	не имеет	1	2
103	xix веке	1	2
104	не могут	1	2
105	к тому	5	2
106	и это	1	2
107	но при	3	2
108	в ее	3	2
109	данном случае	2	2
110	не за	1	2
111	еще в	3	2
112	о том	8	2
113	теперь и	1	2
114	времени в	2	2
115	что и	3	2
116	в том	23	2
117	по мнению	1	2
118	и ее	2	2
119	уже не	4	2
120	в виде	1	2
121	в известной	1	2
122	в одном	2	2
123	друг друга	1	2
124	не случайно	1	2
125	тем что	3	2
126	чем он	2	2
127	говорит о	1	2
128	до конца	1	2
129	ничем не	1	2
130	в рассказе	2	2
131	было в	2	2
132	в данном	5	2
133	о его	1	2
134	это уже	1	2
135	потому что	4	2
136	личности и	1	2
137	в частности	9	2
138	только о	1	2
139	в таком	1	2
140	одним из	2	1
141	например в	2	1
142	сам по	1	1
143	и др	2	1
144	необходимо отметить	1	1
145	самом деле	1	1
146	это и	1	1
147	значение однако	1	1
148	и есть	2	1
149	той же	1	1
150	и психологической	1	1
151	собой как	1	1
152	в становлении	1	1
153	не вполне	1	1
154	на себя	2	1
155	событий и	1	1
156	ему в	2	1
157	в виду	2	1
158	как свой	1	1
159	в xix	1	1
160	встречается в	1	1
161	представляет собой	17	1
162	между собой	2	1
163	без которой	1	1
164	быть в	1	1
165	в чем	1	1
166	во всех	5	1
167	но не	11	1
168	могло быть	1	1
169	но как	2	1
170	в противовес	1	1
171	этот тон	1	1
172	тогда как	19	1
173	за пределы	2	1
174	в истории	4	1
175	писателя в	2	1
176	опирается на	2	1
177	мысль о	1	1
178	отнесены к	1	1
179	со своей	1	1
180	в которой	1	1
181	столь широкое	1	1
182	он в	1	1
183	право на	1	1
184	говорит не	1	1
185	жизнь как	1	1
186	человек не	1	1
187	так сказать	2	1
188	для разработки	1	1
189	которым человек	1	1
190	чем у	1	1
191	к одному	1	1
192	не к	1	1
193	не как	4	1
194	в россии	1	1
195	содержит в	1	1
196	и по	2	1
197	на этом	2	1
198	дистанции между	1	1
199	таким образом	3	1
200	распространяется на	1	1
201	в другом	2	1
202	на все	1	1
203	лишь в	4	1
204	это было	2	1
205	заключается в	3	1
206	наличием в	1	1
207	но уже	1	1
208	в них	4	1
209	со своими	1	1
210	которой он	1	1
211	и вне	1	1
212	ведет к	3	1
213	можно так	1	1
214	и при	1	1
215	в своей	5	1
216	наших дней	2	1
217	в котором	5	1
218	если можно	1	1
219	человеком и	1	1
220	не столько	1	1
221	представление о	1	1
222	понятно что	1	1
223	должны были	1	1
224	и один	1	1
225	тем не	1	1
226	не могли	1	1
227	по себе	3	1
228	не менее	2	1
229	вплоть до	1	1
230	и художественной	1	1
231	романа на	1	1
232	на земле	1	1
233	самого начала	1	1
234	как его	2	1
235	но только	1	1
236	в отношениях	1	1
237	вольно или	2	1
238	и притом	1	1
239	по своей	11	1
240	и теперь	1	1
241	связи с	4	1
242	входят в	1	1
243	что на	1	1
244	в области	1	1
245	перед ним	1	1
246	в момент	2	1
247	к себе	2	1
248	могут быть	4	1
249	уже было	1	1
250	его с	1	1
251	и т.д	4	1
252	указывает на	2	1
253	быть отнесены	1	1
254	не есть	2	1
255	как некое	1	1
256	самом общем	2	1
257	как мы	2	1
258	и о	4	1
259	за самим	1	1
260	с самого	1	1
261	роль в	7	1
262	литературе это	2	1
263	природе своей	5	1
264	по природе	5	1
265	а тип	1	1
266	на них	1	1
267	в эпоху	5	1
268	действия не	1	1
269	с литературными	2	1
270	тем чем	1	1
271	а по	2	1
272	иисуса христа	2	1
273	и должно	1	1
274	а также	8	1
275	чтобы не	1	1
276	восходит к	1	1
277	по слову	3	1
278	между тем	4	1
279	теперь уже	1	1
280	которое уже	1	1
281	отметить что	1	1
282	в форме	2	1
283	не сводится	3	1
284	романа в	1	1
285	х годов	2	1
286	в литературе	2	1
287	того что	3	1
288	при самом	1	1
289	сюжетом но	1	1
290	он стал	1	1
291	согласиться с	1	1
292	с ними	1	1
293	что даже	2	1
294	этом состоит	1	1
295	только в	7	1
296	во всем	1	1
297	как нечто	1	1
298	приходит в	1	1
299	от самых	1	1
300	с одной	9	1
301	есть в	2	1
302	только на	1	1
303	дело с	2	1
304	свидетельствует о	2	1
305	которых можно	1	1
306	за счет	1	1
307	но от	1	1
308	и их	1	1
309	всяком случае	1	1
310	слова в	2	1
311	к ним	3	1
312	характер события	1	1
313	в особенности	4	1
314	никого не	2	1
315	даже не	1	1
316	развития в	1	1
317	с другим	1	1
318	именно в	3	1
319	в каких	1	1
320	что не	4	1
321	только по	1	1
322	не было	7	1
323	эффект как	1	1
324	всему что	1	1
325	в евангелии	1	1
326	за год	1	1
327	а не	22	1
328	его как	2	1
329	одну из	2	1
330	в и	1	1
331	этом случае	1	1
332	в связи	1	1
333	с помощью	1	1
334	более чем	2	1
335	вместе с	1	1
336	до этого	1	1
337	и потому	3	1
338	наряду с	1	1
339	в той	1	1
340	для понимания	2	1
341	этого слова	1	1
342	с этой	1	1
343	и от	1	1
344	из трех	1	1
345	годов в	1	1
346	в книге	1	1
347	не является	4	1
348	известной степени	2	1
349	при таком	1	1
350	в результате	1	1
351	это как	1	1
352	а к	1	1
353	о нем	2	1
354	появилось в	1	1
355	мог быть	3	1
356	хотя бы	3	1
357	превратился в	1	1
358	я в	1	1
359	так выразиться	1	1
360	мифа который	1	1
361	жизни в	2	1
362	к числу	1	1
363	евангелии от	1	1
364	в период	1	1
365	от литературы	1	1
366	героя и	2	1
367	понадобилось это	1	1
368	может ли	1	1
369	строится на	1	1
370	из романа	1	1
371	в голову	1	1
372	это в	2	1
373	это понятие	3	1
374	к м	1	1
375	во всяком	2	1
