N	3gram	Tiupa_Hudo_1	Otkroven
1	и в этом	1	2
2	что у него	2	2
3	не может быть	2	2
4	как и все	1	2
5	в этом он	1	2
6	с тем что	1	2
7	ни у кого	1	2
8	ничего не делает	1	1
9	чем у его	1	1
10	как будто бы	1	1
11	не в том	2	1
12	в этих словах	2	1
13	с утра до	1	1
14	прежде всего в	1	1
15	том что в	2	1
16	в самом деле	4	1
17	как бы в	1	1
18	мысли как это	1	1
19	не растворяется в	1	1
20	о том как	2	1
21	приходит в голову	1	1
22	все та же	1	1
23	в его жизни	1	1
24	между этими двумя	1	1
25	во всяком случае	1	1
26	человека а не	1	1
27	том случае если	1	1
28	в иных случаях	1	1
29	о том что	9	1
30	в этом отношении	3	1
31	ни с какой	1	1
32	и в самом	3	1
33	заключает в себе	1	1
34	в том что	6	1
35	то что ведь	1	1
36	на то что	2	1
37	в том случае	1	1
38	которым можно было	1	1
39	утра до вечера	1	1
40	друг с другом	1	1
41	вместо того чтобы	2	1
42	во внутренней своей	1	1
43	которого они в	1	1
44	как и в	3	1
45	ошибочно было бы	1	1
46	что в центре	1	1
